arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,alpha_W_med_f2
SWA3u,4,0.001,38,none,0.1153875,0.1158333346,0.1158333346,0,0,520.0130005,232.1626892,-0.8565328121,1.01877892,1.015577435,1.046785276,0,0,1003955.75,430113.0938,-7941.104492,1.016899467,1.011961937,1.194655746,0,0,-200072784,130801248,-3697322240,-7.705471216e-05,1.230358084,1,0.75,-5.346783642e+10,1.240667955e+10,-9.233961779e+10,0,1.035255865,132.1389923,120.7695694,25.30399323,7.527346611,51.29561615,0.01300969999,0.01269014273,10.31085968,0,3,6.941412721e-06,3.116417702e-06,0.001423134934,0,3,2.315722725e-08,9.999999939e-09,1.901608755e-07,0.3199999928,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,120.2932434
SWA3u,4,0.001,39,none,0.11179375,0.1125000045,0.1125000045,0,0,527.4835815,235.497406,-0.8437480927,1.018613338,1.015410066,1.046850356,0,0,1053540.625,451005.0312,-8508.195312,1.016764402,1.011842608,1.190564977,0,0,-177839504,133475752,-4060713728,-5.606813647e-05,1.240604183,1,0.7799999714,-5.567422054e+10,1.289253786e+10,-9.655815373e+10,0,1.576820481,134.036438,124.4076614,25.92856026,7.527346611,52.62736511,0.01288258471,0.01257075928,10.98967171,0,3,6.652531283e-06,3.03964498e-06,0.0009048580541,0,3,2.135132071e-08,9.999999939e-09,1.542552894e-07,0.3199999928,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,124.2683105
SWA3u,4,0.001,40,none,0.1089354167,0.1099999994,0.1099999994,0,0,535.5567017,239.0975952,-1.146506548,1.018636227,1.015431523,1.04583484,0,0,1106119.5,473294.125,-12661.68555,1.016840816,1.011957884,1.187533069,0,0,-184662752,147904592,-4400194560,-2.838231012e-05,1.234847862,1,0.8399999738,-5.925552947e+10,1.364923494e+10,-1.021675848e+11,0,1.016232491,136.0794525,127.610054,26.68316269,7.527346611,54.60145187,0.01268081553,0.01237802766,7.692731857,0,3,6.381953426e-06,2.941703315e-06,0.001242510625,0,3,2.081082506e-08,9.999999939e-09,1.733046275e-07,0.3299999833,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,131.7678833
SWA3u,4,0.001,41,none,0.11165,0.1116666719,0.1116666719,0,0,536.9345093,239.711441,-1.714366913,1.018783808,1.015572429,1.046155433,0,0,1113981.75,476745.9688,7699.215332,1.017108083,1.012193561,1.188342628,0,0,-148080048,146732032,-4484407296,-1.786582288e-06,1.255538463,0.9899999499,0.8399999738,-5.967461581e+10,1.366365696e+10,-1.029767987e+11,0,1.015671584,136.4299622,127.7236099,26.55381012,7.527346611,55.68944168,0.01259727031,0.01229723915,4.502987862,0,3,6.33419404e-06,2.915202458e-06,0.0007197625237,0,3,1.977823416e-08,9.999999939e-09,1.678640302e-07,0.3299999833,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,133.1095886
SWA3u,4,0.001,42,none,0.1148375,0.1158333346,0.1158333346,0,0,541.4485474,241.725769,-0.820946753,1.01877296,1.015561938,1.045190894,0,0,1143669.125,487915.2188,-9314.319336,1.01695168,1.011974335,1.185878379,0,0,-163827600,154003456,-4666198016,-7.965156783e-07,1.26981474,1,0.8799999952,-6.181105254e+10,1.415339827e+10,-1.063586693e+11,0,1.005166568,137.5727692,129.4598541,26.34820366,7.527346611,55.94549942,0.01249628048,0.01220099255,14.04192734,0,3,6.180585842e-06,2.8692657e-06,0.0009506082279,0,3,1.956846241e-08,9.999999939e-09,1.457794809e-07,0.3299999833,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,137.7483978
SWA3u,4,0.001,43,none,0.11536875,0.1158333346,0.1158333346,0,0,544.4535522,243.0702362,-0.7039088607,1.018529534,1.015329361,1.045380057,0,0,1163030.5,492664.875,-20096.36328,1.016685843,1.011775732,1.184130678,0,0,-98474960,169907040,-4810570752,0.0007307928172,1.255792406,1,0.8799999952,-6.300434842e+10,1.448404992e+10,-1.084082094e+11,0,1.00499383,138.3392334,130.0720978,27.03492928,7.527346611,57.8072319,0.0125116352,0.01221755706,10.89708996,0,3,6.117636531e-06,2.854396826e-06,0.001277896226,0,3,1.723982912e-08,9.999999939e-09,1.330907793e-07,0.349999994,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,138.3368988
SWA3u,4,0.001,44,none,0.1137520833,0.1141666695,0.1141666695,0,0,545.2957153,243.4507141,-0.439976871,1.018707275,1.015499234,1.045734448,0,0,1170455.875,496194.5,-20099.31445,1.016858697,1.011889219,1.18348814,0,0,-124131904,175326320,-4888902656,0.0007371161482,1.260028516,1,0.8799999952,-6.33387049e+10,1.456338125e+10,-1.094045123e+11,0,1.000031103,138.5517883,130.7628632,27.03663063,7.527346611,57.65081024,0.01243026368,0.01213843469,14.14886475,0,3,6.049463082e-06,2.82980227e-06,0.001690700883,0,3,1.680792927e-08,9.999999939e-09,1.710099298e-07,0.3400000036,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,141.4042358
SWA3u,4,0.001,45,none,0.11975625,0.1200000048,0.1200000048,0,0,546.7074585,244.0801392,4.221078396,1.018800735,1.015596032,1.045589806,0,0,1180215.75,500131.2812,-10763.78809,1.016971231,1.011999488,1.183880362,0,0,-143524752,188919632,-5068663296,-3.056891842e-07,1.246226102,1,0.8799999952,-6.395215462e+10,1.472192102e+10,-1.101732004e+11,0,1.002481553,138.9101562,131.4456635,27.46295166,7.527346611,58.06135178,0.01236984134,0.01207995787,1.571494818,0,3,5.987847999e-06,2.811074637e-06,0.001576330047,0,3,1.518951009e-08,9.999999939e-09,1.127396985e-07,0.3700000048,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,143.2585907
SWA3u,4,0.001,46,none,0.11149375,0.1125000045,0.1125000045,0,0,548.515625,244.8858185,2.301726103,1.018777251,1.015575528,1.045521791,0,0,1189200.625,503213.125,-11041.47363,1.016873002,1.011946321,1.182105511,0,0,-120033544,196024176,-5175492608,0.003779451828,1.256850088,1,0.8799999952,-6.447874458e+10,1.480132813e+10,-1.115408056e+11,0,1.000837253,139.3699341,131.6811676,27.51254272,7.527346611,58.06619644,0.01233659312,0.01204789802,2.760382414,0,3,5.93448658e-06,2.795390628e-06,0.001658774912,0,3,1.488210444e-08,9.999999939e-09,1.064562412e-07,0.3799999952,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,143.3833313
SWA3u,4,0.001,47,none,0.1189979167,0.1191666722,0.1191666722,0,0,547.0210571,244.224823,4.020716667,1.01880157,1.015597343,1.04557428,0,0,1176148.75,497705.8438,-17753.02344,1.016975284,1.012003422,1.181968328,0,0,-131126440,201579872,-5114838016,-1.863828629e-07,1.258496161,0.9899999499,0.8799999952,-6.373176525e+10,1.462809395e+10,-1.101161841e+11,0,1.000000001,138.989151,130.7268524,27.23548698,7.527346611,57.8276825,0.01236307807,0.01207308937,1.647154808,0,3,5.985632924e-06,2.807273404e-06,0.001219726633,0,3,1.515387993e-08,9.999999939e-09,1.089408954e-07,0.3700000048,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,142.2220612
SWA3u,4,0.001,48,none,0.1198104167,0.1200000048,0.1200000048,0,0,549.5493164,245.3522644,1.226653099,1.018645287,1.01544559,1.045471848,0,0,1194243.625,505291.1875,-19604.34375,1.016778588,1.01181829,1.181139468,0,0,-131302280,187207536,-5268616704,-2.610358365e-07,1.255712951,0.9899999499,0.8799999952,-6.469892506e+10,1.492342989e+10,-1.115119124e+11,0,1.000000019,139.635498,131.7770538,27.63991547,7.527346611,58.09716415,0.01235948876,0.01206974871,4.573140144,0,3,5.90781292e-06,2.791924089e-06,0.001770191593,0,3,1.592760235e-08,9.999999939e-09,1.232735372e-07,0.3799999952,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,143.9320068
SWA3u,4,0.001,49,none,0.1224395833,0.1225000024,0.1225000024,0,0,551.4431152,246.1996613,-0.465870589,1.018786669,1.015590429,1.044915331,0,0,1206220.375,510450.5,-25266.12695,1.017032623,1.011995435,1.18283321,0,0,-172579104,197529104,-5346188288,-1.857220013e-07,1.257671374,1,0.8799999952,-6.534017024e+10,1.515294925e+10,-1.119794872e+11,0,1.000000265,140.1170044,132.4859009,28.59129524,7.527346611,58.70624542,0.01226624846,0.01197892986,7.032833099,0,3,5.818660611e-06,2.760401458e-06,0.000446567894,0,3,1.537234517e-08,9.999999939e-09,1.110259547e-07,0.3799999952,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,146.8056641
SWA3u,4,0.001,50,none,0.1185625,0.1191666722,0.1191666722,0,0,553.9347534,247.3116913,-0.6692576408,1.018670917,1.015464544,1.044220029,0,0,1225411.875,518519.75,-14994.25879,1.01684618,1.01196146,1.184010414,0,0,-98096424,206541056,-5466362368,-9.095263209e-08,1.247901923,1,0.8899999857,-6.700331008e+10,1.539707802e+10,-1.142777446e+11,0,1.000000071,140.7447357,133.9305573,29.80719376,7.527346611,59.10790634,0.01225089841,0.01196529809,12.71185875,0,3,5.754649465e-06,2.745266329e-06,0.0008502221899,0,3,1.500300328e-08,9.999999939e-09,1.074510081e-07,0.3799999952,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,148.7723083
