arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,0,0,0.001,1,none,0.9822625,1,1,0,0,-0.02046525292,5.552591324,-0.1862912476,0.4941666722,72.00970385,0.5055416822,-0.003758336883,0.4941666722,0.487041682,0,0.02455872856,0.01132290345,-2.529088922e+10,0.1862912476,0.02999999933,0.02999999933,0.9236343503,4.787068367,-8.000455856,0.5649999976,45.67809701,0.4341500103,0.1944423914,0.5649999976,0.2663500011,0.1299999952,0.09542436153,0.01600593328,0.02188907005,37.26319885,0.6643803716,4.527719498,1.240022779,2.031279564
C,raw,0,0,0.001,2,none,0.9804958333,1,1,0,0,-0.04577186704,8.030116081,-0.3056285083,0.4950000048,72.80903592,0.507191658,-0.005613521207,0.4950000048,0.485924989,0,-0.008034966886,0.01327318884,-4.378164429e+10,0.3056285083,0.3100000024,0.3100000024,-13.27821064,8.926253319,-24.54213142,0.0700000003,26.11088737,0.8086749911,-1.334890127,0.0700000003,0.09119167179,0.4399999976,-0.4966524839,0.00951309409,-8039772672,55.4412384,0.6653497815,6.916968822,1.557836413,2.699397326
C,raw,0,0,0.001,3,none,0.9759979167,1,1,0,0,-0.08378835022,11.1028614,-0.5170342922,0.4941666722,70.92382936,0.503608346,-0.00672218902,0.4941666722,0.4853583276,0,-0.01347774547,0.01432725787,-5.211144192e+10,0.5170342922,0.4599999785,0.4599999785,-29.64227867,14.84060764,-46.2363739,0.002499999944,13.77014589,0.9116416574,-1.993534803,0.002499999944,0.02914166637,0.5899999738,-0.6126330495,0.006546530407,-2.73026089e+10,89.63949585,0.6730538607,9.225923538,1.914456129,3.656948328
C,raw,0,0,0.001,4,none,0.97366875,1,1,0,0,-0.1040868387,13.50162983,-0.6412999034,0.5,69.90908418,0.5007250309,-0.007859884761,0.5,0.4859416783,0,-0.02470596321,0.01599040069,-6.289312973e+10,0.8345673084,0.5,0.5,-42.65699768,21.1208992,-64.67469025,0,8.330864487,0.9312916994,-2.07417345,0,0.0105750002,0.6999999881,-0.7422500253,0.005177472252,-3.840670925e+10,138.774292,0.6816012263,11.02815247,2.182633877,4.494838715
C,raw,0,0,0.001,5,none,0.9556354167,1,1,0,0,-0.1851305366,13.90246201,-0.978435576,0.4941666722,73.22940467,0.5057500005,-0.01472993009,0.4941666722,0.4858166873,0,-0.0243874751,0.02134911343,-1.661317284e+11,0.978435576,0.6299999952,0.6299999952,-46.93564224,22.65717506,-76.97163391,0,7.086947708,0.9538916945,-2.492259264,0,0.008608332835,0.8100000024,-0.7035462856,0.005051407497,-6.922871603e+10,102.2406921,0.6658133268,12.72874069,2.268050671,4.688311577
C,raw,0,0,0.001,6,none,0.8880395833,0.9975000024,0.9975000024,0,0,-0.3544255793,16.23475075,-1.248113394,0.4825000167,74.31735575,0.5150250196,-0.02152094245,0.4825000167,0.4810583293,0,0.0006069564843,0.02609706856,-3.595150623e+11,1.248113394,0.7400000095,0.7400000095,-60.51578903,27.95046997,-102.298584,0,6.530277764,0.9722166657,-2.573279381,0,0.009133334272,0.8399999738,-0.6838693619,0.004527027719,-9.503021466e+10,102.298584,0.6601471901,15.67239094,2.369891167,5.264712334
C,raw,0,0,0.001,7,none,0.2184625,0.3000000119,0.3000000119,0,0,-0.4749747217,20.31603622,-1.308217764,0.4833333492,65.71611058,0.5142166615,-0.02287033945,0.4833333492,0.4788500071,0,-0.00497259805,0.0260735061,-4.715091722e+11,1.308217764,0.8399999738,0.8399999738,-100.2796783,42.4054451,-166.4874115,0,9.980531684,0.9957250357,-2.336349726,0,0.004274999723,0.9300000072,-0.8155323267,0.003426530398,-1.268810056e+11,166.4874115,0.6707555056,17.60405159,2.375888109,5.769634724
C,raw,0,0,0.001,8,none,0.12820625,0.1308333427,0.1308333427,0,0,-0.4977707565,23.47125626,-1.444757938,0.4850000143,60.30781484,0.5147333145,-0.01947701909,0.4850000143,0.4775666595,0,0.01611488312,0.02388963848,-4.776347894e+11,1.444757938,0.9099999666,0.9099999666,-131.3378448,56.06602859,-264.1112671,0,5.507195417,0.9997249842,-2.334046841,0,0.0002749999985,0.9899999499,-0.8428969383,0.002790960483,-1.45767039e+11,264.1112671,0.6783075929,18.15770912,2.378417015,5.965918541
C,raw,0,0,0.001,9,none,0.126375,0.1308333427,0.1308333427,0,0,-0.4514316916,29.20683289,-1.524080873,0.4866666794,57.12511502,0.511341691,-0.01825415716,0.4866666794,0.4786916673,0,-0.0126881348,0.01929298602,-4.632168366e+11,1.524080873,0.9399999976,0.9399999976,-156.7274017,67.87644958,-392.6149597,0,4.826930102,0.9998083711,-2.284742117,0,0.0001916666661,0.9899999499,-0.8032991886,0.002399968216,-1.527152968e+11,392.6149597,0.6831063628,19.16559792,2.378417015,6.071604252
C,raw,0,0,0.001,10,none,0.1245770833,0.125,0.125,0,0,-0.4909109473,29.49118042,-1.676870108,0.489166677,56.4040714,0.5112749934,-0.014942782,0.489166677,0.478641659,0,0.006928787567,0.01958009973,-4.543858606e+11,1.676870108,0.9599999785,0.9599999785,-164.0661621,69.53216553,-400.7744446,0,3.39332891,0.9999583364,-2.307637691,0,4.166666258e-05,1,-0.8321208954,0.002391728107,-1.570709832e+11,400.7744446,0.6827236414,19.27430534,2.378417015,6.199313641
