2026-09-17T14:52:21+09:00 launch: git 6245188e52ff1df475c062c38b3c6cf08795dbae  slots 4  need 1287 MiB/job  avail 9 GiB
2026-09-17T14:52:21+09:00 start s0  avail 9791 MiB
2026-09-17T14:52:47+09:00 start s1  avail 9214 MiB
2026-09-17T14:53:12+09:00 start s2  avail 9185 MiB
2026-09-17T14:53:37+09:00 start s3  avail 8569 MiB
2026-09-17T15:02:24+09:00 done  s0
2026-09-17T15:02:24+09:00 start s4  avail 8478 MiB
2026-09-17T15:02:29+09:00 done  s1
2026-09-17T15:02:41+09:00 done  s2
2026-09-17T15:02:49+09:00 start s5  avail 9084 MiB
2026-09-17T15:03:14+09:00 start s6  avail 8437 MiB
2026-09-17T15:03:17+09:00 done  s3
2026-09-17T15:03:39+09:00 start s7  avail 8568 MiB
2026-09-17T15:11:57+09:00 done  s4
2026-09-17T15:11:57+09:00 start s8  avail 8451 MiB
2026-09-17T15:13:06+09:00 done  s6
2026-09-17T15:13:06+09:00 start s9  avail 8480 MiB
2026-09-17T15:13:24+09:00 done  s5
2026-09-17T15:13:28+09:00 done  s7
2026-09-17T15:13:31+09:00 start f64_felu_s0  avail 9148 MiB
2026-09-17T15:13:56+09:00 start f64_felu_s1  avail 8525 MiB
2026-09-17T15:15:19+09:00 done  f64_felu_s0
2026-09-17T15:15:19+09:00 start f64_felu_s2  avail 8560 MiB
2026-09-17T15:16:01+09:00 done  f64_felu_s1
2026-09-17T15:16:01+09:00 start f64_felu_s3  avail 8495 MiB
2026-09-17T15:17:21+09:00 done  f64_felu_s2
2026-09-17T15:17:21+09:00 start f64_felu_s4  avail 8576 MiB
2026-09-17T15:17:58+09:00 done  f64_felu_s3
2026-09-17T15:17:58+09:00 start f64_felu_s5  avail 8595 MiB
2026-09-17T15:19:15+09:00 done  f64_felu_s4
2026-09-17T15:19:15+09:00 start f64_felu_s6  avail 8560 MiB
2026-09-17T15:19:54+09:00 done  f64_felu_s5
2026-09-17T15:19:54+09:00 start f64_felu_s7  avail 8538 MiB
2026-09-17T15:21:07+09:00 done  f64_felu_s6
2026-09-17T15:21:07+09:00 start f64_felu_s8  avail 8563 MiB
2026-09-17T15:21:49+09:00 done  s8
2026-09-17T15:21:49+09:00 start f64_felu_s9  avail 8550 MiB
2026-09-17T15:21:54+09:00 done  f64_felu_s7
2026-09-17T15:22:14+09:00 start f32_felu_s0  avail 8587 MiB
2026-09-17T15:22:58+09:00 done  f64_felu_s8
2026-09-17T15:22:58+09:00 start f32_felu_s1  avail 8556 MiB
2026-09-17T15:23:06+09:00 done  s9
2026-09-17T15:23:23+09:00 start f32_felu_s2  avail 8642 MiB
2026-09-17T15:23:32+09:00 done  f32_felu_s0
2026-09-17T15:23:32+09:00 done  f64_felu_s9
2026-09-17T15:23:48+09:00 start f64_host_s0  avail 9240 MiB
2026-09-17T15:24:12+09:00 done  f32_felu_s1
2026-09-17T15:24:13+09:00 start f64_host_s1  avail 9216 MiB
2026-09-17T15:24:34+09:00 done  f32_felu_s2
2026-09-17T15:24:38+09:00 start f64_host_s2  avail 9157 MiB
2026-09-17T15:25:46+09:00 done  f64_host_s0
2026-09-17T15:26:10+09:00 done  f64_host_s1
2026-09-17T15:26:33+09:00 done  f64_host_s2
2026-09-17T15:26:33+09:00 all jobs returned
