arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,8,8,0.0001,30,0,1,0.9648637821,1,0.9899999499,1,0,0,-0.8078818321,16.17713737,-6.500317097,0.4860000312,12.01575973,0,0,-0.08206291497,38.26928711,-2.717507124,0.6020000577,9.553758328,2.361781836,1.71027267,1.772760749,6.992810726,20.8915844
CH,raw,9,9,0.0001,1,1,5,0.4447115385,0.554799974,0.4900000095,0.554799974,0,0,0.05335192755,5.73638916,-0.577791512,0.4855999947,13.26639743,0,0,0.03546519205,10.15646076,-0.7868400216,0.5451999903,12.6394164,1.02530241,0.714194715,0.7455427647,2.648959875,3.975941181
CH,raw,9,9,0.0001,2,0,1,0.9322115385,0.9960000515,0.969999969,0.9960000515,0,0,-0.4297578633,0.9246583581,-1.384892702,0.302000016,8.293650775,0,0,-0.2720770836,0.3091917634,-1.220077991,0.1200000048,5.740130231,0.8040983677,0.6759246588,0.8561859727,2.241724968,1.709312439
CH,raw,9,9,0.0001,3,1,5,0.4783253205,0.523999989,0.5,0.523999989,0,0,-0.1117655337,7.118786812,-4.785130501,0.4615999758,15.491563,0,0,0.5366765261,15.45471287,-1.542462468,0.5795999765,12.91056046,1.390175343,0.8465350866,0.8888496757,3.405417204,6.379009724
CH,raw,9,9,0.0001,4,0,1,0.8684294872,0.8680000305,0.7400000095,0.8680000305,0,0,-0.2209687233,0.6763039231,-11.95531368,0.3620000184,8.176997378,0,0,0.01331991982,17.46717072,-5.142229557,0.5580000281,7.029598299,0.8614361286,0.9639891386,0.928689003,4.303526402,11.6479578
CH,raw,9,9,0.0001,5,1,5,0.5429887821,0.6183999777,0.6000000238,0.6183999777,0,0,-0.4207036495,4.322917461,-14.77971363,0.4199999869,12.90100988,0,0,-0.9600212574,8.113616943,-7.772036552,0.4831999838,17.01121757,1.016363502,0.9780736566,0.9399012923,3.43667531,4.142821789
CH,raw,9,9,0.0001,6,0,1,0.8375801282,0.8220000267,0.7799999714,0.8220000267,0,0,-0.5243769884,2.22644043,-21.83109474,0.2880000174,8.267497014,0,0,-0.487520963,8.75627327,-9.99390316,0.4860000312,8.377169176,0.9102313519,1.086920261,0.9874688983,3.682908297,6.680507183
CH,raw,9,9,0.0001,7,1,5,0.3686298077,0.4083999991,0.400000006,0.4083999991,0,0,-0.185363695,3.068965435,-4.440946102,0.4171999991,13.91379895,0,0,0.2390121967,13.39497757,-2.441642523,0.6123999953,16.35743793,1.013094544,1.10499692,1.015501976,2.44840765,5.511721134
CH,raw,9,9,0.0001,8,0,1,0.8253205128,0.8080000281,0.7099999785,0.8080000281,0,0,-1.819520235,4.017725468,-13.30831909,0.226000011,9.284589357,0,0,0.470348984,15.04629803,-5.824245453,0.5640000105,9.068503034,1.131481886,1.178169489,1.052392602,2.71779871,7.718637943
CH,raw,9,9,0.0001,9,1,5,0.3979567308,0.447999984,0.4340000153,0.447999984,0,0,-0.2066531181,4.321191788,-7.185804367,0.4143999815,13.84227826,0,0,-0.1944185495,25.35810852,-2.858432293,0.6007999778,13.321966,1.274642348,1.256619453,1.044252396,3.341071606,9.884384155
CH,raw,9,9,0.0001,10,0,1,0.7958733974,0.8320000172,0.7299999595,0.8320000172,0,0,-1.902716041,7.823456764,-33.34923553,0.3000000119,15.36104925,0.009999999776,0,-3.225525856,20.8958683,-23.84533691,0.4500000179,14.61115427,1.741731048,1.336829901,1.096710324,6.696712494,9.714440346
CH,raw,9,9,0.0001,11,1,5,0.5367387821,0.6395999789,0.5879999995,0.6395999789,0,0,-0.203675881,8.348003387,-6.953052044,0.4860000014,16.42147351,0,0,0.5238295794,26.69009209,-2.415572643,0.6039999723,17.99508218,1.626741409,1.339383602,1.089933276,4.372558117,11.38898563
