act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,l2init,0.001,0.001,7,1,0.9551833333,1,1,0.009999999776,0.009999999776,-0.1860116869,0.8079149127,-0.9984656572,0.3874999881,58.56352886,0,0,0.7122977972,0.4182835817,0.2976589799,0.9691666961,33.91161931,1.382735252,1.077298045,2.778727055,0.2498469621,0.3660824418,0.2498469621,0.1278801033
R,l2init,0.001,0.001,7,2,0.9530145833,1,1,0.01999999955,0.01999999955,-0.2872357368,0.7537364364,-0.8800163865,0.3249999881,55.16154723,0,0,0.7309292555,0.3851837814,0.1965464801,0.978333354,32.40395333,1.275009274,1.084555745,2.857198,0.2414941833,0.3528788882,0.2414941833,0.1217152577
R,l2init,0.001,0.001,7,3,0.95570625,0.9991666675,0.9991666675,0.1400000006,0.1400000006,-0.4376258254,0.8595148325,-3.069624901,0.2800000012,52.46110764,0,0,0.6634858251,0.424998045,0.008678726852,0.9458333254,34.37270964,1.455254793,1.12212491,2.949261665,0.2990046585,0.410480337,0.2990046585,0.1540923316
R,l2init,0.001,0.001,7,4,0.95091875,1,1,0.009999999776,0.009999999776,-0.2849079967,0.7805475593,-0.8207172751,0.3216666579,50.63403276,0,0,0.6944882274,0.3818570077,0.2952767015,0.9800000191,29.8265804,1.345407009,1.033691168,2.828893423,0.2490483806,0.3574571261,0.2490483806,0.1239849687
R,l2init,0.001,0.001,7,5,0.9590875,1,1,0.02999999933,0.02999999933,-0.2668575644,0.717200458,-1.295276165,0.339166671,49.52743411,0,0,0.6867075562,0.3737518787,0.331948787,0.9800000191,30.16400265,1.264914751,1.062251925,2.896368504,0.2381151482,0.3488252129,0.2381151482,0.1201066151
R,l2init,0.001,0.001,7,6,0.95776875,1,1,0.01999999955,0.01999999955,-0.2927441299,0.7726145983,-0.8913142681,0.3033333421,51.35986018,0,0,0.7115861773,0.386556983,-0.5071021914,0.9816666842,29.81215853,1.350552559,1.038693309,2.854816675,0.2510713137,0.3600504462,0.2510713137,0.1253970839
R,l2init,0.001,0.001,7,7,0.9589583333,1,1,0.01999999955,0.01999999955,-0.3269999623,0.7090944648,-1.273265839,0.2941666543,47.00193278,0,0,0.6511677504,0.3610024154,0.2906410098,0.9816666842,28.80228549,1.228557825,1.052242279,2.88654089,0.2447118409,0.3554869136,0.2447118409,0.1241018937
R,l2init,0.001,0.001,7,8,0.9538645833,1,1,0.03999999911,0.03999999911,-0.2984450459,0.7038548589,-0.851564765,0.3199999928,54.89079758,0,0,0.634297967,0.3514506221,0.3110353053,0.978333354,32.12370194,1.261688948,1.021166682,2.863903999,0.2452162723,0.3552136427,0.2452162723,0.1230264985
R,l2init,0.001,0.001,7,9,0.9618520833,1,1,0.0700000003,0.0700000003,-0.3516014218,0.7160353065,-1.127987266,0.2849999964,47.42426128,0,0,0.7249335051,0.3754841089,0.2724238038,0.9808333516,29.0293394,1.250162601,1.062950015,2.909691095,0.2447797571,0.3564415376,0.2447797571,0.1244960073
R,l2init,0.001,0.001,7,10,0.9578770833,1,1,0.02999999933,0.02999999933,-0.3000429571,0.7819815278,-0.7691381574,0.301666677,49.20076593,0,0,0.6915619373,0.3789989054,-0.2511693835,0.9766666889,30.20678438,1.36509335,1.059589624,2.857301235,0.2574117297,0.3674929411,0.2574117297,0.1295915473
R,l2init,0.001,0.001,7,11,0.9571520833,1,1,0.02999999933,0.02999999933,-0.2987878919,0.7583643198,-0.9082598686,0.2958333194,50.32745314,0,0,0.7176555991,0.384806186,0.319221586,0.9833333492,29.50017557,1.253188252,1.03474009,2.843277931,0.2482198991,0.3546026903,0.2482198991,0.1227067034
