arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNA,base,1001,raw,0,0.001,1,base,30000,True,0.840625,1,1,0,0,-3.448822021,7.592395782,-52.97323227,1.080121994,35.46491525,0,0,-2.189809561,9.576494217,-53.85394669,0.9117783904,61.10074535,6.342115402,1.112030268,0.538875401,0.08117446303,0.0126208961,0.203344956,0,1.200000048,0.06470824778,0.02714962326,0.139199093,0,1.200000048
SNA,base,1002,raw,1,0.001,1,base,30000,True,0.8596270833,1,1,0,0,-0.2702957094,6.478852272,-57.59472656,1.208153009,48.95872896,0,0,-4.219016552,10.84563541,-43.24493408,0.8389406204,60.34823732,5.469357967,1.036229849,0.699860394,0.09511964023,0.03633286059,0.1805636287,0,1.200000048,0.05683502927,0.02064762823,0.1863492131,0,1.200000048
SNA,base,1003,raw,2,0.001,1,base,30000,True,0.85693125,1,1,0,0,-5.917463303,6.77356863,-34.80460358,1.143213987,53.4618368,0,0,0.692702949,9.054515839,-37.71181488,1.074111104,60.37940245,5.553792477,1.013281584,0.7388938069,0.0896647945,0.04080622271,0.1800233722,0,1.200000048,0.06653130054,0.02673561312,0.1355828941,0,1.200000048
SNA,base,1004,raw,3,0.001,1,base,30000,True,0.8583083333,1,1,0,0,-3.173390865,7.109452724,-39.43147659,0.9034072161,57.35864059,0,0,-3.836495876,10.48596096,-37.38800049,0.7674882412,58.66425729,5.531744957,1.050109029,0.7999984622,0.08640385419,0.0343423821,0.1736896932,0,1.200000048,0.05855063722,0.01976516843,0.2153107971,0,1.200000048
SNA,base,1005,raw,4,0.001,1,base,30000,True,0.8493520833,1,1,0,0,-3.772014141,7.118933201,-38.89175034,0.9833681583,53.50142841,0,0,-3.465700865,9.613888741,-29.54587364,0.7967467308,55.6302152,6.142025948,1.096539974,0.6233276129,0.08684357256,0.0373654291,0.1655400097,0,1.200000048,0.06379944831,0.02283642441,0.2068309188,0,1.200000048
SNA,base,1001,raw,0,0.001,2,base,30000,True,0.9376104167,1,1,0,0,-2.468258142,10.61578369,-68.37442017,0.9796655774,49.39643059,0,0,-17.08044052,21.15778542,-54.10533524,0.6288326383,73.07583347,8.310084343,1.507980108,1.01330173,0.05878422409,0.01404448319,0.124523364,0,1.200000048,0.02898983657,0.01806660928,0.05634779856,0,1.200000048
SNA,base,1002,raw,1,0.001,2,base,30000,True,0.9387395833,1,1,0,0,-0.6924411058,9.183485985,-48.93334579,1.031471372,54.3069606,0,0,-12.72084808,16.92313766,-44.57616043,0.6561925411,74.30030751,7.29186821,1.410616279,0.9840949178,0.06716269255,0.02181871235,0.1333319247,0,1.200000048,0.03658836707,0.02095531672,0.06857839227,0,1.200000048
SNA,base,1003,raw,2,0.001,2,base,30000,True,0.92835625,1,1,0,0,-1.553235888,9.552376747,-61.46863556,0.9981330633,51.51510807,0,0,-14.49251652,18.64300156,-54.66148758,0.6262076497,53.53269101,7.776060581,1.456757545,0.9571524858,0.06452580541,0.01847309619,0.1175923124,0,1.200000048,0.03323020041,0.01186155621,0.06524778903,0,1.200000048
SNA,base,1004,raw,3,0.001,2,base,30000,True,0.9419145833,1,1,0,0,-3.179101944,9.189373016,-67.33161926,0.8612359762,60.77042168,0,0,-14.27575397,18.15169525,-45.87384796,0.6284418106,73.84385071,7.314608097,1.442522168,1.136075735,0.06733640283,0.03024383448,0.1271072179,0,1.200000048,0.03403712437,0.01985250972,0.06447587162,0,1.200000048
SNA,base,1005,raw,4,0.001,2,base,30000,True,0.9451666667,1,1,0,0,-3.285309315,9.15237236,-59.15209198,0.8586134315,61.44536226,0,0,-14.39826202,16.74918938,-54.20143509,0.6441510916,73.42455476,7.810685635,1.439434409,0.9997470975,0.0675438866,0.02926827967,0.1233237162,0,1.200000048,0.03675178066,0.022712145,0.06550794095,0,1.200000048
