seed,env,act,late_online_acc,floor_F,floor_s,floor_thr,floor_verdict,collapse_task,tinygate_l2_t50,gate_mean_l2_t50,neggate_l2_t50,zmed_l2_t50
0,RL,LR,0.48426041603088377,0.1155,0.007659819808988513,0.12276674311886389,ABOVE_FLOOR,,0.0,0.1244949996471405,0.0,-7.338373184204102
0,RL,ELU1,0.10226249918341637,0.1155,0.007659819808988513,0.12276674311886389,AT_FLOOR,23,0.9995916485786438,8.351947326445952e-05,0.0,-155.72767639160156
0,RL,R,0.11319166496396064,0.1155,0.007659819808988513,0.12276674311886389,AT_FLOOR,42,0.9900000095367432,0.009999999776482582,0.0,-0.004251896403729916
0,RL,GELU,0.2217489555478096,0.1155,0.007659819808988513,0.12276674311886389,ABOVE_FLOOR,,0.00273333303630352,0.5138034224510193,0.012133334763348103,0.0068354615941643715
0,RL,SILU,0.11725624799728393,0.1155,0.007659819808988513,0.12276674311886389,AT_FLOOR,50,0.9683250188827515,8.48522631713422e-06,0.7912916541099548,-50.48338317871094
0,PM,LR,0.9855156242847443,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR,,0.0,0.2005075067281723,0.0,-10.636316299438477
0,PM,ELU1,0.9887510299682617,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR,,0.4434167146682739,0.12606725096702576,0.0,-17.954875946044922
0,PM,R,0.9186635315418243,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR,,0.8421916961669922,0.1578083336353302,0.0,-7.670658111572266
0,PM,GELU,0.9317645728588104,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR,,0.3363500237464905,0.12989367544651031,0.7254001498222351,-5.2059431076049805
0,PM,SILU,0.9832979023456574,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR,,0.07418333739042282,0.07647226005792618,0.8875751495361328,-8.667001724243164
1,RL,LR,0.4910020798444748,0.11583333333333334,0.005226357700618547,0.12079149159354785,ABOVE_FLOOR,,0.0,0.12205000966787338,0.0,-7.71687126159668
1,RL,ELU1,0.10231562331318855,0.11583333333333334,0.005226357700618547,0.12079149159354785,AT_FLOOR,24,0.9999749660491943,5.053678395899874e-12,0.0,-155.7696533203125
1,RL,R,0.11371666491031647,0.11583333333333334,0.005226357700618547,0.12079149159354785,AT_FLOOR,44,1.0,0.0,0.0,-0.004888603463768959
1,RL,GELU,0.22248645573854448,0.11583333333333334,0.005226357700618547,0.12079149159354785,ABOVE_FLOOR,,0.0021916667465120554,0.48937439918518066,0.015000001527369022,-0.026019729673862457
1,RL,SILU,0.1167791649699211,0.11583333333333334,0.005226357700618547,0.12079149159354785,AT_FLOOR,47,0.9645666480064392,-5.934219871051027e-07,0.8402499556541443,-50.27825164794922
1,PM,LR,0.9850926995277405,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR,,0.0,0.2438725084066391,0.0,-8.93289566040039
1,PM,ELU1,0.9883926928043365,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR,,0.5402916669845581,0.11465127021074295,0.0,-20.02691650390625
1,PM,R,0.9498239457607269,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR,,0.8585750460624695,0.1414250135421753,0.0,-10.072141647338867
1,PM,GELU,0.9224697828292847,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR,,0.16372501850128174,0.3106333017349243,0.4286249876022339,-1.3693654537200928
1,PM,SILU,0.9837291538715363,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR,,0.005866666324436665,0.171448215842247,0.7330583333969116,-5.334478378295898
2,RL,LR,0.48927187025547025,0.11341666666666668,0.005068207611677103,0.11822479057891723,ABOVE_FLOOR,,0.0,0.12288249284029007,0.0,-7.368338584899902
2,RL,ELU1,0.10209479108452797,0.11341666666666668,0.005068207611677103,0.11822479057891723,AT_FLOOR,16,0.9998832941055298,1.667097967583686e-05,0.0,-147.71621704101562
2,RL,R,0.11149687394499778,0.11341666666666668,0.005068207611677103,0.11822479057891723,AT_FLOOR,49,1.0,0.0,0.0,-0.003630939871072769
2,RL,GELU,0.21743228882551194,0.11341666666666668,0.005068207611677103,0.11822479057891723,ABOVE_FLOOR,,0.002066666493192315,0.514931857585907,0.0157583337277174,0.012602973729372025
2,RL,SILU,0.34835208058357237,0.11341666666666668,0.005068207611677103,0.11822479057891723,ABOVE_FLOOR,,0.00023333333956543356,0.3981494903564453,0.030116667971014977,-0.20157119631767273
2,PM,LR,0.9839885354042053,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR,,0.0,0.1910424828529358,0.0,-11.878560066223145
2,PM,ELU1,0.9882687509059906,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR,,0.5167500376701355,0.1162131130695343,0.0,-20.995281219482422
2,PM,R,0.9508937299251556,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR,,0.8667832016944885,0.13321666419506073,0.0,-8.13337516784668
2,PM,GELU,0.9353156149387359,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR,,0.44045838713645935,0.10491792857646942,0.6562584638595581,-6.144898414611816
2,PM,SILU,0.9327583134174346,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR,,0.014108333736658096,-0.0022096082102507353,0.9379749298095703,-5.476736068725586
