section,verdict,detail,arm,seed0,seed1,seed2,value
G0,PASS,ELU1 AT_FLOOR / LR ABOVE_FLOOR,,,,,
RL_FLOOR,ABOVE_FLOOR,,LR,ABOVE_FLOOR,ABOVE_FLOOR,ABOVE_FLOOR,
RL_FLOOR,AT_FLOOR,,ELU1,AT_FLOOR,AT_FLOOR,AT_FLOOR,
RL_FLOOR,AT_FLOOR,,R,AT_FLOOR,AT_FLOOR,AT_FLOOR,
RL_FLOOR,ABOVE_FLOOR,,GELU,ABOVE_FLOOR,ABOVE_FLOOR,ABOVE_FLOOR,
RL_FLOOR,DISAGREEMENT,,SILU,AT_FLOOR,AT_FLOOR,ABOVE_FLOOR,
Q1,UNRESOLVED,,,,,,
G1_ANCHOR,BIT_IDENTICAL,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0}",LR,,,,0.0
G1_ANCHOR,BIT_IDENTICAL,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0}",ELU1,,,,0.0
