contrast,what,k,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
S2_10r - S2dyn_10r,M (registered),1,10,0.14072083333333335,0.03782690516088946,0.95,False,10,0,0.11366109549499767,0.16778057117166903,+
S2_10r - S2dyn_10r,M (registered),2,10,0.156128125,0.052866403578861305,0.95,False,10,0,0.11830977810603485,0.19394647189396516,+
S2dyn_10r - S2u30r,R (registered),1,10,0.11198645833333332,0.04382181937183215,0.95,False,10,0,0.08063821721349873,0.1433346994531679,+
S2dyn_10r - S2u30r,R (registered),2,10,0.08119479166666667,0.021807025146205455,0.95,False,10,0,0.06559498562965493,0.0967945977036784,+
R2dyn_10 - N2,X (registered),1,10,-0.033810416666666676,0.037204964256869526,0.95,False,1,9,-0.06042524478420613,-0.007195588549127226,-
R2dyn_10 - N2,X (registered),2,10,-0.14853645833333332,0.05084024440013549,0.95,False,0,10,-0.18490537826620132,-0.11216753840046531,-
S2dyn_10r - N10r,dyn vs the collapsed net (fresh Adam): the design's literal reference,1,10,0.15501770833333334,0.03710752990052406,0.95,False,10,0,0.1284725805554844,0.18156283611118226,+
S2dyn_10r - N10r,dyn vs the collapsed net (fresh Adam): the design's literal reference,2,10,0.17492708333333334,0.019241890176829302,0.95,False,10,0,0.16116226431141142,0.18869190235525526,+
S2u30r - N10r,forward-value part: frozen t2 features vs the collapsed net,1,10,0.043031249999999986,0.019258129571457585,0.95,False,10,0,0.029254814014981943,0.05680768598501803,+
S2u30r - N10r,forward-value part: frozen t2 features vs the collapsed net,2,10,0.09373229166666666,0.010653366330348154,0.95,False,10,0,0.08611133249041787,0.10135325084291545,+
R2dyn_10 - R2_10,restore: moving vs fixed t2 field,1,10,-0.15157083333333335,0.026155758777118114,0.95,False,0,10,-0.17028153600544488,-0.13286013066122182,-
R2dyn_10 - R2_10,restore: moving vs fixed t2 field,2,10,-0.27806145833333334,0.05390689656751268,0.95,False,0,10,-0.3166241290723442,-0.23949878759432247,-
R2_10 - N2,restore excess (resp_ee),1,10,0.11776041666666666,0.01848416685138432,0.95,False,10,0,0.10453764025841679,0.13098319307491654,+
R2_10 - N2,restore excess (resp_ee),2,10,0.12952500000000003,0.033003777871341705,0.95,False,10,0,0.1059155195766174,0.15313448042338265,+
R2_10_noanchor - R2_10,restore without the fixed anchor,1,10,-0.47445937500000007,0.10963067080319311,0.95,False,0,10,-0.5528844324652493,-0.3960343175347509,-
R2_10_noanchor - R2_10,restore without the fixed anchor,2,10,-0.570128125,0.0515538348615999,0.95,False,0,10,-0.6070075167975113,-0.5332487332024887,-
R2_10_noanchor - N2,unanchored restore vs the natural t2 net,1,10,-0.3566989583333333,0.12120560673588861,0.95,False,0,10,-0.44340422615420305,-0.2699936905124636,-
R2_10_noanchor - N2,unanchored restore vs the natural t2 net,2,10,-0.440603125,0.06225478621661894,0.95,False,0,10,-0.48513751624977913,-0.39606873375022084,-
S2_5r - S2dyn_5r,movement at t5 (fixed - dyn),1,10,0.12094895833333333,0.05810670395415238,0.95,False,10,0,0.0793819263765436,0.16251599029012306,+
S2_5r - S2dyn_5r,movement at t5 (fixed - dyn),2,10,0.333675,0.06187695524719667,0.95,False,10,0,0.2894108927434866,0.3779391072565134,+
S2_20r - S2dyn_20r,movement at t20 (fixed - dyn),1,10,0.016115624999999995,0.02285552051364089,0.95,False,8,2,-0.00023422943898481277,0.0324654794389848,0
S2_20r - S2dyn_20r,movement at t20 (fixed - dyn),2,10,0.016366666666666675,0.015518437392748486,0.95,False,8,2,0.005265445307892278,0.027467888025441072,+
S2dyn_20r - S2u30r,dyn t20 above the response floor,1,10,0.019583333333333338,0.011726309804370963,0.95,False,10,0,0.011194836633226287,0.02797183003344039,+
S2dyn_20r - S2u30r,dyn t20 above the response floor,2,10,0.018058333333333336,0.018545012572641857,0.95,False,9,1,0.004792030518183126,0.03132463614848355,+
S2u10r - S2ramp_r,ramp vs its starting rung (10),1,10,0.07491562500000001,0.050334102085989936,0.95,False,10,0,0.038908777466959955,0.11092247253304008,+
S2u10r - S2ramp_r,ramp vs its starting rung (10),2,10,0.19812916666666663,0.04681309214380968,0.95,False,10,0,0.1646410979117562,0.23161723542157706,+
S2u20r - S2ramp_r,ramp vs the deepest rung it reaches in task 1 (20),1,10,-0.04351041666666666,0.0468904622131874,0.95,False,2,8,-0.07705383263502186,-0.009967000698311475,-
S2u20r - S2ramp_r,ramp vs the deepest rung it reaches in task 1 (20),2,10,0.05045312500000002,0.03625526922977164,0.95,False,9,1,0.024517667778660945,0.0763885822213391,+
N2r - S2dyn_10r,total sink with the moving field,1,10,0.40021666666666667,0.047260053983742945,0.95,False,10,0,0.36640886067285466,0.43402447266047867,+
N2r - S2dyn_10r,total sink with the moving field,2,10,0.44145625,0.036501176480384284,0.95,False,10,0,0.41534488132870695,0.46756761867129304,+
N2r - S2_10r,total sink with the fixed field (resp_ee P2),1,10,0.25949583333333337,0.06763942205470905,0.95,False,10,0,0.21110950565063985,0.3078821610160269,+
N2r - S2_10r,total sink with the fixed field (resp_ee P2),2,10,0.28532812500000004,0.047770238032039704,0.95,False,10,0,0.25115535532392297,0.3195008946760771,+
N2r - N10r,"natural gap, both fresh Adam",1,10,0.555234375,0.027821562389042088,0.95,False,10,0,0.535332028210108,0.575136721789892,+
N2r - N10r,"natural gap, both fresh Adam",2,10,0.6163833333333333,0.040034608328352976,0.95,False,10,0,0.5877442997878195,0.6450223668788471,+
