variant,seed,E3,E11,E_late,E3_32,E11_32,E_late_32,D_E,D_late,C_E,C_late,T_half,T_half_32,zbar2_t10,zbar2_t22,zero2_t10,zero2_t22,below_2p24_t10,log10_g2_median_t10,eps_w2_t10,eps_w2_t22
f64_felu,0,0.76375,0.12271875,0.10372291666666669,0.7931145833333333,0.12727083333333333,0.10183333333333333,-0.3374739583333333,-0.3437510416666666,True,True,6,7,-58.24919709377072,-129.38042736683198,0.0,0.0,0.9639333333333333,-24.033912964978065,0.1001,0.799
f64_felu,1,0.764125,0.13926041666666666,0.10591041666666667,0.7910104166666667,0.157125,0.10766666666666666,-0.3348072916666667,-0.34342812500000003,True,True,8,7,-49.03834638041288,-106.16154007213355,0.0,0.0,0.9496583333333334,-20.38674001488673,0.0167,0.68
f64_felu,2,0.7813125,0.127625,0.10918124999999998,0.7843020833333333,0.13144791666666666,0.11065833333333333,-0.33025,-0.33829895833333334,True,True,7,7,-53.340211646912245,-114.5724326355012,0.0,0.0,0.9464666666666667,-22.136474774350667,0.0594,0.7266
f64_felu,3,0.78328125,0.14254166666666668,0.10145833333333334,0.7810104166666667,0.1241875,0.10534166666666667,-0.3100572916666667,-0.34171770833333337,True,True,7,7,-50.69032837075392,-125.21913573569485,0.0,0.0,0.9425083333333333,-21.1457003269344,0.0318,0.8461
f64_felu,4,0.7501354166666667,0.12139583333333333,0.10348333333333334,0.7598854166666666,0.11771875,0.10684166666666668,-0.31740625,-0.3298802083333333,True,True,6,7,-64.56061668919625,-126.40505439478481,0.0,0.0,0.9816916666666666,-26.91104543999005,0.1152,0.7627
f64_felu,5,0.7737708333333333,0.11616666666666667,0.10221666666666666,0.7734583333333334,0.11436458333333334,0.10475208333333333,-0.3277447916666667,-0.33688854166666665,True,True,6,5,-64.64885400025784,-121.95571545815268,0.0,0.0,0.974175,-26.806248571455495,0.1362,0.8451
f64_felu,6,0.7720833333333333,0.20365625,0.12182083333333334,0.7656145833333333,0.19277083333333334,0.10794583333333332,-0.2755364583333333,-0.314959375,True,True,8,8,-32.50521877766689,-95.49587364919464,0.0,0.0,0.8226666666666667,-13.392831021351585,0.0,0.5045
f64_felu,7,0.7868125,0.134375,0.10507291666666667,0.7816875,0.14176041666666667,0.1048625,-0.32734895833333333,-0.3382020833333333,True,True,7,7,-45.07123784885714,-109.09545649372491,0.0,0.0,0.9222583333333333,-18.771808071538754,0.0166,0.7077
f64_felu,8,0.7529166666666667,0.14596875,0.10567083333333334,0.7652916666666667,0.12594791666666666,0.10020625000000001,-0.2996510416666667,-0.32707812500000005,True,True,7,7,-47.208014370016286,-114.11020980713387,0.0,0.0,0.93455,-19.455648792360375,0.0412,0.6665
f64_felu,9,0.771625,0.113,0.11005833333333333,0.7928645833333333,0.13465625,0.10341458333333334,-0.3507604166666667,-0.33808125,True,True,6,7,-71.37621644560743,-123.9121119025701,0.0,0.0,0.9940583333333334,-29.78835906656149,0.0958,0.7249
f32_felu,0,0.77240625,0.12467708333333333,0.10835416666666667,0.7931145833333333,0.12727083333333333,0.10183333333333333,-0.335515625,-0.3391197916666666,True,True,7,7,-48.807520349815626,-126.96248029887676,0.06870833333333333,0.7942916666666666,0.92625,-19.35244103707888,0.0278,0.6859
f32_felu,1,0.76353125,0.14838541666666666,0.10114791666666667,0.7910104166666667,0.157125,0.10766666666666666,-0.3256822916666667,-0.34819062500000003,True,True,7,7,-43.35381934977981,-111.76109999374151,0.026783333333333333,0.7016083333333333,0.9210333333333334,-17.847874017869156,0.0168,0.8018
f32_felu,2,0.7763229166666666,0.17288541666666668,0.1065625,0.7843020833333333,0.13144791666666666,0.11065833333333333,-0.2849895833333333,-0.3409177083333333,True,True,7,7,-46.60015793496948,-113.57995259205103,0.05185833333333333,0.6978666666666666,0.9244583333333334,-18.588494336665228,0.0235,0.6664
f64_host,0,0.7637604166666667,0.14241666666666666,0.10092916666666667,0.7931145833333333,0.12727083333333333,0.10183333333333333,-0.3177760416666666,-0.34654479166666663,True,True,6,7,-56.46787201333864,-122.09232507379707,0.7629083333333333,0.9815083333333333,0.9544833333333334,-11.620860447034405,0.0952,0.7554
f64_host,1,0.78046875,0.13898958333333333,0.11294583333333333,0.7910104166666667,0.157125,0.10766666666666666,-0.335078125,-0.33639270833333335,True,True,7,7,-43.83450756228785,-102.73149892830966,0.59915,0.9684416666666666,0.9302,-11.573944451000079,0.0085,0.567
f64_host,2,0.7813125,0.13132291666666668,0.10381458333333334,0.7843020833333333,0.13144791666666666,0.11065833333333333,-0.3265520833333333,-0.343665625,True,True,7,7,-54.44880733474518,-122.542408605795,0.7569,0.9943166666666666,0.963875,-11.96696818806552,0.06,0.7397
