task,online_acc,memo_acc,g2_end,gtr2_end,zero2_end,neffT2_end,zbar2_end,mu2_end
1,0.7965989583333333,0.9930000007152557,0.7762329477864374,0.7762329477555553,0.0,0.8644824831545904,0.22240424081201496,2.470869273859845
2,0.7606791666666666,0.996749997138977,0.6603631646010735,0.6603631645908454,0.0,0.7529477706142454,-0.11449414883627532,5.54566891968039
3,0.7788239583333334,0.9999166667461395,0.48329675368710767,0.4832967536692818,0.0004816666666666666,0.5592967351111627,-1.2413210425723575,7.034965421133537
4,0.74580625,0.9997500002384185,0.2921062872063219,0.2921062869401276,0.022440833333333333,0.3378747753066726,-3.950410042292333,11.165565477961795
5,0.6736041666666667,0.9840833306312561,0.17454194166508225,0.1745419404480358,0.14020916666666666,0.19850540687123264,-8.286619950654545,17.77119136532762
6,0.55516875,0.9276666700839996,0.09748203211477781,0.09748203016350668,0.3831191666666666,0.10968234400646745,-14.675292174644373,26.46097958129834
7,0.3515583333333333,0.6854999929666519,0.04365310886736575,0.043653107095460095,0.6450275000000001,0.04914649650148283,-23.771737058036198,37.93275847956251
8,0.2693416666666667,0.5113333344459534,0.024113928697992063,0.024113927411586047,0.7863358333333333,0.027124434093725964,-31.631500676660814,47.95383328203206
9,0.195340625,0.35733333081007,0.012456790006343667,0.012456789200057586,0.8824925,0.014222852238775873,-40.7359407880334,58.395470066467524
10,0.15802291666666668,0.26158333420753477,0.0062994376232228,0.00629943715463082,0.9391808333333334,0.007439163101679544,-50.870413848435895,69.60041027459782
11,0.136725,0.19600000083446503,0.0032869755917765892,0.003286975329816341,0.9680983333333334,0.004158396883350968,-59.775007018347914,79.85419265862558
12,0.12295937500000001,0.16024999916553498,0.001933617894524274,0.0019336177295943102,0.9813466666666667,0.0026010715895252675,-67.8720217629798,89.6181644633452
13,0.12046874999999999,0.154500000923872,0.0017709839162272111,0.0017709837975104648,0.9851391666666667,0.0023004572579566405,-74.39299915423231,98.38171921281457
14,0.11702708333333334,0.14866666719317437,0.0013183282133916014,0.001318328122496605,0.9898016666666667,0.0017499142116243656,-79.2277682011466,105.88791355445137
15,0.11193645833333332,0.1352499984204769,0.000998891497139945,0.0009988914327820142,0.9924425000000001,0.0013837017397792526,-85.52362092533238,113.81493641163925
16,0.11051354166666667,0.12791666835546495,0.000809241178345707,0.0008092411228020986,0.9938016666666668,0.0011279623722822668,-90.04372889245299,119.80237008984284
17,0.10729166666666667,0.12074999958276748,0.0004776704039543939,0.00047767036944627763,0.9961408333333333,0.0007360529083002559,-96.65881679853315,127.38971962529942
18,0.1051,0.11691666841506958,0.0004355313445594851,0.00043553131625056264,0.9967366666666667,0.0006278549649250699,-102.22274818668745,134.31920184226607
19,0.106790625,0.1199166677892208,0.00037731261327207893,0.0003773125938574473,0.9975283333333334,0.0005591851444163678,-105.6770938287223,138.81075839125063
20,0.10561875000000001,0.12100000008940696,0.0003783382738887172,0.0003783382572233677,0.9977833333333332,0.0005479877170137518,-107.9436830240249,142.5466853031147
21,0.10546979166666666,0.11174999922513962,0.00023113544040267146,0.00023113542690873147,0.9984491666666667,0.00037547655361076343,-110.88328510786809,147.13298975281015
22,0.10378229166666667,0.11658333390951156,0.00021025058155508904,0.0002102505677441756,0.9985983333333334,0.00034792556495890264,-113.21937816019847,150.34958216589195
