arm,E_k1,E_k1_lo,E_k1_hi,E_k2,floor_k1,nbar_neffT2_k1,nbar_neffT2_k2,neffT2_start,zero2_start,probe_zero2_mean_k1,zero2_end_k1,effbar2_first_k1,effbar2_last_k1,dmean2_move_k1,zarm2_move_k1,step_w2_k1,memo_k1,resp_ee_hash_match,reset
S2dyn_10r,0.32367291666666664,0.2920231689715668,0.35532266436176646,0.30622604166666667,0,0.009506287376365347,0.00786352027454781,0.0074391631021684754,0.9391808333333334,0.9516121296296296,0.9163525,-50.8704138499131,-56.2746970986503,-8.904593168126734,3.5003099193895273,0.17842024562719416,0.5765833288431168,,True
R2dyn_10,0.7450135416666666,0.7205711664708522,0.7694559168624809,0.5972697916666667,0,0.2523047669796071,0.1048830325854,0.7529477710275494,0.0,0.2016475925925926,0.18232666666666666,-0.11449414735907695,-8.231295862253665,-1.1268268940163098,-6.989974820878277,0.15755107676273683,0.9696666657924652,,False
S2ramp_r,0.6044427083333332,0.55788899072809,0.6509964259385765,0.5430031249999999,0,0.1076570734252615,0.04727383475854667,0.0597180899685282,0.0019374999999999996,0.29145064814814814,0.47233083333333326,-10.114494148836275,-15.011602481920912,-10.0,5.102891666915362,0.24353393048617705,0.9710833430290222,,True
S2dyn_5r,0.6626552083333334,0.6144251688158201,0.7108852478508466,0.5627510416666667,0,0.13398082539666342,0.06004992488434352,0.198505406888083,0.14020916666666666,0.4031153703703704,0.39130833333333326,-8.286619950358993,-13.860535265328238,-6.388672224370195,0.8147569094009535,0.18655351811767104,0.9879166722297669,,True
S2dyn_20r,0.2312697916666667,0.2238516801654211,0.2386879031679123,0.24308958333333336,0,0.0011936454086320688,0.0013359196098956766,0.000547987717053153,0.9977833333333332,0.9958369444444445,0.9914158333333333,-107.94368302049858,-109.21317337448622,-2.9396020849775,1.6701117309898652,0.07610731111794611,0.3432499974966049,,True
R2_10_noanchor,0.42212500000000003,0.33758125338267014,0.5066687466173299,0.305203125,0,0.11094338577951249,0.022298255936844313,0.7529477710275494,0.0,0.6056837962962963,0.5595375,-0.11449414735907695,-19.77437363822464,0.0,-19.659879490865556,0.1233531429966632,0.8255000084638595,,True
S2_5r,0.7836041666666667,0.7750742882523319,0.7921340450810014,0.8964260416666667,0,0.3698761356574598,0.3186220349277111,0.198505406888083,0.14020916666666666,0.09363250000000001,0.08757583333333334,-8.286619950358993,-3.8577744083029417,0.0,4.4288455420560515,0.12174216362263905,1.0,20.0,True
S2_7r,0.683775,0.6479458650474547,0.7196041349525454,0.7668458333333333,0,0.10574979520537323,0.08954214749003946,0.0491464965480674,0.6450275,0.5513566666666667,0.5122491666666666,-23.77173705869327,-19.14054404150946,0.0,4.631193017183811,0.1691593479066796,0.9894166707992553,20.0,True
S2_10r,0.46439375,0.41576178937476604,0.5130257106252339,0.4623541666666666,0,0.024316957943128888,0.02163075126760149,0.0074391631021684754,0.9391808333333334,0.8880989814814815,0.8491808333333333,-50.8704138499131,-45.92280921830259,0.0,4.947604631610504,0.19390503935204226,0.779750007390976,20.0,True
S2_15r,0.30432395833333337,0.2816653707166262,0.32698254595004056,0.29554375000000005,0,0.005608676377453943,0.004946366579999846,0.0013837017402309538,0.9924425000000001,0.9777430555555556,0.9646166666666666,-85.52362092267224,-81.76579168675336,0.0,3.7578292359188814,0.13369096343690218,0.4989166647195816,20.0,True
S2_20r,0.24738541666666664,0.23521571050744017,0.2595551228258931,0.25945625,0,0.0019016540730027905,0.0021272392032112663,0.000547987717053153,0.9977833333333332,0.993469537037037,0.9883391666666667,-107.94368302049858,-105.18825841715314,0.0,2.755424603345477,0.09058193704484101,0.3660833328962326,20.0,True
S2_10,0.38870104166666664,0.3430389068029992,0.43436317653033407,0.442921875,0,0.01308563704232132,0.01733792632442243,0.0074391631021684754,0.9391808333333334,0.9249924074074073,0.9066141666666667,-50.8704138499131,-49.49565445526495,0.0,1.3747593946481511,0.10664246371649519,0.625083327293396,20.0,False
S2u5r,0.6476552083333333,0.629848918251726,0.6654614984149407,0.8137979166666668,0,0.21778235348371494,0.18540752025316215,0.11401105783087753,2.5e-06,0.02669222222222222,0.06758416666666667,-5.114494148836275,-4.98964416289768,0.0,0.12484998593859556,0.19003418501981742,0.9997500002384185,20.0,True
S2u10r,0.6793583333333333,0.6656344940133343,0.6930821726533323,0.7411322916666666,0,0.15533784413433488,0.10620140027392437,0.0597180899685282,0.0019374999999999996,0.14506194444444445,0.24361666666666668,-10.114494148836275,-9.180475259436434,0.0,0.9340188893998409,0.23492221610338976,0.9979166686534882,20.0,True
S2u15r,0.6340572916666667,0.6195370204734689,0.6485775628598645,0.6609906249999999,0,0.11046379903167128,0.07291024399135906,0.05832482707625516,0.20415166666666668,0.37470101851851856,0.3947583333333333,-15.114494148836272,-13.083980287703321,0.0,2.030513861132952,0.26166398912201505,0.9846666812896728,20.0,True
S2u20r,0.5609322916666667,0.5334108993382581,0.5884536839950752,0.5934562500000001,0,0.06625672031561301,0.049867318743191294,0.01175240342099786,0.9616841666666668,0.6693870370370372,0.5508824999999999,-20.114494148836272,-18.072337385570727,0.0,2.042156763265546,0.2699613380898844,0.954666656255722,20.0,True
S2u30r,0.21168645833333333,0.20668809009869563,0.21668482656797103,0.22503124999999996,0,9.259259259259259e-08,0.0,8.333333333333333e-07,0.9999991666666667,0.9999999074074074,1.0,-30.114494148836275,-30.11457845534281,0.0,-8.430650653123705e-05,1.2403350051631917e-06,0.2831666648387909,20.0,True
S1u20r,0.40743645833333336,0.3732888473265253,0.44158406934014144,0.6104572916666666,0,0.273133854968742,0.20509003413590438,0.7529477706142454,0.0,0.0008765740740740741,0.003610833333333333,-0.11449414883627532,-3.853279125402568,0.0,-3.7387849765662935,0.1750077210565602,0.831083333492279,20.0,True
