quantity,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
M,10,0.14072083333333335,0.03782690516088946,0.95,False,10,0,0.11366109549499767,0.16778057117166903,+
R,10,0.11198645833333332,0.04382181937183215,0.95,False,10,0,0.08063821721349873,0.1433346994531679,+
A,10,0.15501770833333334,0.03710752990052406,0.95,False,10,0,0.1284725805554844,0.18156283611118226,+
X,10,-0.033810416666666676,0.037204964256869526,0.95,False,1,9,-0.06042524478420613,-0.007195588549127226,-
excess,10,0.11776041666666666,0.01848416685138432,0.95,False,10,0,0.10453764025841679,0.13098319307491654,+
B_natural_gap,10,0.6420989583333333,0.026500898181152144,0.95,False,10,0,0.6231413578050234,0.6610565588616432,+
B_fixed_sink,10,0.25949583333333337,0.06763942205470905,0.95,False,10,0,0.21110950565063985,0.3078821610160269,+
B_floor_below_fixed,10,0.25270729166666667,0.06809918482629992,0.95,False,10,0,0.20399206951020746,0.30142251382312585,+
