cell,seed,window,early,late,t1_online,T_A,tasks,diverged,drop,thr,margin,stage,type
LL,0,0.7300790625,0.776065,0.73071729167,0.8731104167,0,50,False,0.045347708330000014,0.1162084232080745,0.6138706392919255,ALIVE,SLOW_SINK
LL,1,0.73318552084,0.7755214583300001,0.7371979166800001,0.8610729167,0,50,False,0.03832354164999996,0.11646335617302794,0.616722164666972,ALIVE,SLOW_SINK
LL,2,0.7226511458299999,0.7643835416599999,0.72313687499,0.8500625,0,50,False,0.041246666669999876,0.12069583430367947,0.6019553115263204,ALIVE,SLOW_SINK
LL,3,0.730316145835,0.7677381249999999,0.7305458333400001,0.8601604167,0,50,False,0.03719229165999982,0.1173956533689158,0.6129204924660843,ALIVE,SLOW_SINK
LL,4,0.7292014583349999,0.7640977083399999,0.72786791668,0.8453895833,0,50,False,0.036229791659999955,0.1153533652528689,0.6138480930821311,ALIVE,SLOW_SINK
LL,5,0.726245625,0.77258291667,0.72775729167,0.8631770833,0,50,False,0.04482562499999998,0.11664239387096004,0.60960323112904,ALIVE,SLOW_SINK
LL,6,0.7283779166600001,0.77129708333,0.7288891666699999,0.86686875,0,50,False,0.0424079166600001,0.11820284475016686,0.6101750719098332,ALIVE,SLOW_SINK
LL,7,0.7201820833300001,0.7725779166500001,0.71756916667,0.8666145833,0,50,False,0.05500874998000005,0.11686682733679488,0.6033152559932052,ALIVE,SLOW_SINK
LL,8,0.72705520833,0.7687231250100001,0.72447729166,0.8586854167,0,50,False,0.0442458333500001,0.11621145638264593,0.6108437519473541,ALIVE,SLOW_SINK
LL,9,0.72261052083,0.77724083334,0.72464083333,0.864075,0,50,False,0.05260000001000009,0.11707390753524675,0.6055366132947533,ALIVE,SLOW_SINK
EL,0,0.13161666667,0.31582645834,0.13233312501,0.8437104167,3,50,False,0.18349333333,0.1162084232080745,0.0154082434619255,PARTIAL,LEARNS_THEN_PARTIAL
EL,1,0.127227187495,0.24913708334,0.13077291667,0.8274520833,3,50,False,0.11836416667000002,0.11646335617302794,0.010763831321972062,PARTIAL,LEARNS_THEN_PARTIAL
EL,2,0.12890541667,0.35149437500999997,0.13394416667000003,0.7937041667,3,50,False,0.21755020833999994,0.12069583430367947,0.008209582366320523,PARTIAL,LEARNS_THEN_PARTIAL
EL,3,0.141119583335,0.27365270834000005,0.14372458335,0.8161375,3,50,False,0.12992812499000006,0.1173956533689158,0.02372392996608419,PARTIAL,LEARNS_THEN_PARTIAL
EL,4,0.14675354168000002,0.25490562500999997,0.14798916668,0.7811208333,2,50,False,0.10691645832999996,0.1153533652528689,0.03140017642713111,PARTIAL,LEARNS_THEN_PARTIAL
EL,5,0.13377541666000003,0.32440875002,0.12786270833000002,0.84170625,3,50,False,0.19654604169,0.11664239387096004,0.017133022789039998,PARTIAL,LEARNS_THEN_PARTIAL
EL,6,0.1667028125,0.40671562499,0.16806749999999998,0.8297979167,4,50,False,0.23864812499000004,0.11820284475016686,0.04849996774983313,PARTIAL,LEARNS_THEN_PARTIAL
EL,7,0.16372593750000003,0.40146979166999996,0.15856937498999998,0.8476791667,3,50,False,0.24290041667999998,0.11686682733679488,0.04685911016320515,PARTIAL,LEARNS_THEN_PARTIAL
EL,8,0.13824656251,0.353343125,0.13948979166,0.824325,3,50,False,0.21385333333999998,0.11621145638264593,0.02203510612735407,PARTIAL,LEARNS_THEN_PARTIAL
EL,9,0.14408614583999996,0.28779458333,0.14180812501,0.8425666667,3,50,False,0.14598645832,0.11707390753524675,0.027012238304753203,PARTIAL,LEARNS_THEN_PARTIAL
GL,0,0.11484854166999998,0.12120958334000001,0.11562125000000001,0.1699666667,1,50,False,0.005588333340000001,0.1162084232080745,-0.0013598815380745088,AT_FLOOR,DEAD_FROM_T1
GL,1,0.11311447916000002,0.11692333332,0.11643479165,0.1346875,1,50,False,0.0004885416700000089,0.11646335617302794,-0.003348877013027926,AT_FLOOR,DEAD_FROM_T1
GL,2,0.11699052082499999,0.11475541666,0.12006958333,0.1082333333,1,50,False,-0.005314166669999995,0.12069583430367947,-0.0037053134786794867,AT_FLOOR,DEAD_FROM_T1
GL,3,0.11530833332999998,0.12252374999,0.11563270832999999,0.1797645833,1,50,False,0.0068910416600000135,0.1173956533689158,-0.0020873200389158186,AT_FLOOR,DEAD_FROM_T1
GL,4,0.11487312500499998,0.11491895834000002,0.11441375001000001,0.1227604167,1,50,False,0.0005052083300000065,0.1153533652528689,-0.0004802402478689266,AT_FLOOR,DEAD_FROM_T1
GL,5,0.11459854166499997,0.11897166665999999,0.11440729166000001,0.1618979167,1,50,False,0.004564374999999982,0.11664239387096004,-0.0020438522059600672,AT_FLOOR,DEAD_FROM_T1
GL,6,0.11828145832499999,0.118381875,0.11890104166000001,0.1257541667,1,50,False,-0.0005191666600000144,0.11820284475016686,7.86135748331307e-05,PARTIAL,LOW_FROM_T1_PARTIAL
GL,7,0.11626562499499997,0.12017166667000001,0.11525791667,0.1366479167,1,50,False,0.004913750000000008,0.11686682733679488,-0.000601202341794907,AT_FLOOR,DEAD_FROM_T1
GL,8,0.1156803125,0.11881687501,0.11650333333999999,0.1483479167,1,50,False,0.002313541670000016,0.11621145638264593,-0.0005311438826459403,AT_FLOOR,DEAD_FROM_T1
GL,9,0.114228229175,0.13132750001000001,0.11279625001,0.321375,1,50,False,0.018531250000000013,0.11707390753524675,-0.0028456783602467534,AT_FLOOR,DEAD_FROM_T1
LE,0,0.0992635416665,0.245426666664,0.09906645833300001,0.8841666667,3,50,False,0.146360208331,0.1162084232080745,-0.01694488154157449,AT_FLOOR,LEARNS_THEN_DIES
LE,1,0.0999455208325,0.24028979167000003,0.101332499999,0.8763479167,3,50,False,0.13895729167100002,0.11646335617302794,-0.016517835340527948,AT_FLOOR,LEARNS_THEN_DIES
LE,2,0.1021973958385,0.226289374993,0.10391458333300001,0.8694145833,3,50,False,0.12237479166,0.12069583430367947,-0.01849843846517947,AT_FLOOR,LEARNS_THEN_DIES
LE,3,0.100626875007,0.22868458333700006,0.100992708337,0.8715895833,3,50,False,0.12769187500000007,0.1173956533689158,-0.0167687783619158,AT_FLOOR,LEARNS_THEN_DIES
LE,4,0.09941020833,0.23060562499299997,0.09952229165999998,0.8672208333,3,50,False,0.13108333333299999,0.1153533652528689,-0.015943156922868906,AT_FLOOR,LEARNS_THEN_DIES
LE,5,0.09965218749900001,0.238814791654,0.099049999997,0.8621145833,3,50,False,0.139764791657,0.11664239387096004,-0.016990206371960026,AT_FLOOR,LEARNS_THEN_DIES
LE,6,0.101025520826,0.22732062501099995,0.10186249998900002,0.8826666667,3,50,False,0.12545812502199993,0.11820284475016686,-0.017177323924166862,AT_FLOOR,LEARNS_THEN_DIES
LE,7,0.099627812503,0.220475416663,0.098949583333,0.8718770833,3,50,False,0.12152583333,0.11686682733679488,-0.017239014833794877,AT_FLOOR,LEARNS_THEN_DIES
LE,8,0.10049385416050001,0.24310749999699993,0.101078333324,0.8681708333,3,50,False,0.14202916667299992,0.11621145638264593,-0.015717602222145924,AT_FLOOR,LEARNS_THEN_DIES
LE,9,0.10045687499599998,0.24672083332,0.10010083333,0.8781895833,3,50,False,0.14661999999,0.11707390753524675,-0.016617032539246776,AT_FLOOR,LEARNS_THEN_DIES
EE,0,0.0993325,0.29295708333000003,0.09906687499899999,0.8402875,3,50,False,0.19389020833100004,0.1162084232080745,-0.01687592320807449,AT_FLOOR,LEARNS_THEN_DIES
EE,1,0.10280739584649998,0.31408625001,0.10323229168700002,0.824575,3,50,False,0.210853958323,0.11646335617302794,-0.013655960326527966,AT_FLOOR,LEARNS_THEN_DIES
EE,2,0.10219697916849999,0.26438,0.10391395832300002,0.8001395833,3,50,False,0.160466041677,0.12069583430367947,-0.018498855135179487,AT_FLOOR,LEARNS_THEN_DIES
EE,3,0.10205583334049999,0.24866958333000003,0.10169604167400001,0.7992,2,50,False,0.14697354165600002,0.1173956533689158,-0.015339820028415815,AT_FLOOR,LEARNS_THEN_DIES
EE,4,0.10530041666999998,0.26670958334,0.10689833334000001,0.7912458333,2,50,False,0.15981125,0.1153533652528689,-0.010052948582868926,AT_FLOOR,LEARNS_THEN_DIES
EE,5,0.09965208333400002,0.34157437499999993,0.099049583337,0.81263125,3,50,False,0.24252479166299995,0.11664239387096004,-0.016990310536960013,AT_FLOOR,LEARNS_THEN_DIES
EE,6,0.1018220833315,0.27570500001,0.102680625,0.8509479167,3,50,False,0.17302437500999998,0.11820284475016686,-0.01638076141866686,AT_FLOOR,LEARNS_THEN_DIES
EE,7,0.099628125003,0.270626666666,0.098949583333,0.8494520833,3,50,False,0.171677083333,0.11686682733679488,-0.017238702333794875,AT_FLOOR,LEARNS_THEN_DIES
EE,8,0.0997089583325,0.26445583333999995,0.10025916666099999,0.8565625,3,50,False,0.16419666667899996,0.11621145638264593,-0.016502498050145933,AT_FLOOR,LEARNS_THEN_DIES
EE,9,0.100456354163,0.276209374997,0.10010041667,0.8535791667,3,50,False,0.176108958327,0.11707390753524675,-0.016617553372246754,AT_FLOOR,LEARNS_THEN_DIES
GE,0,0.11513604167,0.11739854167000001,0.115865,0.1140375,1,50,False,0.0015335416700000132,0.1162084232080745,-0.0010723815380744989,AT_FLOOR,DEAD_FROM_T1
GE,1,0.11388770832499999,0.11528520834,0.11694604165000003,0.1115333333,1,50,False,-0.001660833310000026,0.11646335617302794,-0.0025756478480279538,AT_FLOOR,DEAD_FROM_T1
GE,2,0.11585895833000001,0.11317437500999998,0.11899499999,0.1038291667,1,50,False,-0.005820624980000022,0.12069583430367947,-0.004836875973679461,AT_FLOOR,DEAD_FROM_T1
