cell,act1,act2,cond,seed,task,layer,p_pos,d_signed,D_abs,Q,Q_diag,zero_disagree,undefined_ratio,dead_frac,mu_norm,w_row_med,cos_med,zbar_med,zsd_med,a_rms
LL,LR,LR,raw,0,0,1,0.4678666667,-0.126433148,1.418339692,0,0,0,0,0,25.93165051,0.5771610058,-0.001991929696,-0.02080166526,0.1315861493,0.1901983433
LL,LR,LR,raw,1,0,1,0.54245,0.2191859254,1.521015481,0,0,0,0,0,26.50609445,0.5769228727,0.0009534899332,0.01207712479,0.1376536489,0.2427107734
LL,LR,LR,raw,2,0,1,0.4797333333,-0.03389377328,1.448618058,0,0,0,0,0,26.50814712,0.5774180012,-0.002670747307,-0.03646048158,0.1354096532,0.2112550122
LL,LR,LR,raw,3,0,1,0.4901666667,-0.0437312309,1.606477694,0,0,0,0,0,26.12548909,0.57807319,-0.0005365300407,-0.008466500789,0.1438405812,0.2505771159
LL,LR,LR,raw,4,0,1,0.5297166667,0.1532895677,1.481873237,0,0,0,0,0,25.98622694,0.5766582787,0.0005592681294,0.002555803163,0.1298862398,0.238410265
LL,LR,LR,raw,5,0,1,0.5286166667,0.1879383503,1.510559044,0,0,0,0,0,26.35320991,0.576566334,-0.0003640185638,-0.004079970066,0.1362269074,0.2767902615
LL,LR,LR,raw,6,0,1,0.4279916667,-0.262990627,1.580752444,0,0,0,0,0,26.11247655,0.5776195879,-0.005363008279,-0.08280835301,0.136206001,0.2123194571
LL,LR,LR,raw,7,0,1,0.4414583333,-0.2034911343,1.331541967,0,0,0,0,0,26.04160156,0.5778112186,-0.002173270062,-0.02473247238,0.1302503794,0.1932941068
LL,LR,LR,raw,8,0,1,0.5061333333,-0.0136462069,1.515324974,0,0,0,0,0,26.39409369,0.5791006976,0.0008625367385,0.01673463546,0.1337771267,0.2030050542
LL,LR,LR,raw,9,0,1,0.45095,-0.2130155979,1.51115809,0,0,0,0,0,26.26440303,0.5776146773,-0.002237001063,-0.03775225207,0.1364455372,0.2224845864
LL,LR,LR,raw,0,0,2,0.5131333333,0.1955805957,1.610439415,0,0,0,0,0,1.679303166,0.5771382073,0.001378967096,-0.001260461053,0.047995314,0.09010967511
LL,LR,LR,raw,1,0,2,0.4801333333,-0.2021342683,1.818064244,0,0,0,0,0,2.1960444,0.5732974866,-0.03329242016,-0.004178822972,0.05815740302,0.09809766844
LL,LR,LR,raw,2,0,2,0.4670333333,-0.2258360026,1.751243194,0,0,0,0,0,1.8859512,0.5715565738,-0.01352850761,-0.01860019565,0.05313821509,0.09921191956
LL,LR,LR,raw,3,0,2,0.4389916667,-0.320435414,1.928854332,0,0,0,0,0,2.285188708,0.579816664,-0.007649374204,-0.02843329124,0.0555138588,0.09481903326
LL,LR,LR,raw,4,0,2,0.4963833333,-0.01014864974,1.870390282,0,0,0,0,0,2.156899093,0.5730708622,-0.005295488836,-0.0006393124349,0.05630967021,0.1013273693
