cell_id,t0,p_count,margin_bin,margin_bins,utility,n_total,n_low,n_mid,n_high,valid_low_high,margin_cut_1,margin_cut_2,margin_cut_3,margin_cut_4,utility_cut_1,utility_cut_2,end_strict_dead_events_low,end_strict_dead_risk_low,end_strict_dead_events_mid,end_strict_dead_risk_mid,end_strict_dead_events_high,end_strict_dead_risk_high,end_dead_0_05_events_low,end_dead_0_05_risk_low,end_dead_0_05_events_mid,end_dead_0_05_risk_mid,end_dead_0_05_events_high,end_dead_0_05_risk_high
0,200001,2,0,5,utility_nmse,24,8,8,8,True,0.17474928125739098,0.25536461733281612,0.37776366025209429,0.56696834936738028,-0.00019862026784041398,0.0015174122712574454,6,0.75,5,0.625,3,0.375,7,0.875,6,0.75,3,0.375
1,200001,2,1,5,utility_nmse,24,8,8,8,True,0.17474928125739098,0.25536461733281612,0.37776366025209429,0.56696834936738028,-0.0068274805644338681,0.00061899605220615511,7,0.875,4,0.5,3,0.375,7,0.875,4,0.5,3,0.375
2,200001,2,2,5,utility_nmse,24,8,8,8,True,0.17474928125739098,0.25536461733281612,0.37776366025209429,0.56696834936738028,-0.0030355609942603022,0.0076269391806601554,5,0.625,3,0.375,3,0.375,6,0.75,4,0.5,5,0.625
3,200001,2,3,5,utility_nmse,24,8,8,8,True,0.17474928125739098,0.25536461733281612,0.37776366025209429,0.56696834936738028,-0.011549122900174548,0.011446763864534717,7,0.875,6,0.75,0,0,7,0.875,6,0.75,2,0.25
4,200001,2,4,5,utility_nmse,24,8,8,8,True,0.17474928125739098,0.25536461733281612,0.37776366025209429,0.56696834936738028,-0.037582511329506949,0.013487292079735293,6,0.75,2,0.25,1,0.125,6,0.75,3,0.375,3,0.375
5,200001,3,0,5,utility_nmse,10,4,3,3,True,0.27364060282707214,0.45732791051268579,0.5506635420024395,0.75917156040668521,-0.0012190742562337899,0.00016488335895241404,3,0.75,1,0.33333333333333331,2,0.66666666666666663,3,0.75,2,0.66666666666666663,2,0.66666666666666663
6,200001,3,1,5,utility_nmse,9,3,3,3,True,0.27364060282707214,0.45732791051268579,0.5506635420024395,0.75917156040668521,-0.0088479335265805141,-0.0021734717988143469,3,1,0,0,0,0,3,1,0,0,1,0.33333333333333331
7,200001,3,2,5,utility_nmse,9,3,3,3,True,0.27364060282707214,0.45732791051268579,0.5506635420024395,0.75917156040668521,-0.025178818512552385,0.0042096104664026707,2,0.66666666666666663,1,0.33333333333333331,3,1,3,1,3,1,3,1
8,200001,3,3,5,utility_nmse,9,3,3,3,True,0.27364060282707214,0.45732791051268579,0.5506635420024395,0.75917156040668521,-0.048635202688480754,-0.022460751399208272,2,0.66666666666666663,3,1,1,0.33333333333333331,3,1,3,1,1,0.33333333333333331
9,200001,3,4,5,utility_nmse,10,4,3,3,True,0.27364060282707214,0.45732791051268579,0.5506635420024395,0.75917156040668521,0.042782716504508732,0.091224363139394499,2,0.5,0,0,0,0,3,0.75,1,0.33333333333333331,0,0
