analysis,role,outcome,utility,geometry,epoch,group,n,n_event,risk,rd,ci_lo,ci_hi,classification,n_boot,n_boot_nonfinite,n_cell,weight,n_low,n_high,events_low,events_high,risk_low,risk_high
S1_primary_cells_dead_0_05,secondary_not_main,end_dead_0_05,utility_nmse,p_count_x_margin5,all,high-low,9454,3926,,-0.25442687343499804,-0.2940868705488125,-0.24898781713993509,PROTECTIVE,10000,0,2839,4431,5023,4431,2692,1234,0.53593470037825996,0.27849243962988041
S2_margin10_sensitivity,secondary_not_main,end_strict_dead,utility_nmse,p_count_x_margin10,all,high-low,7890,2675,,-0.24048504160028322,-0.2769940391701991,-0.23118912339089537,PROTECTIVE,10000,0,3019,3766,4124,3766,1886,789,0.45732298739088262,0.20950610727562399
S3_unadjusted_t0_tertiles,secondary_not_main,end_strict_dead,utility_nmse,t0_only,all,high-low,10408,2329,,-0.31705784050579167,-0.34265143741551629,-0.29432723875475419,PROTECTIVE,10000,0,61,5193,5215,5193,1992,337,0.38197507190795782,0.064895051030233006
S4_utility_raw,secondary_not_main,end_strict_dead,utility_raw,p_count_x_margin5,all,high-low,9454,2784,,-0.23321780528957239,-0.27971900783699793,-0.23045316723814296,PROTECTIVE,10000,0,2839,4431,5023,4431,2027,757,0.40354369898467052,0.17084179643421349
S5_utility_sign_rate,secondary_not_main,end_strict_dead,utility_nmse,none,all,negative,6271,2472,0.39419550310955193,,,,DESCRIPTIVE,0,0,0,,,,,,,
S5_utility_sign_rate,secondary_not_main,end_strict_dead,utility_nmse,none,all,zero,0,0,,,,,DESCRIPTIVE,0,0,0,,,,,,,
S5_utility_sign_rate,secondary_not_main,end_strict_dead,utility_nmse,none,all,positive,9311,1296,0.1391902051337128,,,,DESCRIPTIVE,0,0,0,,,,,,,
S6_epoch_primary_rd,secondary_not_main,end_strict_dead,utility_nmse,p_count_x_margin5,200-390k,high-low,4648,1303,,-0.21156516919866988,-0.27006648349034362,-0.20130153220684704,PROTECTIVE,10000,0,1318,2191,2457,2191,932,371,0.37932437932437935,0.16932907348242812
S6_epoch_primary_rd,secondary_not_main,end_strict_dead,utility_nmse,p_count_x_margin5,400-590k,high-low,2629,807,,-0.2475821787557729,-0.31566942399196041,-0.22309363705944157,PROTECTIVE,10000,0,820,1227,1402,1227,590,217,0.42082738944365194,0.17685411572942136
S6_epoch_primary_rd,secondary_not_main,end_strict_dead,utility_nmse,p_count_x_margin5,600-800k,high-low,2177,647,,-0.27165185916419876,-0.33469263147009315,-0.24969116665618241,PROTECTIVE,10000,0,701,1013,1164,1013,496,151,0.42611683848797249,0.14906219151036526
