seed,unit,n_exposure,n_strict_dead,n_dead_0_05,first_t0,last_t0
0,1,2,1,2,330001,340001
0,2,21,1,5,220001,610001
0,3,15,3,5,340001,730001
0,4,10,5,6,200001,460001
0,6,4,4,4,210001,350001
0,7,12,4,4,240001,450001
0,8,2,2,2,360001,410001
0,9,3,0,1,350001,380001
0,11,19,4,5,270001,610001
0,12,5,2,3,270001,600001
0,13,3,2,2,260001,340001
0,14,37,4,6,220001,800001
0,15,6,0,4,220001,360001
0,16,4,3,3,260001,600001
0,17,14,2,4,340001,620001
0,18,2,2,2,270001,340001
0,19,51,2,2,280001,800001
0,20,13,1,2,200001,450001
0,21,3,3,3,220001,360001
0,22,4,0,1,340001,380001
0,23,2,0,0,350001,360001
0,24,20,1,4,250001,590001
0,25,17,3,5,290001,790001
0,26,15,1,6,250001,740001
0,27,1,0,1,350001,350001
0,28,5,3,5,200001,470001
0,29,4,4,4,200001,600001
0,30,3,3,3,250001,350001
0,31,25,2,7,230001,620001
0,33,5,5,5,220001,580001
0,34,1,0,0,600001,600001
0,35,7,2,6,310001,600001
0,36,2,1,2,240001,590001
0,37,10,6,6,210001,590001
0,38,13,1,3,230001,640001
0,39,5,4,4,200001,270001
0,40,6,3,4,260001,640001
0,41,22,1,4,310001,600001
0,42,3,2,2,240001,470001
0,43,3,0,3,200001,400001
0,44,27,2,6,210001,750001
0,45,2,0,1,360001,370001
0,46,3,0,2,260001,470001
0,47,34,5,6,350001,780001
0,48,5,1,4,270001,470001
0,49,1,1,1,350001,350001
0,51,34,1,5,260001,760001
0,52,2,2,2,200001,220001
0,53,3,3,3,360001,410001
0,54,14,2,4,260001,520001
0,55,16,3,5,200001,610001
0,56,31,5,8,200001,740001
0,57,2,1,2,340001,360001
0,58,6,4,5,240001,470001
0,59,12,7,7,360001,600001
0,60,2,1,1,360001,410001
0,61,14,1,3,200001,470001
0,62,8,3,4,270001,550001
0,63,10,1,8,340001,600001
0,64,9,5,6,200001,600001
0,66,4,2,3,240001,370001
0,67,11,3,5,350001,590001
0,68,2,0,0,350001,360001
0,69,8,4,4,330001,610001
0,70,4,3,4,220001,360001
0,71,4,4,4,350001,790001
0,72,2,0,2,360001,370001
0,73,4,2,2,330001,600001
0,74,3,1,2,220001,370001
0,75,1,0,1,250001,250001
0,76,1,0,1,610001,610001
0,77,3,0,2,360001,410001
0,78,3,1,2,430001,460001
0,79,6,2,3,460001,600001
0,81,6,1,4,250001,470001
0,82,16,1,1,300001,650001
0,83,2,0,2,360001,600001
0,84,15,8,8,270001,730001
0,85,2,2,2,450001,470001
0,86,25,6,7,350001,730001
0,87,2,2,2,240001,260001
0,88,7,3,4,340001,510001
0,89,12,2,2,350001,620001
0,90,5,2,2,210001,760001
0,91,6,1,3,350001,600001
0,92,6,0,5,290001,470001
0,93,13,2,5,220001,600001
0,94,2,1,2,280001,360001
0,95,13,1,1,340001,460001
0,96,5,0,1,350001,390001
0,97,2,1,1,360001,600001
0,98,8,2,4,280001,600001
0,99,9,4,6,350001,490001
1,0,7,4,4,200001,620001
1,1,2,0,1,280001,290001
1,2,9,2,3,240001,770001
1,3,17,3,6,200001,540001
1,4,1,1,1,230001,230001
1,5,4,2,3,240001,540001
1,6,1,0,1,640001,640001
1,7,32,4,7,220001,780001
1,8,3,1,2,210001,240001
1,9,12,6,7,200001,580001
1,10,7,0,0,250001,330001
1,11,7,3,4,200001,340001
1,12,3,3,3,280001,640001
1,13,7,1,2,210001,290001
1,14,1,0,1,380001,380001
1,15,4,3,3,200001,580001
1,16,21,5,5,200001,800001
1,17,8,3,4,310001,590001
1,18,2,2,2,600001,650001
1,20,18,4,8,200001,620001
1,21,12,3,5,280001,530001
1,22,5,1,2,550001,800001
1,23,10,0,0,240001,330001
1,24,3,3,3,210001,280001
1,25,7,6,6,200001,640001
1,26,5,1,1,220001,480001
1,27,9,0,2,200001,480001
1,28,12,6,7,200001,430001
1,29,13,3,3,240001,580001
1,30,12,3,6,200001,470001
1,31,22,3,5,200001,620001
1,32,7,2,2,240001,660001
1,33,18,0,3,200001,800001
1,34,1,0,1,210001,210001
1,35,9,4,6,220001,530001
1,36,8,5,6,200001,640001
1,37,11,2,3,280001,740001
1,38,8,3,4,220001,640001
1,39,12,1,2,250001,380001
1,40,22,7,8,210001,750001
1,41,5,2,2,200001,250001
1,42,5,2,3,330001,800001
1,43,15,2,2,650001,800001
1,44,21,2,3,220001,800001
1,45,14,2,4,290001,680001
1,48,1,1,1,510001,510001
1,49,10,3,4,200001,650001
1,50,22,4,6,200001,650001
1,51,13,1,3,330001,540001
1,52,2,2,2,740001,760001
1,53,15,7,8,200001,600001
1,54,12,6,6,280001,790001
1,55,3,0,0,780001,800001
1,56,26,1,3,200001,650001
1,57,6,2,3,200001,280001
1,58,10,1,3,220001,460001
1,59,20,1,3,200001,420001
1,61,1,1,1,630001,630001
1,62,10,3,4,200001,300001
1,63,14,1,3,660001,800001
1,64,11,5,5,320001,800001
1,66,12,4,4,240001,640001
1,68,2,2,2,290001,530001
1,69,3,1,3,330001,390001
1,70,18,3,4,210001,460001
1,71,11,2,3,200001,580001
1,72,10,2,5,200001,530001
1,73,16,4,4,220001,730001
1,74,8,6,7,200001,640001
1,75,5,3,3,210001,650001
1,76,13,0,1,210001,690001
1,77,5,1,1,220001,650001
1,78,8,4,5,210001,580001
1,79,3,2,2,220001,290001
1,80,12,3,5,200001,610001
1,82,7,2,3,230001,310001
1,83,33,3,4,200001,680001
1,84,3,0,1,270001,290001
1,85,8,6,6,340001,800001
1,86,2,2,2,300001,540001
1,87,14,5,6,200001,550001
1,88,3,3,3,210001,530001
1,89,7,6,6,230001,470001
1,90,6,3,3,240001,300001
1,91,1,1,1,240001,240001
1,92,2,2,2,210001,640001
1,93,10,6,7,220001,530001
1,94,1,1,1,280001,280001
1,95,7,3,4,230001,520001
1,96,14,4,4,230001,460001
1,97,3,3,3,200001,640001
1,98,1,0,1,210001,210001
1,99,15,2,4,220001,410001
2,0,4,0,2,210001,260001
2,1,30,0,1,200001,510001
2,2,15,7,7,250001,710001
2,3,11,3,3,210001,400001
2,4,17,4,7,320001,780001
2,7,8,0,3,200001,280001
2,8,6,2,4,200001,590001
2,10,8,1,2,230001,470001
2,11,8,2,3,230001,370001
2,12,5,1,1,370001,480001
2,13,1,1,1,360001,360001
2,14,4,2,2,220001,280001
2,15,9,2,2,200001,360001
2,17,5,1,2,670001,780001
2,18,3,1,2,420001,460001
2,19,11,2,4,200001,360001
2,20,1,1,1,370001,370001
2,22,2,0,1,790001,800001
2,23,9,1,4,210001,320001
2,24,11,0,1,700001,800001
2,25,6,1,3,200001,260001
2,27,6,4,4,200001,720001
2,28,2,2,2,320001,370001
2,29,13,0,0,200001,320001
2,30,8,1,3,200001,270001
2,31,4,1,2,200001,320001
2,32,3,3,3,360001,570001
2,33,18,3,3,200001,790001
2,34,2,2,2,360001,380001
2,37,5,2,2,270001,380001
2,38,18,3,4,230001,800001
2,39,11,4,4,240001,420001
2,40,2,1,1,230001,240001
2,41,13,6,7,200001,800001
2,42,3,2,2,230001,700001
2,43,51,2,2,220001,760001
2,44,9,4,4,200001,610001
2,45,6,2,2,200001,360001
2,46,2,1,1,350001,360001
2,47,9,2,2,230001,330001
2,48,6,2,2,260001,360001
2,50,4,2,2,200001,260001
2,52,3,1,2,670001,710001
2,53,16,5,5,200001,400001
2,54,1,0,1,800001,800001
2,55,5,2,2,320001,700001
2,57,25,5,5,200001,800001
2,58,5,0,2,260001,310001
2,59,5,2,3,200001,310001
2,60,2,2,2,680001,710001
2,61,8,0,2,260001,330001
2,62,7,2,2,200001,290001
2,63,8,4,5,200001,770001
2,64,9,2,2,200001,370001
2,65,2,2,2,740001,760001
2,66,23,4,7,200001,800001
2,67,8,6,7,200001,360001
2,68,20,3,7,200001,800001
2,69,9,1,2,270001,580001
2,71,2,1,1,360001,370001
2,73,4,0,2,470001,500001
2,74,9,2,3,200001,330001
2,75,1,1,1,360001,360001
2,76,13,2,3,200001,380001
2,78,11,7,8,200001,710001
2,79,3,2,2,220001,240001
2,80,16,3,4,200001,710001
2,81,2,1,2,430001,460001
2,82,4,2,2,320001,720001
2,83,14,4,4,200001,800001
2,84,2,2,2,200001,420001
2,85,10,4,5,200001,570001
2,86,1,1,1,370001,370001
2,87,6,3,4,200001,770001
2,88,6,3,3,310001,800001
2,89,19,5,6,200001,670001
2,90,13,8,9,200001,750001
2,91,3,1,2,680001,710001
2,92,3,0,1,200001,230001
2,93,5,1,2,420001,470001
2,94,3,1,2,260001,410001
2,95,2,1,1,380001,390001
2,97,11,7,8,200001,710001
2,98,4,2,2,300001,370001
2,99,7,1,2,610001,670001
3,0,1,0,0,300001,300001
3,1,11,5,6,250001,600001
3,2,9,6,6,200001,630001
3,3,8,1,3,200001,280001
3,4,9,3,3,640001,770001
3,5,4,2,3,260001,510001
3,6,1,1,1,200001,200001
3,7,10,2,2,210001,630001
3,9,10,2,3,200001,770001
3,10,20,2,5,350001,580001
3,11,12,2,6,360001,630001
3,12,5,3,3,240001,760001
3,13,5,1,1,250001,290001
3,14,21,1,1,380001,800001
3,15,1,1,1,410001,410001
3,16,20,4,5,200001,710001
3,17,24,6,9,200001,770001
3,18,6,2,5,210001,540001
3,19,8,3,4,300001,610001
3,20,7,1,3,200001,280001
3,21,33,3,6,200001,630001
3,22,3,1,1,230001,250001
3,23,20,2,4,200001,510001
3,24,4,0,3,200001,250001
3,26,10,1,3,200001,640001
3,27,21,6,6,370001,800001
3,28,29,4,11,200001,800001
3,29,15,1,2,200001,410001
3,31,1,1,1,200001,200001
3,32,8,5,5,270001,770001
3,33,3,1,2,330001,350001
3,34,2,2,2,270001,480001
3,35,9,1,1,200001,290001
3,36,13,3,5,310001,600001
3,37,1,0,1,200001,200001
3,38,3,2,3,380001,490001
3,39,5,2,2,670001,780001
3,40,3,0,1,230001,260001
3,41,53,1,6,200001,790001
3,42,4,0,4,230001,270001
3,43,4,2,2,200001,800001
3,44,13,4,5,200001,490001
3,45,8,0,0,200001,270001
3,47,9,2,4,270001,770001
3,49,8,3,4,200001,300001
3,50,6,2,2,200001,510001
3,51,15,5,6,200001,440001
3,52,5,1,1,200001,410001
3,53,4,1,2,260001,410001
3,54,2,1,1,200001,210001
3,55,6,0,1,200001,260001
3,56,14,0,1,200001,330001
3,57,29,6,9,300001,780001
3,58,9,0,1,200001,280001
3,59,9,3,3,200001,300001
3,60,8,1,1,200001,420001
3,61,3,2,2,590001,630001
3,62,5,5,5,210001,610001
3,63,3,0,1,200001,250001
3,64,5,0,0,200001,270001
3,65,1,1,1,420001,420001
3,67,1,0,1,720001,720001
3,69,12,6,8,200001,770001
3,70,5,4,4,250001,620001
3,71,10,3,3,200001,770001
3,72,11,4,4,200001,490001
3,73,1,1,1,200001,200001
3,74,6,4,4,250001,610001
3,75,13,4,4,200001,640001
3,76,7,4,4,230001,490001
3,78,9,1,3,200001,790001
3,80,9,6,6,200001,610001
3,81,11,2,3,200001,390001
3,82,4,1,1,200001,800001
3,83,8,2,3,200001,420001
3,84,19,3,3,200001,410001
3,85,6,1,2,380001,720001
3,86,6,3,4,200001,620001
3,87,12,4,4,200001,800001
3,88,6,1,1,240001,290001
3,89,6,3,5,270001,720001
3,90,21,6,6,200001,770001
3,91,8,5,5,240001,610001
3,92,3,3,3,230001,260001
3,93,2,1,1,260001,270001
3,94,4,0,1,200001,290001
3,95,12,3,3,200001,380001
3,96,2,1,1,270001,620001
3,97,5,1,2,200001,310001
3,98,9,3,3,200001,620001
4,0,13,3,5,250001,590001
4,2,6,4,4,200001,290001
4,3,1,1,1,590001,590001
4,4,7,1,2,550001,610001
4,5,1,1,1,240001,240001
4,6,7,2,2,490001,570001
4,7,5,3,4,360001,800001
4,8,15,2,5,280001,800001
4,10,3,2,2,570001,610001
4,11,3,1,1,690001,720001
4,13,15,1,2,540001,680001
4,14,46,2,2,350001,800001
4,15,5,2,3,370001,680001
4,16,16,1,3,200001,420001
4,17,1,0,0,590001,590001
4,18,2,2,2,300001,360001
4,19,3,1,3,260001,590001
4,20,5,2,4,200001,500001
4,21,7,2,3,490001,590001
4,22,2,0,0,790001,800001
4,24,8,2,3,580001,750001
4,25,6,6,6,340001,580001
4,27,2,1,1,200001,210001
4,28,1,1,1,590001,590001
4,30,1,1,1,560001,560001
4,31,2,0,2,670001,680001
4,33,1,0,0,590001,590001
4,34,10,3,3,300001,560001
4,35,5,3,3,280001,590001
4,36,6,2,3,270001,680001
4,37,4,0,1,270001,510001
4,38,2,1,1,560001,570001
4,39,8,5,5,280001,550001
4,40,7,0,0,590001,800001
4,42,12,2,5,400001,540001
4,45,39,1,3,200001,800001
4,47,1,0,0,600001,600001
4,48,14,3,5,220001,560001
4,49,1,0,1,250001,250001
4,50,1,1,1,680001,680001
4,51,4,3,3,200001,490001
4,52,7,5,5,390001,610001
4,53,1,0,1,500001,500001
4,54,5,1,2,200001,250001
4,56,1,1,1,540001,540001
4,57,34,2,4,200001,660001
4,58,3,2,2,560001,700001
4,59,1,0,0,200001,200001
4,61,9,0,1,520001,600001
4,62,3,1,1,220001,500001
4,63,2,0,2,580001,600001
4,65,11,3,4,300001,440001
4,67,1,1,1,590001,590001
4,68,3,2,2,210001,270001
4,69,10,5,5,250001,600001
4,70,2,2,2,280001,700001
4,72,2,0,1,200001,210001
4,73,7,2,2,240001,520001
4,74,2,2,2,330001,500001
4,75,11,3,6,200001,610001
4,76,10,1,2,240001,640001
4,77,6,3,3,280001,530001
4,78,4,2,3,580001,790001
4,79,2,0,0,480001,490001
4,80,2,1,2,200001,590001
4,81,22,1,1,570001,800001
4,82,15,3,3,200001,790001
4,83,9,5,8,220001,750001
4,84,4,1,1,480001,600001
4,85,15,3,9,200001,790001
4,86,11,2,3,220001,430001
4,87,5,3,3,200001,800001
4,90,3,1,3,320001,800001
4,91,9,2,4,300001,700001
4,92,4,2,3,370001,600001
4,93,1,0,1,590001,590001
4,95,2,1,1,200001,210001
4,96,1,1,1,280001,280001
4,97,1,1,1,280001,280001
4,99,4,2,3,200001,550001
5,1,5,3,3,200001,300001
5,2,10,0,2,380001,570001
5,3,1,0,1,440001,440001
5,6,3,2,2,210001,250001
5,7,8,3,4,240001,440001
5,8,11,3,5,200001,800001
5,9,3,1,3,200001,770001
5,10,3,3,3,250001,350001
5,11,12,5,5,200001,430001
5,12,1,1,1,240001,240001
5,13,18,1,3,200001,460001
5,14,23,0,1,200001,550001
5,15,6,5,5,210001,440001
5,16,3,2,2,240001,320001
5,20,9,3,3,200001,320001
5,21,35,1,1,200001,540001
5,22,3,2,2,200001,220001
5,23,1,1,1,230001,230001
5,24,13,0,4,290001,490001
5,25,4,0,1,210001,260001
5,26,6,3,3,200001,340001
5,27,1,1,1,770001,770001
5,28,2,0,0,290001,300001
5,30,27,2,5,200001,460001
5,31,25,1,2,200001,760001
5,32,4,2,2,300001,770001
5,33,36,1,3,200001,560001
5,34,7,0,0,740001,800001
5,35,3,0,1,320001,340001
5,36,4,2,3,200001,760001
5,38,1,1,1,410001,410001
5,39,1,1,1,310001,310001
5,40,14,4,5,200001,410001
5,41,1,1,1,670001,670001
5,42,23,2,2,320001,540001
5,44,9,4,4,200001,350001
5,48,5,2,2,640001,800001
5,49,2,1,1,680001,690001
5,52,7,2,4,200001,690001
5,53,9,4,5,200001,440001
5,54,15,2,4,200001,650001
5,55,2,0,0,200001,210001
5,56,10,4,4,220001,800001
5,57,1,0,0,300001,300001
5,58,1,1,1,540001,540001
5,59,2,1,1,210001,330001
5,62,5,1,1,200001,800001
5,63,1,1,1,300001,300001
5,64,2,2,2,230001,650001
5,65,3,1,1,210001,670001
5,66,6,1,2,200001,250001
5,67,15,3,3,200001,470001
5,68,12,1,3,200001,770001
5,70,5,2,2,200001,300001
5,71,1,1,1,440001,440001
5,72,1,1,1,760001,760001
5,73,1,1,1,230001,230001
5,74,3,2,3,230001,800001
5,76,2,1,1,210001,220001
5,77,29,5,8,200001,800001
5,78,3,0,0,210001,250001
5,79,37,2,4,200001,800001
5,80,13,2,2,390001,800001
5,82,7,2,3,200001,300001
5,85,13,5,5,200001,450001
5,86,4,4,4,200001,680001
5,87,2,1,1,320001,330001
5,88,4,0,2,230001,340001
5,90,3,2,2,240001,450001
5,91,1,0,0,800001,800001
5,92,1,1,1,580001,580001
5,93,11,3,3,350001,620001
5,94,1,1,1,440001,440001
5,98,3,0,3,200001,430001
5,99,30,1,1,210001,580001
6,0,1,1,1,330001,330001
6,1,3,1,1,570001,590001
6,2,4,1,1,680001,710001
6,3,1,0,0,320001,320001
6,6,5,4,4,350001,680001
6,7,12,5,5,200001,320001
6,8,1,1,1,200001,200001
6,9,6,1,3,440001,600001
6,10,4,2,2,260001,450001
6,11,14,5,5,320001,690001
6,12,2,2,2,420001,430001
6,13,3,1,2,470001,790001
6,14,11,1,1,200001,300001
6,16,2,1,1,250001,260001
6,18,9,5,5,200001,540001
6,19,4,3,3,430001,470001
6,20,8,1,1,460001,640001
6,22,13,3,3,360001,590001
6,24,3,2,2,420001,460001
6,25,2,1,1,200001,460001
6,26,5,2,2,250001,680001
6,27,6,5,5,200001,430001
6,28,2,1,1,590001,600001
6,29,8,5,5,200001,770001
6,30,8,1,2,310001,470001
6,31,21,2,5,200001,800001
6,32,4,4,4,200001,430001
6,33,2,0,1,600001,610001
6,35,8,0,1,540001,610001
6,36,1,0,1,300001,300001
