scope,seed,group,outcome,n,n_event,risk
pooled,-1,low,end_strict_dead,5023,2018,0.40175194107107304
pooled,-1,mid,end_strict_dead,2965,906,0.30556492411467118
pooled,-1,high,end_strict_dead,4431,739,0.16677950801173549
seed,0,low,end_strict_dead,301,111,0.3687707641196013
seed,0,mid,end_strict_dead,175,51,0.29142857142857143
seed,0,high,end_strict_dead,220,32,0.14545454545454545
seed,1,low,end_strict_dead,296,122,0.41216216216216217
seed,1,mid,end_strict_dead,144,49,0.34027777777777779
seed,1,high,end_strict_dead,259,62,0.23938223938223938
seed,2,low,end_strict_dead,226,99,0.43805309734513276
seed,2,mid,end_strict_dead,143,49,0.34265734265734266
seed,2,high,end_strict_dead,188,35,0.18617021276595744
seed,3,low,end_strict_dead,261,108,0.41379310344827586
seed,3,mid,end_strict_dead,184,51,0.27717391304347827
seed,3,high,end_strict_dead,216,37,0.17129629629629631
seed,4,low,end_strict_dead,163,72,0.44171779141104295
seed,4,mid,end_strict_dead,93,37,0.39784946236559138
seed,4,high,end_strict_dead,143,20,0.13986013986013987
seed,5,low,end_strict_dead,201,70,0.34825870646766172
seed,5,mid,end_strict_dead,117,35,0.29914529914529914
seed,5,high,end_strict_dead,156,17,0.10897435897435898
seed,6,low,end_strict_dead,169,73,0.43195266272189348
seed,6,mid,end_strict_dead,101,44,0.43564356435643564
seed,6,high,end_strict_dead,148,30,0.20270270270270271
seed,7,low,end_strict_dead,334,97,0.29041916167664672
seed,7,mid,end_strict_dead,165,36,0.21818181818181817
seed,7,high,end_strict_dead,312,34,0.10897435897435898
seed,8,low,end_strict_dead,236,103,0.4364406779661017
seed,8,mid,end_strict_dead,151,46,0.30463576158940397
seed,8,high,end_strict_dead,214,48,0.22429906542056074
seed,9,low,end_strict_dead,292,110,0.37671232876712329
seed,9,mid,end_strict_dead,176,49,0.27840909090909088
seed,9,high,end_strict_dead,296,39,0.13175675675675674
seed,10,low,end_strict_dead,258,120,0.46511627906976744
seed,10,mid,end_strict_dead,154,44,0.2857142857142857
seed,10,high,end_strict_dead,221,42,0.19004524886877827
seed,11,low,end_strict_dead,300,158,0.52666666666666662
seed,11,mid,end_strict_dead,173,65,0.37572254335260113
seed,11,high,end_strict_dead,219,51,0.23287671232876711
seed,12,low,end_strict_dead,230,92,0.40000000000000002
seed,12,mid,end_strict_dead,158,43,0.27215189873417722
seed,12,high,end_strict_dead,209,39,0.18660287081339713
seed,13,low,end_strict_dead,237,102,0.43037974683544306
seed,13,mid,end_strict_dead,118,25,0.21186440677966101
seed,13,high,end_strict_dead,199,23,0.11557788944723618
seed,14,low,end_strict_dead,162,68,0.41975308641975306
seed,14,mid,end_strict_dead,97,39,0.40206185567010311
seed,14,high,end_strict_dead,142,33,0.23239436619718309
seed,15,low,end_strict_dead,336,119,0.35416666666666669
seed,15,mid,end_strict_dead,203,59,0.29064039408866993
seed,15,high,end_strict_dead,329,46,0.1398176291793313
seed,16,low,end_strict_dead,192,95,0.49479166666666669
seed,16,mid,end_strict_dead,93,38,0.40860215053763443
seed,16,high,end_strict_dead,180,35,0.19444444444444445
seed,17,low,end_strict_dead,225,94,0.4177777777777778
seed,17,mid,end_strict_dead,152,58,0.38157894736842107
seed,17,high,end_strict_dead,204,34,0.16666666666666666
seed,18,low,end_strict_dead,328,115,0.35060975609756095
seed,18,mid,end_strict_dead,202,48,0.23762376237623761
seed,18,high,end_strict_dead,294,50,0.17006802721088435
seed,19,low,end_strict_dead,276,90,0.32608695652173914
seed,19,mid,end_strict_dead,166,40,0.24096385542168675
seed,19,high,end_strict_dead,282,32,0.11347517730496454
