id,status,value,threshold,detail
C-S1,PASS,15582,R=20; 122 records; 61 t0/t1 pairs,"seeds=20,t0=61"
C-S2,PASS,1.6653345369377348e-16,<1e-12,n=20
C-S3,PASS,4.2563317315746616e-16,p quant <1e-12; geometry <1e-10,p_quant=0
C-S4,PASS,0,identity mismatches=0; nonfinite=0,nonfinite=0
C-S5,PASS,100000,100000-step exact state/hash match,differences=0
C-S6,PASS,5,all 5 required initial hashes differ from offset=0,"{""default_zero_offset_pass"":true,""required_key_differences"":{""env.flip_state"":true,""net.W"":true,""net.v"":true,""teacher.W"":true,""teacher.v"":true}}"
C-S7,PASS,2839,valid cells and finite bootstrap,"{""bootstrap_nonfinite"":0,""excluded_exposures"":3163,""high"":4431,""invalid_cells"":3163,""low"":5023,""repeat_max"":58,""repeat_median"":6.0,""repeat_min"":1,""seed_event_max"":282,""seed_event_min"":125,""seed_risk_max"":1097,""seed_risk_min"":527,""total_cells"":6002}"
C-S8,PASS,7,all CSV byte-identical,two independent analysis builds with RNG reset
