act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,none,0,8,20,b2,1,100,167.9785085,12.96065232,0.5863603814,22.10356076,0.1557489964,12.88235471,0.1679785085,0.1659550628,0.1531231009,0.01283196186,0
R,none,0,8,20,W3,2,1000,1882.57763,43.3886809,1.830950648,23.6973514,0.4309731931,42.63161745,1.88257763,1.817454806,1.727044944,0.09040986225,0
R,none,0,8,20,b3,1,10,0.1473366137,0.3838445176,0.1899511938,2.020753384,0.5623778119,0.3184496785,0.0001473366137,0.0001014101977,3.759462103e-05,6.381557669e-05,0
R,none,0,8,21,W1,2,78400,2529.393178,50.29307286,5.794016178,8.680174738,0.1371886262,49.82981615,2.529393178,2.483010578,1.980166046,0.5028445321,0
R,none,0,8,21,b1,1,100,3.281480457,1.811485704,0.2046886733,8.849955766,0.1753761781,1.786986914,0.003281480457,0.003193322231,0.002581796699,0.0006115255324,0
R,none,0,8,21,W2,2,10000,1261.41789,35.51644534,5.794315006,6.129533052,0.2982082094,34.23818585,1.26141789,1.172253371,0.8834050319,0.2888483387,0
R,none,0,8,21,b2,1,100,167.9736064,12.9604632,0.5863603814,22.10323823,0.1564723741,12.88173904,0.1679736064,0.1659392006,0.1531184206,0.01282078,0
R,none,0,8,21,W3,2,1000,1880.283656,43.36223767,1.830950648,23.68290904,0.4303620949,42.60633285,1.880283656,1.815299599,1.724847801,0.09045179717,0
R,none,0,8,21,b3,1,10,0.1182916051,0.3439354664,0.1899511938,1.810651776,0.3565845641,0.3283002326,0.0001182916051,0.0001077810427,2.371115623e-05,8.406988647e-05,0
R,none,0,8,22,W1,2,78400,2529.393178,50.29307286,5.794016178,8.680174738,0.1371886262,49.82981615,2.529393178,2.483010578,1.980166046,0.5028445321,0
R,none,0,8,22,b1,1,100,3.281480457,1.811485704,0.2046886733,8.849955766,0.1753761781,1.786986914,0.003281480457,0.003193322231,0.002581796699,0.0006115255324,0
R,none,0,8,22,W2,2,10000,1261.41789,35.51644534,5.794315006,6.129533052,0.2982082094,34.23818585,1.26141789,1.172253371,0.8834050319,0.2888483387,0
R,none,0,8,22,b2,1,100,167.9757067,12.96054423,0.5863603814,22.10337642,0.156282737,12.88193186,0.1679757067,0.1659441684,0.1531204259,0.01282374247,0
R,none,0,8,22,W3,2,1000,1880.215574,43.36145263,1.830950648,23.68248029,0.4304423464,42.60539886,1.880215574,1.815220012,1.724782595,0.09043741686,0
R,none,0,8,22,b3,1,10,0.113518436,0.3369249709,0.1899511938,1.773744951,-0.1177900951,0.4058039667,0.000113518436,0.0001646768594,2.160129116e-05,0.0001430755682,0
R,none,0,8,23,W1,2,78400,2529.393178,50.29307286,5.794016178,8.680174738,0.1371886262,49.82981615,2.529393178,2.483010578,1.980166046,0.5028445321,0
