arm,seed,raw_sgd_vs_current_radial_flip,raw_sgd_vs_current_radial_n,current_vs_adam_radial_flip,current_vs_adam_radial_n,raw_sgd_vs_adam_radial_flip,raw_sgd_vs_adam_radial_n,raw_sgd_vs_current_var_linear_flip,raw_sgd_vs_current_var_linear_n,current_vs_adam_var_linear_flip,current_vs_adam_var_linear_n,raw_sgd_vs_adam_var_linear_flip,raw_sgd_vs_adam_var_linear_n,adam_median_abs_cos,raw_sgd_median_abs_cos
LR,0,0.26,2000,0.1765,2000,0.3085,2000,0.024,2000,0.0605,2000,0.0705,2000,0.03028694614000437,0.031308195538336414
LR,1,0.2525,2000,0.1675,2000,0.313,2000,0.0385,2000,0.0595,2000,0.079,2000,0.03133533770281642,0.030078479361005855
LR,2,0.2675,2000,0.1685,2000,0.298,2000,0.0235,2000,0.0565,2000,0.067,2000,0.031949085364793,0.03175601901576188
SNA,0,0.1665,2000,0.167,2000,0.2315,2000,0.0285,2000,0.056,2000,0.0645,2000,0.030585409817883026,0.03447074557250883
SNA,1,0.161,2000,0.172,2000,0.256,2000,0.0325,2000,0.0625,2000,0.068,2000,0.030180011924065976,0.03432550183509951
SNA,2,0.152,2000,0.162,2000,0.227,2000,0.029,2000,0.061,2000,0.081,2000,0.0335853521018474,0.036076548528633276
