feature,aux,a,c,seed,n,ba,auc,spearman_erosion
q,0.0,0.3499999940395355,0.0,5.0,47998,0.49952973265360223,0.507960415553773,0.009779053134711778
q,0.0,0.3499999940395355,0.0,6.0,48000,0.5045220952964926,0.5167271517953459,0.028642206969815474
q,0.0,0.3499999940395355,0.0,7.0,48000,0.5189735005009889,0.5278684716795824,0.0395053471756476
q,0.0,0.3499999940395355,0.0,8.0,47999,0.5029798381439998,0.5115082349964734,0.010410413766399156
q,0.0,0.3499999940395355,0.0,9.0,47999,0.5002048897463436,0.5085201595197815,0.007809127952885022
q,0.0,0.4000000059604645,0.0,5.0,48000,0.5009577293297784,0.5090084704867329,0.0028916833803802958
q,0.0,0.4000000059604645,0.0,6.0,47999,0.5099705462645567,0.5184409036726387,0.01420644893647378
q,0.0,0.4000000059604645,0.0,7.0,48000,0.5218043636390755,0.5300639372223805,0.040134619326632946
q,0.0,0.4000000059604645,0.0,8.0,48000,0.4982565979895154,0.5033819101296876,-0.010274493639180263
q,0.0,0.4000000059604645,0.0,9.0,48000,0.4953053628487237,0.5013861476533863,-0.010700325948661622
q,0.0,0.44999998807907104,0.0,5.0,48000,0.5008165297706124,0.5087999102060532,-0.0025532010852027044
q,0.0,0.44999998807907104,0.0,6.0,48000,0.4961159816039092,0.500085638832998,-0.018200579099164758
q,0.0,0.44999998807907104,0.0,7.0,48000,0.514348721676966,0.5200495909456045,0.029715821834042335
q,0.0,0.44999998807907104,0.0,8.0,48000,0.5061345074144843,0.5106167290347254,0.0031651217536008904
q,0.0,0.44999998807907104,0.0,9.0,48000,0.5003854258679133,0.5025828094350253,-0.013732471413573689
q,0.0,0.550000011920929,0.0,5.0,48000,0.5087190493047226,0.4988461831590932,-0.015943019373896687
q,0.0,0.550000011920929,0.0,6.0,47999,0.5091744940646402,0.5065867980296043,-0.00032750695875533525
q,0.0,0.550000011920929,0.0,7.0,48000,0.5003013703720982,0.49123740341713157,-0.03207924824608434
q,0.0,0.550000011920929,0.0,8.0,48000,0.5083885464574207,0.5018624193550321,-0.013209458813301938
q,0.0,0.550000011920929,0.0,9.0,48000,0.504106594807809,0.4919228543536148,-0.028827627930871465
q,0.0,0.6000000238418579,0.0,5.0,48000,0.514477726289456,0.5041521823299475,-0.001507158722442711
q,0.0,0.6000000238418579,0.0,6.0,48000,0.5188848362067755,0.5075377093665154,0.012617950142963397
q,0.0,0.6000000238418579,0.0,7.0,48000,0.5054382976359029,0.4924586150013569,-0.031067588083376993
q,0.0,0.6000000238418579,0.0,8.0,48000,0.5152321681695697,0.5035231227282685,-0.004821168126985975
q,0.0,0.6000000238418579,0.0,9.0,48000,0.5133488725499764,0.4967965603972138,-0.015250351806429556
q,0.0,0.6499999761581421,0.0,5.0,48000,0.519251883328683,0.5078103461134519,0.01614544529574981
q,0.0,0.6499999761581421,0.0,6.0,48000,0.5235050229649449,0.5146518807218521,0.03431976369595354
q,0.0,0.6499999761581421,0.0,7.0,48000,0.502362946018364,0.486097070036009,-0.033916634731909374
q,0.0,0.6499999761581421,0.0,8.0,48000,0.5179587970671474,0.5055934263889105,0.010658533582754858
q,0.0,0.6499999761581421,0.0,9.0,48000,0.5166886621493855,0.49896667016061863,-0.0018897102949290798
q,0.0,0.800000011920929,0.0,5.0,48000,0.5191806336329818,0.5134010483593402,0.03923108323921024
q,0.0,0.800000011920929,0.0,6.0,48000,0.518996213668034,0.5140575362450193,0.03962270302578983
q,0.0,0.800000011920929,0.0,7.0,48000,0.5209858195498422,0.5136871987750131,0.041295001636920084
q,0.0,0.800000011920929,0.0,8.0,48000,0.5168697218659026,0.5042170417588339,0.018634136852986153
q,0.0,0.800000011920929,0.0,9.0,48000,0.5137619556651802,0.507383025668119,0.019722222774303664
q,1.0,0.10000000149011612,-0.5,5.0,47831,0.503033311556276,0.5002441901322785,0.02415519355093847
q,1.0,0.10000000149011612,-0.5,6.0,47893,0.5063854741879042,0.5079745201233975,0.027677815888460425
q,1.0,0.10000000149011612,-0.5,7.0,47872,0.497703476369765,0.5032668301898027,0.020870133867984798
q,1.0,0.10000000149011612,-0.5,8.0,47817,0.4983881626948061,0.4943461856427363,0.012892052766596602
q,1.0,0.10000000149011612,-0.5,9.0,47897,0.4952434985733926,0.4942721081877669,0.0022718410702583527
q,1.0,0.10000000149011612,0.0,5.0,47999,0.500652896918642,0.4976519200528192,0.009768399830109777
q,1.0,0.10000000149011612,0.0,6.0,47995,0.50185639999656,0.5033027295382662,0.01759532793762934
q,1.0,0.10000000149011612,0.0,7.0,47998,0.5033012953307147,0.5059186715704217,0.03644018491115904
q,1.0,0.10000000149011612,0.0,8.0,47996,0.4985422787559626,0.49991426048812015,0.0165947655828457
q,1.0,0.10000000149011612,0.0,9.0,47994,0.5026518898394983,0.5013412692408701,0.019113520781669932
q,1.0,0.10000000149011612,0.5,5.0,47996,0.4611974520063119,0.3966328012561182,-0.16526265249629413
q,1.0,0.10000000149011612,0.5,6.0,47997,0.4649816409472992,0.39859801378818005,-0.15233312154742007
q,1.0,0.10000000149011612,0.5,7.0,47997,0.47597725716326944,0.40742390546922064,-0.14062494300445663
q,1.0,0.10000000149011612,0.5,8.0,47998,0.47050655295655414,0.40712912656612504,-0.14794435923914467
q,1.0,0.10000000149011612,0.5,9.0,47998,0.47320217874751014,0.3993181647201031,-0.16132858344762618
qabs,0.0,0.3499999940395355,0.0,5.0,47998,0.502368536485449,0.500819945866849,0.09411104498996449
qabs,0.0,0.3499999940395355,0.0,6.0,48000,0.5031518883617347,0.511000902440911,0.10677475598010863
qabs,0.0,0.3499999940395355,0.0,7.0,48000,0.5057096833343765,0.5159257869476752,0.12447284738825216
qabs,0.0,0.3499999940395355,0.0,8.0,47999,0.5038345067224057,0.5113980542033553,0.11677397912470683
qabs,0.0,0.3499999940395355,0.0,9.0,47999,0.5040861205829456,0.5034946076663506,0.10688745997818376
qabs,0.0,0.4000000059604645,0.0,5.0,48000,0.5062207741027861,0.5117253022348063,0.12992808798361963
qabs,0.0,0.4000000059604645,0.0,6.0,47999,0.5092465499130079,0.5201037399666921,0.13938770623382882
qabs,0.0,0.4000000059604645,0.0,7.0,48000,0.5104275678489586,0.5217662881925251,0.1568835230235391
qabs,0.0,0.4000000059604645,0.0,8.0,48000,0.5087027188135035,0.5144465261083143,0.13735868081665625
qabs,0.0,0.4000000059604645,0.0,9.0,48000,0.5042684891805775,0.5092317291082981,0.13191172623334235
qabs,0.0,0.44999998807907104,0.0,5.0,48000,0.5075632325674355,0.5172718736096048,0.15773672226413696
qabs,0.0,0.44999998807907104,0.0,6.0,48000,0.5107275797643,0.5193957854268468,0.1644740391161552
qabs,0.0,0.44999998807907104,0.0,7.0,48000,0.512718472743918,0.5290809393666052,0.18333835206920926
qabs,0.0,0.44999998807907104,0.0,8.0,48000,0.5131498937556128,0.5289315859435851,0.18271856079404153
qabs,0.0,0.44999998807907104,0.0,9.0,48000,0.5144083579037118,0.522437384809615,0.163074684375981
qabs,0.0,0.550000011920929,0.0,5.0,48000,0.5250386006340779,0.5430750318204164,0.1991117356082832
qabs,0.0,0.550000011920929,0.0,6.0,47999,0.5208839446534641,0.5403575066911134,0.2025652326801678
qabs,0.0,0.550000011920929,0.0,7.0,48000,0.5256556839195441,0.5445407031404513,0.1893151738314438
qabs,0.0,0.550000011920929,0.0,8.0,48000,0.5222318279369165,0.5424308398533065,0.20574325603570054
qabs,0.0,0.550000011920929,0.0,9.0,48000,0.5292689332831306,0.5501178084705366,0.19689757142040143
qabs,0.0,0.6000000238418579,0.0,5.0,48000,0.5261747658972995,0.5455038372340156,0.2007422984623181
qabs,0.0,0.6000000238418579,0.0,6.0,48000,0.530014906910613,0.5510246099421584,0.20270720744800955
qabs,0.0,0.6000000238418579,0.0,7.0,48000,0.5259441828925404,0.5482721483205397,0.19321518564908888
qabs,0.0,0.6000000238418579,0.0,8.0,48000,0.5258710378591827,0.5475703547690821,0.19794333568274294
qabs,0.0,0.6000000238418579,0.0,9.0,48000,0.5325205910058242,0.5575469675149252,0.19442271025070562
qabs,0.0,0.6499999761581421,0.0,5.0,48000,0.5255664389553705,0.550205740084498,0.19644648876038087
qabs,0.0,0.6499999761581421,0.0,6.0,48000,0.5274721502462846,0.5553928112250508,0.19656757225545282
qabs,0.0,0.6499999761581421,0.0,7.0,48000,0.5217060430657297,0.5471685296474432,0.18966326143205714
qabs,0.0,0.6499999761581421,0.0,8.0,48000,0.5219138261771291,0.5486757310595546,0.19750795548595515
qabs,0.0,0.6499999761581421,0.0,9.0,48000,0.5279997805141596,0.5597437441259399,0.19420824605278317
qabs,0.0,0.800000011920929,0.0,5.0,48000,0.5166750856180838,0.5455222729778731,0.23354656030843057
qabs,0.0,0.800000011920929,0.0,6.0,48000,0.5174592579193338,0.5452559400446682,0.22175742267020207
qabs,0.0,0.800000011920929,0.0,7.0,48000,0.5279411578985812,0.5531132028331774,0.23631442053035656
qabs,0.0,0.800000011920929,0.0,8.0,48000,0.5245127254114278,0.5539984708058713,0.24146416427266154
qabs,0.0,0.800000011920929,0.0,9.0,48000,0.5211986019296301,0.546891115798989,0.22570766752121565
