feature,threshold,shrink_if
q,0.00611254945397377,gt
qabs,0.1423683762550354,gt
qpos,0.027073338627815247,gt
qneg,0.0640118345618248,gt
q_integral,0.0009111480903811753,gt
q_integral_abs,0.6568173170089722,gt
q_uniform,0.005222023464739323,gt
qcov,0.136513352394104,gt
qcov_v2,0.00608257669955492,gt
var,0.4367592930793762,gt
vabs,0.17133699357509613,gt
qnearzero,0.0030581140890717506,gt
qedges,0.002733944682404399,gt
