a,seed,feature,threshold,ba
0.35,5.0,q,0.00611254945397377,0.49952973265360223
0.35,6.0,q,0.00611254945397377,0.5045220952964926
0.35,7.0,q,0.00611254945397377,0.5189735005009889
0.35,8.0,q,0.00611254945397377,0.5029798381439998
0.35,9.0,q,0.00611254945397377,0.5002048897463436
0.35,5.0,qabs,0.19222860038280487,0.5021517154593595
0.35,6.0,qabs,0.19222860038280487,0.5085166561027059
0.35,7.0,qabs,0.19222860038280487,0.5163122392854246
0.35,8.0,qabs,0.19222860038280487,0.5104252560331703
0.35,9.0,qabs,0.19222860038280487,0.5027460699924517
0.35,5.0,q_integral,0.0009111480903811753,0.5071275220102451
0.35,6.0,q_integral,0.0009111480903811753,0.5154068029467447
0.35,7.0,q_integral,0.0009111480903811753,0.529017152853515
0.35,8.0,q_integral,0.0009111480903811753,0.5126549043227251
0.35,9.0,q_integral,0.0009111480903811753,0.5112747732208588
0.35,5.0,q_uniform,0.009306755848228931,0.5056533762831557
0.35,6.0,q_uniform,0.009306755848228931,0.5134593176968265
0.35,7.0,q_uniform,0.009306755848228931,0.5277578041135956
0.35,8.0,q_uniform,0.009306755848228931,0.5125167255488321
0.35,9.0,q_uniform,0.009306755848228931,0.5098209353554499
0.35,5.0,qcov,0.13080917298793793,0.5166998155101448
0.35,6.0,qcov,0.13080917298793793,0.5232235016162392
0.35,7.0,qcov,0.13080917298793793,0.5334683631026866
0.35,8.0,qcov,0.13080917298793793,0.5237862939602888
0.35,9.0,qcov,0.13080917298793793,0.5213709450130886
0.35,5.0,qcov_v2,0.003712298581376672,0.5127774057396971
0.35,6.0,qcov_v2,0.003712298581376672,0.518479949221575
0.35,7.0,qcov_v2,0.003712298581376672,0.528348245578244
0.35,8.0,qcov_v2,0.003712298581376672,0.5224657284845551
0.35,9.0,qcov_v2,0.003712298581376672,0.5223819219026475
0.4,5.0,q,0.00611254945397377,0.5009577293297784
0.4,6.0,q,0.00611254945397377,0.5099705462645567
0.4,7.0,q,0.00611254945397377,0.5218043636390755
0.4,8.0,q,0.00611254945397377,0.4982565979895154
0.4,9.0,q,0.00611254945397377,0.4953053628487237
0.4,5.0,qabs,0.034628309309482574,0.5006374145485822
0.4,6.0,qabs,0.034628309309482574,0.5000222788896045
0.4,7.0,qabs,0.034628309309482574,0.500002300799426
0.4,8.0,qabs,0.034628309309482574,0.5000484912067557
0.4,9.0,qabs,0.034628309309482574,0.4993967289908867
0.4,5.0,q_integral,0.0009111480903811753,0.5120501090798661
0.4,6.0,q_integral,0.0009111480903811753,0.5198579563071754
0.4,7.0,q_integral,0.0009111480903811753,0.5350722656852394
0.4,8.0,q_integral,0.0009111480903811753,0.5097840748764496
0.4,9.0,q_integral,0.0009111480903811753,0.5042543085592261
0.4,5.0,q_uniform,0.005231544375419617,0.5114132542481729
0.4,6.0,q_uniform,0.005231544375419617,0.5189801821952684
0.4,7.0,q_uniform,0.005231544375419617,0.5348605274785823
0.4,8.0,q_uniform,0.005231544375419617,0.5084887161198632
0.4,9.0,q_uniform,0.005231544375419617,0.5033441153000993
0.4,5.0,qcov,0.12034395337104797,0.520948107572571
0.4,6.0,qcov,0.12034395337104797,0.5276501932456764
0.4,7.0,qcov,0.12034395337104797,0.5306422191802098
0.4,8.0,qcov,0.12034395337104797,0.5221970705026419
0.4,9.0,qcov,0.12034395337104797,0.5227179374318939
0.4,5.0,qcov_v2,0.003963050432503223,0.5228717739205871
0.4,6.0,qcov_v2,0.003963050432503223,0.5260641666382555
0.4,7.0,qcov_v2,0.003963050432503223,0.5363107962539838
0.4,8.0,qcov_v2,0.003963050432503223,0.5259514693631996
0.4,9.0,qcov_v2,0.003963050432503223,0.5241265290532513
0.45,5.0,q,0.00611254945397377,0.5008165297706124
0.45,6.0,q,0.00611254945397377,0.4961159816039092
0.45,7.0,q,0.00611254945397377,0.514348721676966
0.45,8.0,q,0.00611254945397377,0.5061345074144843
0.45,9.0,q,0.00611254945397377,0.5003854258679133
0.45,5.0,qabs,0.034633614122867584,0.5003720503801266
0.45,6.0,qabs,0.034633614122867584,0.5036008910606495
0.45,7.0,qabs,0.034633614122867584,0.5020579721851987
0.45,8.0,qabs,0.034633614122867584,0.5022335400043839
0.45,9.0,qabs,0.034633614122867584,0.5062292425230238
0.45,5.0,q_integral,0.0009111480903811753,0.5143170236796919
0.45,6.0,q_integral,0.0009111480903811753,0.5063728801379707
0.45,7.0,q_integral,0.0009111480903811753,0.5306640009693444
0.45,8.0,q_integral,0.0009111480903811753,0.5168599245490813
0.45,9.0,q_integral,0.0009111480903811753,0.5157866258116437
0.45,5.0,q_uniform,0.005222023464739323,0.5131352840765216
0.45,6.0,q_uniform,0.005222023464739323,0.505300732969244
0.45,7.0,q_uniform,0.005222023464739323,0.5295737576908061
0.45,8.0,q_uniform,0.005222023464739323,0.5156202118293526
0.45,9.0,q_uniform,0.005222023464739323,0.5139744637064151
0.45,5.0,qcov,0.12033341825008392,0.5206523887310608
0.45,6.0,qcov,0.12033341825008392,0.5223580770336304
0.45,7.0,qcov,0.12033341825008392,0.5323963003352317
0.45,8.0,qcov,0.12033341825008392,0.5256271460602401
0.45,9.0,qcov,0.12033341825008392,0.524746322298145
0.45,5.0,qcov_v2,0.0025797386188060045,0.5257341184084349
0.45,6.0,qcov_v2,0.0025797386188060045,0.524167145731532
0.45,7.0,qcov_v2,0.0025797386188060045,0.5395149238660689
0.45,8.0,qcov_v2,0.0025797386188060045,0.5312027936183573
0.45,9.0,qcov_v2,0.0025797386188060045,0.532703375966421
0.55,5.0,q,0.007960544899106026,0.5086802988622329
0.55,6.0,q,0.007960544899106026,0.5091615574721433
0.55,7.0,q,0.007960544899106026,0.49958492885967015
0.55,8.0,q,0.007960544899106026,0.508684126075664
0.55,9.0,q,0.007960544899106026,0.5037751115074677
0.55,5.0,qabs,0.1423683762550354,0.5250386006340779
0.55,6.0,qabs,0.1423683762550354,0.5208839446534641
0.55,7.0,qabs,0.1423683762550354,0.5256556839195441
0.55,8.0,qabs,0.1423683762550354,0.5222318279369165
0.55,9.0,qabs,0.1423683762550354,0.5292689332831306
0.55,5.0,q_integral,0.0012306690914556384,0.5236835114203946
0.55,6.0,q_integral,0.0012306690914556384,0.5222156435078973
0.55,7.0,q_integral,0.0012306690914556384,0.5245709739121154
0.55,8.0,q_integral,0.0012306690914556384,0.5225145968107952
0.55,9.0,q_integral,0.0012306690914556384,0.5255998372899007
0.55,5.0,q_uniform,0.005231544375419617,0.5206805962596723
0.55,6.0,q_uniform,0.005231544375419617,0.5203931927119066
0.55,7.0,q_uniform,0.005231544375419617,0.5222983620972017
0.55,8.0,q_uniform,0.005231544375419617,0.5206413462711342
0.55,9.0,q_uniform,0.005231544375419617,0.522158784615887
0.55,5.0,qcov,0.13666348159313202,0.5332768204218827
0.55,6.0,qcov,0.13666348159313202,0.5305655073067115
0.55,7.0,qcov,0.13666348159313202,0.5333900285030935
0.55,8.0,qcov,0.13666348159313202,0.53192258100842
0.55,9.0,qcov,0.13666348159313202,0.5353257551504157
0.55,5.0,qcov_v2,0.006368238013237715,0.5368065507334508
0.55,6.0,qcov_v2,0.006368238013237715,0.5325334283664319
0.55,7.0,qcov_v2,0.006368238013237715,0.5393453340953697
0.55,8.0,qcov_v2,0.006368238013237715,0.5347231118572475
0.55,9.0,qcov_v2,0.006368238013237715,0.5422366842116115
0.6,5.0,q,0.006100818049162626,0.5144658558464736
0.6,6.0,q,0.006100818049162626,0.5188974420848329
0.6,7.0,q,0.006100818049162626,0.5054090551505228
0.6,8.0,q,0.006100818049162626,0.515324059664093
0.6,9.0,q,0.006100818049162626,0.5133529038365326
0.6,5.0,qabs,0.1841629296541214,0.5272978401233213
0.6,6.0,qabs,0.1841629296541214,0.5288982892677487
0.6,7.0,qabs,0.1841629296541214,0.5266527573228604
0.6,8.0,qabs,0.1841629296541214,0.5259659679509759
0.6,9.0,qabs,0.1841629296541214,0.5321077334181253
0.6,5.0,q_integral,0.0012987927766516805,0.5248670836185734
0.6,6.0,q_integral,0.0012987927766516805,0.5297063104884074
0.6,7.0,q_integral,0.0012987927766516805,0.522844860589786
0.6,8.0,q_integral,0.0012987927766516805,0.5275150391827736
0.6,9.0,q_integral,0.0012987927766516805,0.5284533695154118
0.6,5.0,q_uniform,0.009306879714131355,0.521007872285139
0.6,6.0,q_uniform,0.009306879714131355,0.5278070531571344
0.6,7.0,q_uniform,0.009306879714131355,0.5191573217762626
0.6,8.0,q_uniform,0.009306879714131355,0.523826146743807
0.6,9.0,q_uniform,0.009306879714131355,0.5247006921938969
0.6,5.0,qcov,0.13674665987491608,0.5304581401718568
0.6,6.0,qcov,0.13674665987491608,0.5293682862027236
0.6,7.0,qcov,0.13674665987491608,0.5321676232622637
