feature,a,seed,phase,n,ba
q,0.35,5,0.0,2000,0.48559444612076197
q,0.35,5,1.0,2000,0.5797430856812564
q,0.35,5,2.0,2000,0.5763750064072992
q,0.35,5,3.0,2000,0.5571534299193848
q,0.35,5,4.0,1997,0.5605746657988909
q,0.35,5,5.0,1998,0.5605314919872458
q,0.35,5,6.0,1996,0.5387208158682318
q,0.35,5,7.0,1984,0.5635382409983979
q,0.35,5,8.0,1970,0.5451095591282507
q,0.35,5,9.0,1965,0.5380905148102768
q,0.35,6,0.0,2000,0.47356502564822267
q,0.35,6,1.0,2000,0.586613601662036
q,0.35,6,2.0,2000,0.5772018165370074
q,0.35,6,3.0,2000,0.567465579418289
q,0.35,6,4.0,1999,0.5672317546616122
q,0.35,6,5.0,1998,0.5706323584955688
q,0.35,6,6.0,1995,0.5688384487751058
q,0.35,6,7.0,1988,0.5472232724491437
q,0.35,6,8.0,1982,0.5535478593869091
q,0.35,6,9.0,1973,0.5658496181305912
q,0.35,7,0.0,2000,0.4493606113414852
q,0.35,7,1.0,2000,0.6321606321606321
q,0.35,7,2.0,2000,0.6226287503642609
q,0.35,7,3.0,1999,0.6296391513086572
q,0.35,7,4.0,1999,0.6209415772397777
q,0.35,7,5.0,1999,0.6197698945554437
q,0.35,7,6.0,1998,0.6003605153512517
q,0.35,7,7.0,1995,0.5833812949640288
q,0.35,7,8.0,1994,0.5822129241921727
q,0.35,7,9.0,1978,0.5619189912489533
q,0.35,8,0.0,2000,0.4784530257203817
q,0.35,8,1.0,2000,0.5772327232723272
q,0.35,8,2.0,2000,0.5740836588492113
q,0.35,8,3.0,2000,0.5817218782558962
q,0.35,8,4.0,1999,0.5736074242210509
q,0.35,8,5.0,1996,0.5778997163201318
q,0.35,8,6.0,1993,0.5474166956925577
q,0.35,8,7.0,1982,0.5629965495886048
q,0.35,8,8.0,1977,0.5420603963440941
q,0.35,8,9.0,1959,0.5342642576105494
q,0.35,9,0.0,2000,0.5002606882168926
q,0.35,9,1.0,2000,0.5848078233794621
q,0.35,9,2.0,2000,0.5670489380005573
q,0.35,9,3.0,2000,0.584201534013758
q,0.35,9,4.0,1999,0.5660520114547779
q,0.35,9,5.0,2000,0.5613632079540698
q,0.35,9,6.0,1998,0.5517390636860645
q,0.35,9,7.0,1995,0.5446126969392229
q,0.35,9,8.0,1990,0.5735729563067693
q,0.35,9,9.0,1981,0.545664317495372
q,0.4,5,0.0,2000,0.47758972545304806
q,0.4,5,1.0,2000,0.5719249912648234
q,0.4,5,2.0,1999,0.5681171228260761
q,0.4,5,3.0,2000,0.545508216873706
q,0.4,5,4.0,1998,0.5638647053969302
q,0.4,5,5.0,1998,0.5441832264121421
q,0.4,5,6.0,1999,0.5516022259459236
q,0.4,5,7.0,1994,0.5451854008930305
q,0.4,5,8.0,1997,0.542718934539515
q,0.4,5,9.0,1987,0.5514381844570524
q,0.4,6,0.0,1999,0.4618802508134931
q,0.4,6,1.0,2000,0.5756539847040848
q,0.4,6,2.0,1999,0.556476845115649
q,0.4,6,3.0,1999,0.5641865958074992
q,0.4,6,4.0,2000,0.5388136288998358
q,0.4,6,5.0,1998,0.5582709891936825
q,0.4,6,6.0,1999,0.5644131904776608
q,0.4,6,7.0,2000,0.5686666666666667
q,0.4,6,8.0,1996,0.5478998222694191
q,0.4,6,9.0,1995,0.5593540172843847
q,0.4,7,0.0,2000,0.42738565559809505
q,0.4,7,1.0,2000,0.6354323780794369
q,0.4,7,2.0,2000,0.6262173606210304
q,0.4,7,3.0,2000,0.6091600039080947
q,0.4,7,4.0,1998,0.6037185250683833
q,0.4,7,5.0,1999,0.602694725713171
q,0.4,7,6.0,1996,0.5719342829944924
q,0.4,7,7.0,1997,0.5883257552572903
q,0.4,7,8.0,1996,0.5607276629951427
q,0.4,7,9.0,1993,0.533996369605843
q,0.4,8,0.0,2000,0.4721511693011119
q,0.4,8,1.0,2000,0.5651355238141667
q,0.4,8,2.0,2000,0.5631352541016407
q,0.4,8,3.0,2000,0.5727526446643592
q,0.4,8,4.0,1999,0.5800599831265304
q,0.4,8,5.0,1998,0.5556073424185961
q,0.4,8,6.0,1998,0.5714524582716382
q,0.4,8,7.0,1996,0.5533417438363343
q,0.4,8,8.0,1995,0.5631279521908191
q,0.4,8,9.0,1995,0.5523533833917545
q,0.4,9,0.0,2000,0.4927350443630878
q,0.4,9,1.0,1999,0.5797930299679555
q,0.4,9,2.0,2000,0.5822121785964733
q,0.4,9,3.0,2000,0.5659998626811902
q,0.4,9,4.0,2000,0.5654473799028703
q,0.4,9,5.0,1999,0.5865052626736013
q,0.4,9,6.0,2000,0.5647934928138221
q,0.4,9,7.0,2000,0.5631487232282999
q,0.4,9,8.0,1998,0.5688994712174017
q,0.4,9,9.0,1996,0.5600995396612731
q,0.45,5,0.0,2000,0.4534581011794212
q,0.45,5,1.0,2000,0.5660992907801419
q,0.45,5,2.0,1999,0.5642142353770261
q,0.45,5,3.0,2000,0.5576530576530576
q,0.45,5,4.0,2000,0.5590522740352304
q,0.45,5,5.0,2000,0.5550190864389234
q,0.45,5,6.0,2000,0.5619284814578528
q,0.45,5,7.0,1998,0.564530947949564
q,0.45,5,8.0,2000,0.54766315954709
q,0.45,5,9.0,2000,0.5581796869379758
q,0.45,6,0.0,2000,0.4594979102185959
q,0.45,6,1.0,2000,0.5767071370519646
q,0.45,6,2.0,2000,0.5564321855008943
q,0.45,6,3.0,2000,0.5503620503620503
q,0.45,6,4.0,2000,0.543797544626045
q,0.45,6,5.0,2000,0.5595337193595502
q,0.45,6,6.0,2000,0.5573737044407603
q,0.45,6,7.0,2000,0.5595960384326258
q,0.45,6,8.0,1999,0.5418996855167068
q,0.45,6,9.0,1999,0.5362321699738948
q,0.45,7,0.0,2000,0.44468747320457486
q,0.45,7,1.0,1999,0.6017858519921884
q,0.45,7,2.0,2000,0.5759398496240602
q,0.45,7,3.0,2000,0.5723591512323611
q,0.45,7,4.0,2000,0.5733335018579843
q,0.45,7,5.0,2000,0.5552612016776132
q,0.45,7,6.0,2000,0.5596857430215495
q,0.45,7,7.0,1999,0.5388279785171767
q,0.45,7,8.0,1998,0.5324776841474179
q,0.45,7,9.0,1999,0.535676048042742
q,0.45,8,0.0,2000,0.44935064229061
