a,step,seed,full_shrink_fraction,self_shrink_fraction,self_full_sign_agreement,self_abs_mean,full_abs_mean,rest_abs_mean,q_full_spearman
0.35,1000000,0,0.59,0.92,0.53,0.04721403522701845,0.000301618294018394,0.04716709215251932,-0.0873207320732073
0.35,1000000,1,0.53,0.89,0.5,0.05068915002682511,0.000600547730007298,0.05067709207717464,0.09485748574857485
0.35,1000000,2,0.57,0.89,0.5,0.07137162720568654,0.001085638234201342,0.07139344995634166,0.0763036303630363
0.35,1000000,3,0.46,0.92,0.48,0.035309928594239745,0.0003296846317847909,0.035316350859269645,0.0032763276327632757
0.35,1000000,4,0.38,0.89,0.39,0.041902462648220756,0.00019699089742645102,0.04194753052779307,-0.06899489948994898
0.35,1000000,5,0.44,0.88,0.5,0.05647906967101152,0.0007147134524249658,0.05671937487152252,-0.1739213921392139
0.35,1000000,6,0.42,0.92,0.36,0.050442118745862,2.0331783889377945e-05,0.050448300875909166,-0.11169516951695169
0.35,1000000,7,0.45,0.83,0.54,0.04822552731321863,0.0004749376500792064,0.04834386070138723,-0.031131113111311125
0.35,1000000,8,0.44,0.95,0.41,0.06634537402912008,0.00013462306193568876,0.06636469442954414,-0.07391539153915391
0.35,1000000,9,0.46,0.96,0.42,0.08716619282717536,2.2620791205317867e-05,0.08716896877411942,0.04847284728472846
0.35,5000000,0,0.49,0.89,0.52,0.05196540422571813,0.00022949764546938405,0.05202298027580984,-0.14382238223822383
0.35,5000000,1,0.55,0.89,0.54,0.03774373020100935,6.951433467808115e-05,0.037726836666386564,0.016513651365136512
0.35,5000000,2,0.44,0.96,0.48,0.04109600658456956,0.00013327845284655734,0.04109286079371735,0.1939153915391539
0.35,5000000,3,0.44,0.99,0.43,0.05563139222225298,0.0008436015703304746,0.05563550323919858,0.013285328532853283
0.35,5000000,4,0.44,0.9,0.52,0.11398812652753554,0.007468966998341934,0.11312338656858804,-0.06325832583258326
0.35,5000000,5,0.47,0.93,0.44,0.03695072527950013,3.825664208897522e-05,0.036949796028496955,0.07765976597659766
0.35,5000000,6,0.46,0.9,0.48,0.04085618360951832,0.00023790282791354557,0.040858519236808666,0.10189018901890187
0.35,5000000,7,0.55,0.92,0.59,0.0419198477128522,0.00033813335656820265,0.041855815139699534,0.05455745574557455
0.35,5000000,8,0.44,0.94,0.46,0.041257749083814105,3.775977568257214e-05,0.0412572722232024,0.1103150315031503
