arm,start,end,seed,n,growth_fraction,norm_growth_fraction,median_abs_cos,symmetry_among_growth,both_sides_grow_fraction,norm_delta,radial,injection,dsigma2,var_linear,var_quadratic,dmean,dupper,dlower
LR,0,20,1.0,2000.0,0.547,0.5465,0.0328546625345022,0.5000482707174002,0.4205,0.0183852568064653,-0.061233990096222,0.0796192469026873,0.0222943480752769,-0.1853471868140757,0.2038909330213881,0.0917392281859387,0.0285096665731122,0.0168350655215176
LR,0,625,1.0,2000.0,0.936,0.8815,0.0497908146237249,0.3175792315174132,0.868,0.5782546131877675,-0.4131806878780613,0.9972625017551384,1.531868142506898,-0.0256527699188773,1.5896211290975426,-0.0321516676367555,0.8085894696125574,0.6821561995229529
LR,20,300,1.0,2000.0,0.9545,0.8965,0.0226983690002084,0.3091147194416431,0.889,0.3997004201935036,-0.0698700391481519,0.4695704593416556,1.1634321416169,0.4428458077224566,0.7205863338944437,-0.113484421110721,0.6221495946902214,0.5307703510403736
LR,300,625,1.0,2000.0,0.8235,0.842,0.0280984838356954,0.4302156590199562,0.6965,0.1633163402193121,0.0491579685800598,0.1128492631389384,0.3355080444768399,0.2229845169575925,0.1125235275192473,-0.0281403778657147,0.1503165911355094,0.1423533387879257
SNA,0,20,1.0,2000.0,0.6805,0.614,0.0334033145203199,0.469446610790511,0.551,0.028732273463088,-0.0430426644731484,0.0711345573345097,0.1256203566043488,-0.0642504962096385,0.1877240411136642,-0.1236529378361313,0.1025726848493718,0.0846358524215929
SNA,0,625,1.0,2000.0,0.8735,0.8375,0.0538337733565939,0.3156287058161126,0.8025,0.3358577282230722,-0.2911151477995138,0.620730404386536,0.855004335931787,-0.0749851996950991,0.9349988621662588,-0.0084147082551822,0.6329038006642911,0.4985179239700116
SNA,20,300,1.0,2000.0,0.848,0.8215,0.0280317132256875,0.3203574706378643,0.7755,0.215736323593775,-0.0593860546801879,0.2722708246903169,0.5427595909090885,0.1667060694276153,0.3634062417866004,0.1153408790934557,0.3988050761628124,0.3106322095381108
SNA,300,625,1.0,2000.0,0.7845,0.7885,0.0323571558818345,0.4334199807446908,0.65,0.0940631375886687,0.0061341627641721,0.0904169505690174,0.199453115295662,0.1036990314005995,0.0957540838950626,-0.0001026495125066,0.1298463303742738,0.1081067004183549
