target,feature,a,seed,slope,intercept,r2,spearman,ba
dsigma2,q,0.3499999940395355,5.0,0.01265482,2.2464286e-05,-0.0006322860717773438,0.009779053134711778,0.49952973265360223
dsigma2,q,0.3499999940395355,6.0,0.01265482,2.2464286e-05,-0.0008054971694946289,0.028642206969815474,0.5045220952964926
dsigma2,q,0.3499999940395355,7.0,0.01265482,2.2464286e-05,-0.0004388093948364258,0.0395053471756476,0.5189735005009889
dsigma2,q,0.3499999940395355,8.0,0.01265482,2.2464286e-05,-0.0005633831024169922,0.010410413766399156,0.5029798381439998
dsigma2,q,0.3499999940395355,9.0,0.01265482,2.2464286e-05,-0.0006684064865112305,0.007809127952885022,0.5002048897463436
dsigma2,q,0.4000000059604645,5.0,0.01265482,2.2464286e-05,-0.001346588134765625,0.0028916833803802958,0.5009577293297784
dsigma2,q,0.4000000059604645,6.0,0.01265482,2.2464286e-05,-0.001225113868713379,0.01420644893647378,0.5099705462645567
dsigma2,q,0.4000000059604645,7.0,0.01265482,2.2464286e-05,-0.0002853870391845703,0.040134619326632946,0.5218043636390755
dsigma2,q,0.4000000059604645,8.0,0.01265482,2.2464286e-05,-0.0013507604598999023,-0.010274493639180263,0.4982565979895154
dsigma2,q,0.4000000059604645,9.0,0.01265482,2.2464286e-05,-0.0012760162353515625,-0.010700325948661622,0.4953053628487237
dsigma2,q,0.44999998807907104,5.0,0.01265482,2.2464286e-05,-0.0008637905120849609,-0.0025532010852027044,0.5008165297706124
dsigma2,q,0.44999998807907104,6.0,0.01265482,2.2464286e-05,-0.0010336637496948242,-0.018200579099164758,0.4961159816039092
dsigma2,q,0.44999998807907104,7.0,0.01265482,2.2464286e-05,-0.00017881393432617188,0.029715821834042335,0.514348721676966
dsigma2,q,0.44999998807907104,8.0,0.01265482,2.2464286e-05,-0.0001329183578491211,0.0031651217536008904,0.5061345074144843
dsigma2,q,0.44999998807907104,9.0,0.01265482,2.2464286e-05,-0.0004955530166625977,-0.013732471413573689,0.5003854258679133
dsigma2,q,0.550000011920929,5.0,0.01265482,2.2464286e-05,1.7821788787841797e-05,-0.015943019373896687,0.5087190493047226
dsigma2,q,0.550000011920929,6.0,0.01265482,2.2464286e-05,0.00031244754791259766,-0.00032750695875533525,0.5091744940646402
