a,c,seed,aux,window,median_width_ratio,median_weight_ratio
0.35,0.0,0,0,initial_to_final,2.3327640068346205,1.2618920669051379
0.35,0.0,0,0,late_100tasks,1.0140343194518613,0.9815056076880333
0.35,0.0,1,0,initial_to_final,2.36163171077967,1.4128404381698103
0.35,0.0,1,0,late_100tasks,0.9934302302600475,0.984346460920682
0.35,0.0,2,0,initial_to_final,2.414910055038747,1.3506830537707981
0.35,0.0,2,0,late_100tasks,0.9991648462196637,0.9898848053073372
0.35,0.0,3,0,initial_to_final,2.4610928152765403,1.3878952788514802
0.35,0.0,3,0,late_100tasks,0.9846860602912813,0.9870414759129731
0.35,0.0,4,0,initial_to_final,2.280731335375484,1.3354144666616712
0.35,0.0,4,0,late_100tasks,0.9502847524589713,0.9651013948326896
0.35,0.0,5,0,initial_to_final,2.4304317628588956,1.354404271052454
0.35,0.0,5,0,late_100tasks,1.0007437499357812,0.988659640748867
0.35,0.0,6,0,initial_to_final,2.4945419021644923,1.339317718198285
0.35,0.0,6,0,late_100tasks,0.955656387497624,0.9763928745046393
0.35,0.0,7,0,initial_to_final,2.714524880284154,1.361715865195177
0.35,0.0,7,0,late_100tasks,1.045630503180012,0.9974462537751145
0.35,0.0,8,0,initial_to_final,2.5365661994590205,1.3234097520158032
0.35,0.0,8,0,late_100tasks,0.9719635960266315,0.9447746092818021
0.35,0.0,9,0,initial_to_final,2.2899270251231956,1.3018011332975556
0.35,0.0,9,0,late_100tasks,0.9934919703989373,0.9694288370029394
0.45,0.0,0,0,initial_to_final,2.0115930746462563,1.0807818910687623
0.45,0.0,0,0,late_100tasks,0.950881197256024,0.9398714445560177
0.45,0.0,1,0,initial_to_final,2.1131734187179525,1.1092223603036195
0.45,0.0,1,0,late_100tasks,1.0635180425475401,0.9505238837681262
0.45,0.0,2,0,initial_to_final,2.0455951254223095,1.109515444950035
0.45,0.0,2,0,late_100tasks,1.0112594396069685,0.9567988039778723
0.45,0.0,3,0,initial_to_final,2.002889573113936,1.1465875481748125
0.45,0.0,3,0,late_100tasks,0.9080398613497034,0.8987882835836497
0.45,0.0,4,0,initial_to_final,2.0409161589087166,1.1752904701230884
0.45,0.0,4,0,late_100tasks,1.0422395660685753,1.0286928536544653
0.45,0.0,5,0,initial_to_final,2.007898435343094,1.0936467730208872
0.45,0.0,5,0,late_100tasks,0.9663558735985702,0.9698508801030008
0.45,0.0,6,0,initial_to_final,1.953044774012886,1.0734884270812026
0.45,0.0,6,0,late_100tasks,0.8826780191783218,0.9010052124540724
0.45,0.0,7,0,initial_to_final,2.24342607615942,1.2024584269243745
0.45,0.0,7,0,late_100tasks,1.0715056194765604,1.0527074864488697
0.45,0.0,8,0,initial_to_final,2.142748452767136,1.2232179514693229
0.45,0.0,8,0,late_100tasks,0.9708573788318386,0.9376400858169602
0.45,0.0,9,0,initial_to_final,1.9052135550122875,1.0721504880261996
0.45,0.0,9,0,late_100tasks,1.034441019186069,0.973999453897384
0.4,0.0,0,0,initial_to_final,2.066732591575926,1.1966459591613545
0.4,0.0,0,0,late_100tasks,0.9763468108326263,0.9878162189687731
0.4,0.0,1,0,initial_to_final,2.19252401001924,1.2930887971042182
0.4,0.0,1,0,late_100tasks,1.0421428562340145,1.002825481776244
0.4,0.0,2,0,initial_to_final,2.183701314892393,1.2508642660923188
0.4,0.0,2,0,late_100tasks,1.000919333661599,0.9920413225305522
0.4,0.0,3,0,initial_to_final,2.3106900908930674,1.2696804001886561
0.4,0.0,3,0,late_100tasks,1.0239931895932906,0.9968685110497206
0.4,0.0,4,0,initial_to_final,2.3213777532666238,1.2497132475847934
0.4,0.0,4,0,late_100tasks,1.0024801940244756,0.9866126948174914
0.4,0.0,5,0,initial_to_final,2.162668312827522,1.2929029706187092
0.4,0.0,5,0,late_100tasks,0.98199669394503,0.9542979983953324
0.4,0.0,6,0,initial_to_final,2.183922608990951,1.2636207018500933
0.4,0.0,6,0,late_100tasks,1.0204308801614523,0.9965768945999935
0.4,0.0,7,0,initial_to_final,2.3607315795814885,1.2813072792730726
0.4,0.0,7,0,late_100tasks,1.0105402108582837,1.0122083995308406
0.4,0.0,8,0,initial_to_final,2.3767892238842,1.2441668588632768
0.4,0.0,8,0,late_100tasks,1.035919476406877,0.9987381367012533
0.4,0.0,9,0,initial_to_final,2.2090498022968683,1.2585611695825598
0.4,0.0,9,0,late_100tasks,1.001594672584718,0.9646763664137366
0.55,0.0,0,0,initial_to_final,1.3573016790581962,0.8094512018398121
0.55,0.0,0,0,late_100tasks,0.9244074082926845,0.7943526022953118
0.55,0.0,1,0,initial_to_final,1.374600686231342,0.7931071644394336
0.55,0.0,1,0,late_100tasks,1.2111346735665292,0.8064326333831747
0.55,0.0,2,0,initial_to_final,1.433808552350976,0.8357406182287939
0.55,0.0,2,0,late_100tasks,0.9249313736111135,0.8325769393565534
0.55,0.0,3,0,initial_to_final,1.410714927526544,0.8840274362649225
0.55,0.0,3,0,late_100tasks,0.9876902996392114,0.8081164456919728
