aux,a,c,seed,n,shrink_fraction,q,qabs,qcov,qcov_v2,radial,injection,dsigma2,cos
0.0,0.35,0.0,0.0,48000,0.5865625,-0.018864946,0.22829722,0.22795783,0.04679127,-0.008352315,0.008347705,-4.6090463e-06,-0.18987872
0.0,0.35,0.0,1.0,48000,0.5853541666666666,-0.016271295,0.22808659,0.23297893,0.051400203,-0.009614841,0.009835733,0.00022089183,-0.18942365
0.0,0.35,0.0,2.0,48000,0.5862083333333333,-0.018130165,0.22474723,0.21379918,0.042903673,-0.005746839,0.0062237703,0.00047693116,-0.18069802
0.0,0.35,0.0,3.0,48000,0.5879583333333334,-0.023044746,0.2266408,0.22132511,0.045564804,-0.008202889,0.00818893,-1.3959087e-05,-0.19188668
0.0,0.35,0.0,4.0,48000,0.5866041666666667,-0.013432614,0.22786361,0.23985901,0.054490194,-0.010444426,0.0106425835,0.00019815733,-0.18909673
0.0,0.35,0.0,5.0,47998,0.5860244176840702,-0.016406229,0.22776859,0.22280069,0.0449312,-0.007058715,0.0073641776,0.00030546213,-0.18672438
0.0,0.35,0.0,6.0,48000,0.5830208333333333,-0.016060269,0.22809555,0.2241442,0.04521559,-0.0077147344,0.007858022,0.00014328767,-0.187017
0.0,0.35,0.0,7.0,48000,0.5844166666666667,-0.019466713,0.2276872,0.23147315,0.051280387,-0.00905202,0.009582211,0.00053019234,-0.18967587
0.0,0.35,0.0,8.0,47999,0.5828871434821559,-0.018943293,0.22493747,0.22578835,0.049071357,-0.008892779,0.009195417,0.00030263732,-0.18378809
0.0,0.35,0.0,9.0,47999,0.5862622137961208,-0.020270409,0.22593305,0.2248515,0.04820649,-0.008176751,0.008241093,6.434178e-05,-0.18771769
0.0,0.4,0.0,0.0,48000,0.5912083333333333,-0.021542182,0.24796076,0.24394222,0.049233,-0.011023156,0.01098651,-3.664628e-05,-0.19358324
0.0,0.4,0.0,1.0,48000,0.5839583333333334,-0.018252203,0.24783204,0.24688905,0.052719742,-0.01315097,0.013279355,0.00012838475,-0.19013955
