arm,scope,bin_index,cos_lo,cos_hi,n,valid,p_median,ci_lo,ci_hi,bootstrap_finite,outside_scope_n
std,w_q2,19,0.35,0.3999999999999999,210,False,1.0,0.96875,1.0,9939,12600
std,w_q2,20,0.3999999999999999,0.44999999999999984,44,False,1.0,0.96875,1.0,8928,12600
std,w_q2,21,0.44999999999999984,0.4999999999999999,0,False,,,,0,12600
std,w_q2,22,0.4999999999999999,0.5499999999999999,0,False,,,,0,12600
std,w_q2,23,0.5499999999999999,0.6,0,False,,,,0,12600
std,w_q3,0,-0.6,-0.5499999999999999,29400,True,0.0,0.0,0.0,10000,9660
std,w_q3,1,-0.5499999999999999,-0.5,109620,True,0.0,0.0,0.0,10000,9660
std,w_q3,2,-0.5,-0.44999999999999996,285699,True,0.0,0.0,0.0,10000,9660
std,w_q3,3,-0.44999999999999996,-0.4,587218,True,0.0,0.0,0.0,10000,9660
std,w_q3,4,-0.4,-0.35,896831,True,0.0,0.0,0.0,10000,9660
std,w_q3,5,-0.35,-0.3,1051134,True,0.0,0.0,0.0,10000,9660
std,w_q3,6,-0.3,-0.25,949918,True,0.0,0.0,0.0,10000,9660
std,w_q3,7,-0.25,-0.2,572969,True,0.0,0.0,0.0,10000,9660
std,w_q3,8,-0.2,-0.15000000000000002,289138,True,0.03125,0.03125,0.03125,10000,9660
std,w_q3,9,-0.15000000000000002,-0.10000000000000003,157162,True,0.09375,0.09375,0.09375,10000,9660
std,w_q3,10,-0.10000000000000003,-0.050000000000000044,105813,True,0.1875,0.1875,0.21875,10000,9660
std,w_q3,11,-0.050000000000000044,0.0,65677,True,0.3125,0.3125,0.34375,10000,9660
std,w_q3,12,0.0,0.04999999999999993,42803,True,0.5,0.46875,0.5,10000,9660
std,w_q3,13,0.04999999999999993,0.09999999999999998,29367,True,0.625,0.59375,0.625,10000,9660
std,w_q3,14,0.09999999999999998,0.1499999999999999,18278,True,0.75,0.71875,0.75,10000,9660
std,w_q3,15,0.1499999999999999,0.19999999999999996,11322,True,0.84375,0.8125,0.875,10000,9660
std,w_q3,16,0.19999999999999996,0.25,5561,True,0.9375,0.90625,0.9375,10000,9660
std,w_q3,17,0.25,0.29999999999999993,2167,True,0.96875,0.9375,1.0,10000,9660
std,w_q3,18,0.29999999999999993,0.35,780,False,1.0,1.0,1.0,10000,9660
std,w_q3,19,0.35,0.3999999999999999,89,False,1.0,1.0,1.0,9947,9660
std,w_q3,20,0.3999999999999999,0.44999999999999984,20,False,1.0,1.0,1.0,8891,9660
