id,question,result,theta_centered,theta_std,delta_theta,ci_lo,ci_hi,detail
C1,centered曲線はstdと可比か,不可比,,-0.15000000000000002,,,,"centered theta_med finite=False, cos<0有効ビン=12"
C2,消灯点は動いたか（主判定）,不可比（C2を実施しない）,,-0.15000000000000002,,,,paired seed bootstrap 95%CI; 分解能0.05
C3,四分位層別で一貫するか,不可比のため未実施,,,,,,報告のみ。C2を覆さない
