arm,scope,estimate,point,ci_lo,ci_hi,bootstrap_finite,theta_med_strat,nonzero_samples_below_theta_med
std,all,theta_med,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,10000,-0.15000000000000002,1485853.0
std,all,theta_all,-0.5499999999999999,-0.5499999999999999,-0.4,10000,,
std,w_q1,theta_med,-0.15000000000000002,-0.15000000000000002,-0.10000000000000003,10000,-0.15000000000000002,165570.0
std,w_q1,theta_all,-0.35,-0.35,-0.35,10000,,
std,w_q2,theta_med,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,10000,-0.15000000000000002,298524.0
std,w_q2,theta_all,-0.44999999999999996,-0.44999999999999996,-0.4,10000,,
std,w_q3,theta_med,-0.2,-0.2,-0.2,10000,-0.2,184320.0
std,w_q3,theta_all,-0.5,-0.5,-0.4,10000,,
std,w_q4,theta_med,-0.2,-0.2,-0.2,10000,-0.2,435092.0
std,w_q4,theta_all,-0.5499999999999999,-0.5499999999999999,-0.4,10000,,
std,t_lt_500k,theta_med_time_half,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,10000,,
std,t_ge_500k,theta_med_time_half,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,10000,,
centered,all,theta_med,,,,0,,0.0
centered,all,theta_all,,,,0,,
centered,w_q1,theta_med,,,,0,,0.0
centered,w_q1,theta_all,,,,0,,
centered,w_q2,theta_med,,,,0,,0.0
centered,w_q2,theta_all,,,,0,,
centered,w_q3,theta_med,,,,0,,0.0
centered,w_q3,theta_all,,,,0,,
centered,w_q4,theta_med,,,,0,,0.0
centered,w_q4,theta_all,,,,0,,
centered,t_lt_500k,theta_med_time_half,,,,0,,
centered,t_ge_500k,theta_med_time_half,,,,0,,
