arm,seed,run_id,final_dead_frac,mu_norm_median,mu_norm_q1,mu_norm_q3
std,0,A_w100_T10000_std_lr0.01_s0,0.95,3.2015621662139893,2.872281312942505,3.3541018962860107
std,1,A_w100_T10000_std_lr0.01_s1,0.95,3.041381359100342,2.692582368850708,3.3541018962860107
std,2,A_w100_T10000_std_lr0.01_s2,0.95,2.872281312942505,2.692582368850708,3.2015621662139893
std,3,A_w100_T10000_std_lr0.01_s3,0.98,3.041381359100342,2.872281312942505,3.3541018962860107
std,4,A_w100_T10000_std_lr0.01_s4,0.99,3.2015621662139893,2.872281312942505,3.3541018962860107
std,5,A_w100_T10000_std_lr0.01_s5,0.87,2.872281312942505,2.692582368850708,3.041381359100342
std,6,A_w100_T10000_std_lr0.01_s6,0.95,3.041381359100342,2.872281312942505,3.3541018962860107
std,7,A_w100_T10000_std_lr0.01_s7,0.95,3.041381359100342,2.872281312942505,3.3541018962860107
std,8,A_w100_T10000_std_lr0.01_s8,0.95,2.872281312942505,2.5,3.041381359100342
std,9,A_w100_T10000_std_lr0.01_s9,0.93,2.872281312942505,2.692582368850708,3.041381359100342
centered,0,A_w100_T10000_centered_lr0.01_s0,0.34,0.11741641908884048,0.07219967991113663,0.5902578234672546
centered,1,A_w100_T10000_centered_lr0.01_s1,0.43,0.11813228577375412,0.0725787952542305,0.5908532738685608
centered,2,A_w100_T10000_centered_lr0.01_s2,0.31,0.1178678646683693,0.07317730784416199,0.5908298492431641
centered,3,A_w100_T10000_centered_lr0.01_s3,0.29,0.1123184785246849,0.07191357016563416,0.5901098251342773
centered,4,A_w100_T10000_centered_lr0.01_s4,0.4,0.11789920181035995,0.07224766910076141,0.5908096432685852
centered,5,A_w100_T10000_centered_lr0.01_s5,0.19,0.1130918487906456,0.06863202154636383,0.5908482074737549
centered,6,A_w100_T10000_centered_lr0.01_s6,0.38,0.11646649241447449,0.0703691765666008,0.5906554460525513
centered,7,A_w100_T10000_centered_lr0.01_s7,0.27,0.12093012779951096,0.07237090170383453,0.5908698439598083
centered,8,A_w100_T10000_centered_lr0.01_s8,0.34,0.11626812070608139,0.07110162824392319,0.5907706618309021
centered,9,A_w100_T10000_centered_lr0.01_s9,0.29,0.1166759505867958,0.0723971426486969,0.5910118818283081
