seed,arm,arm_branch,arm_layer,arm_kind,arm_src,arm_delta,arm_caps,arm_reset,k,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc_end,state_sha256,rows_par,rows_perp,rows_w2,logits_equal_mb,nbar_neffT2,n_probe,probe_zero2_mean,probe_effbar2_first,probe_effbar2_750,probe_effbar2_last,probe_dmean2_first,probe_dmean2_750,probe_dmean2_last,probe_zarm2_first,probe_zarm2_750,probe_zarm2_last,w2norm_end,exc_q_own,exc_v_own,exc_w2_own,exc_q,exc_v,exc_w2,logits_equal_full,logit_maxdiff_full,g1_start,logg1_start,neff1_start,lowgate1_start,zbar1_start,sigma1_start,effbar1_start,pplus1_start,gtr1_start,zero1_start,deadunits1_start,neffT1_start,g2_start,logg2_start,neff2_start,lowgate2_start,zbar2_start,sigma2_start,effbar2_start,pplus2_start,gtr2_start,zero2_start,deadunits2_start,neffT2_start,mu2_start,pf_eps_w1,pf_zero_w1,pf_logrms_med_w1,pf_eps_w2,pf_zero_w2,pf_logrms_med_w2,pf_eps_w3,pf_zero_w3,pf_logrms_med_w3,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec,hash_match_resp_ee,hash_match_respdyn,shadow_online_acc,shadow_state_sha256,shadow_hash_match_natural,field0_equal_fixed,full_ce_end,hash_match_prefix,acc_match_prefix,acc_match_resp_ee,shadow_hash_match_prefix,shadow_acc_match_prefix
6,NC_r,C10,,,,,own,True,1,11,0.8145,0.5698183473825921,0.11416666666666667,4.718993813196818,0.9990833333333333,0.12083333333333333,True,0.11590211529983208,0.27602987848998356,0.14855177157005528,0.2662622323259711,0.11468362179281635,0.3287012671353295,0.4390688775510204,0.0,0.0,0.22198979591836734,0.0,0.0,0.22197704081632652,0.0,0.0,0.22198979591836734,0.0,0.0,1.0,cc18c2a0e9f3c0f02ded520d52a1b4177d0c442b76663463f5e62750b6841dad,56296,464706,369775,True,0.3139279040738871,9,0.00036851851851851846,-2.833741575640595,-5.483190463385793,-2.507802213862104,0.0,0.0,0.0,-2.833741575640595,-5.483190463385793,-2.507802213862104,1.61154446642549,1.0623104281654028e-08,6.128172813646415e-07,1.5577278289491403e-07,1.0623104281654028e-08,6.128172813646415e-07,1.5577278289491403e-07,True,0.0,0.7162893051221461,-0.3511237377590489,0.8053098635911731,0.04376666666666667,0.014226833124769227,1.5126778254073099,0.014226833124769227,0.5202499999999999,0.7162893051207065,0.0,0.0,0.8053098635845786,0.25391494649215146,-1.4506461544294416,0.349142849060912,0.44720000000000004,-2.833741575640595,2.4705040076160127,-2.833741575640595,0.13044166666666668,0.2539149464562535,1.6666666666666667e-05,0.0,0.34914284895942693,5.79849672037097,0.22321428571428573,0.22193877551020408,-3.564929995331044,0.0,0.0,-2.4216264390575617,0.0,0.0,-2.3028951754052325,0.7371271693686298,-0.3162381734408343,0.8227175097408262,0.0345,0.11191983349165724,1.508158405288809,0.11191983349165724,0.5418583333333333,0.7371271693299215,0.0,0.0,0.8227175096683316,0.2971604836211748,-1.2714543961595919,0.3924801906429702,0.40055833333333335,-2.507802213862104,2.531974301013834,-2.507802213862104,0.16277500000000003,0.29716048356294633,3.3333333333333335e-05,0.0,0.3924801904683208,5.462800552106168,5.750998020172119,,,,,,,,,,,,
6,NC_r,C10,,,,,own,True,2,12,0.8679270833333333,0.41350178358571915,0.10833333333333334,3.8282220649719236,1.0,0.11,True,0.12150710398357963,0.7346510010150572,0.15098829124235635,0.6668937732077513,0.12958558229562794,0.9436163740853468,0.22198979591836734,0.0,0.0,0.22196428571428573,0.0,0.0,0.22193877551020408,0.0,0.0,0.2220280612244898,0.0,0.0,1.0,5d24fa3b63d1ce49de38ace728c830313971c6e9057ec1c52443002b995e4be7,44975,505103,393844,,0.3504243427147855,9,0.00022777777777777775,-2.507802213862104,-4.904990638993494,-2.4138771973579503,0.0,0.0,0.0,-2.507802213862104,-4.904990638993494,-2.4138771973579503,1.6115715174653962,5.252026188951042e-09,3.978853526653836e-07,1.3990180947054398e-07,5.252026188951042e-09,3.978853526653836e-07,1.3990180947054398e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7455021890736754,-0.30392407663877624,0.8313499975476418,0.027966666666666667,0.1480712165812884,1.4691183400262915,0.1480712165812884,0.546325,0.7455021890640258,0.0,0.0,0.8313499975625498,0.30901754573962653,-1.214262731950828,0.40627719909201687,0.38420000000000004,-2.41387719735795,2.5476372159944507,-2.41387719735795,0.17000833333333332,0.30901754570653045,1.6666666666666667e-05,0.0,0.40627719897063763,5.31111135105588,5.76916241645813,,,,,,,,,,,,
6,NC_free_r,C10,,,,,,True,1,11,0.7777291666666667,0.6399229825385361,0.12166666666666667,3.77259703318278,1.0,0.12083333333333333,True,0.10364045022773402,0.20478805158442506,0.13061220867469578,0.1999330531301287,0.10640662087477418,0.3615402932822083,0.4390688775510204,0.0,0.0,0.222015306122449,0.0,0.0,0.2220280612244898,0.0,0.0,0.22228316326530612,0.0,0.0,1.0,cfc6268ba4634dc545aef2431287d127a7fc8d45faea02e7f2824d0a91c518e9,0,0,0,True,0.20220957802211814,9,0.013569444444444445,-2.833741575640595,-7.959894237483976,-5.022206917262543,0.0,0.0,0.0,-2.833741575640595,-7.959894237483976,-5.022206917262543,1.9842177105418812,0.28788392418514674,1.5407304638774804,0.7711550055855327,,,,True,0.0,0.7162893051221461,-0.3511237377590489,0.8053098635911731,0.04376666666666667,0.014226833124769227,1.5126778254073099,0.014226833124769227,0.5202499999999999,0.7162893051207065,0.0,0.0,0.8053098635845786,0.25391494649215146,-1.4506461544294416,0.349142849060912,0.44720000000000004,-2.833741575640595,2.4705040076160127,-2.833741575640595,0.13044166666666668,0.2539149464562535,1.6666666666666667e-05,0.0,0.34914284895942693,5.79849672037097,0.22321428571428573,0.22193877551020408,-3.564929995331044,0.0,0.0,-2.4216264390575617,0.0,0.0,-2.3028951754052325,0.7363886622781588,-0.33880946851356275,0.7986840144551434,0.07624166666666665,0.4101071122995423,2.076577575091007,0.4101071122995423,0.5998583333333333,0.7363886623591185,0.0,0.0,0.798684014560243,0.1989957893258239,-1.8432747560517262,0.2433922520602707,0.6529500000000001,-5.022206917262542,4.316418217413403,-5.022206917262542,0.13354166666666667,0.19899578899741172,0.0152,0.0,0.24339225111351823,11.323047278082527,3.891859292984009,,,,,,,,,,,,
6,NC_free_r,C10,,,,,,True,2,12,0.5781458333333334,1.1317982793163974,0.09333333333333334,3.888036298751831,0.9759166666666667,0.11,True,0.17477855806100706,0.6029335071798414,0.18302388412606282,0.5983533008839004,0.20487810656838215,1.250215626011292,0.22228316326530612,0.0,0.0,0.22224489795918367,0.0,0.0,0.22228316326530612,0.0,0.0,0.22255102040816327,0.0,0.0,0.9925000071525574,6c56d621fbaf5a819668f012a58b45916a5eeb6fd23bc8b8d72f3470f3de405b,0,0,0,,0.08860149634253199,9,0.2472009259259259,-5.022206917262543,-19.339403429399802,-8.980045800709165,0.0,0.0,0.0,-5.022206917262543,-19.339403429399802,-8.980045800709165,2.293039501127569,0.682891316944784,3.235241443918902,1.415749213059537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6852993047581206,-0.45508200879160976,0.7376372897484792,0.14670833333333333,0.2985836786618602,2.626051282283204,0.2985836786618602,0.5800083333333333,0.6852993047267197,5.833333333333333e-05,0.0,0.7376372897072215,0.11103219379991812,-2.8263170133551587,0.13345669704531096,0.8143500000000001,-8.980045800709167,5.9012349915939915,-8.980045800709167,0.0788,0.11103219231665135,0.13167500000000001,0.0,0.13345668130150246,16.041645141685226,3.8152270317077637,,,,,,,,,,,,
6,SC_fix_r,C10,2,field,R10,,own,True,1,11,0.39596875,3.0326676451464496,0.11333333333333333,8.253668584823608,0.5740833333333333,0.12083333333333333,True,0.14553597888516379,0.2330500135819117,0.1537892646532176,0.26006986309463775,0.21182194218514874,0.31120175961405033,0.4432270408163265,0.3808,0.0,0.22808673469387755,0.0181,0.0,0.2260076530612245,0.02,0.0,0.22299744897959184,0.02,0.0,0.6016666889190674,62d2fad6d99c966294f1fb3724ededa77ff78385d820d578774aea8fef4092c0,161217,563100,412641,True,0.021197191687986842,9,0.8468064814814815,-35.109749859255956,-35.86163006664372,-33.4870373340292,-32.27600828361536,-32.27600828361536,-32.27600828361536,-2.833741575640595,-3.5856217830283565,-1.2110290504138441,1.6061455386507584,3.666936090884754e-08,4.304274132671537e-07,1.987257682856125e-07,3.666936090884754e-08,4.304274132671537e-07,1.987257682856125e-07,True,0.0,0.7162893051221461,-0.3511237377590489,0.8053098635911731,0.04376666666666667,0.014226833124769227,1.5126778254073099,0.014226833124769227,0.5202499999999999,0.7162893051207065,0.0,0.0,0.8053098635845786,0.01568405100784492,-6.094903767446434,0.017300311221105022,0.9788416666666667,-2.833741575640595,2.4705040076160127,-35.109749859255956,0.013533333333333333,0.015684050022562346,0.85615,0.01,0.01728788662396448,5.79849672037097,0.2276530612244898,0.22193877551020408,-4.869518213822542,0.017,0.01,-4.347482062531028,0.0,0.0,-2.3028951754052325,0.8243733478495241,-0.19607929876738844,0.8839613058853412,0.016108333333333332,0.8288674898145179,1.7174401254261136,0.8288674898145179,0.6757916666666667,0.824373347841203,0.0,0.0,0.8839613058868744,0.024840198532036197,-5.335248558583399,0.027319327692779463,0.9661833333333335,-1.2110290504138441,4.091252223723219,-33.4870373340292,0.021033333333333334,0.0248401974444588,0.8271416666666667,0.01,0.027297539761642432,10.834484896595866,6.855974197387695,,,,,,,,,,,,
6,SC_fix_r,C10,2,field,R10,,own,True,2,12,0.50775,1.5835292721589407,0.09416666666666666,4.580821342468262,0.675,0.11,True,0.1750135751220417,0.6867741576085489,0.1883650862352321,0.817700025315086,0.20813937642863797,0.38659025371695555,0.22301020408163266,0.02,0.0,0.22294642857142857,0.02,0.0,0.22284438775510204,0.02,0.0,0.22357142857142856,0.01,0.0,0.6991666555404663,7938247f7d85ddf1a88eaf317668b4f0bb5bf21a9c15e56d24225bb7a9d6c60a,174150,536849,348048,,0.029302606856320523,9,0.815237962962963,-33.4870373340292,-34.25596725489044,-31.42153715333267,-32.27600828361536,-32.27600828361536,-32.27600828361536,-1.2110290504138441,-1.9799589712750787,0.854471130282688,1.6022476789315716,3.948554283539352e-08,4.2748315287610694e-07,1.691007205373296e-07,3.948554283539352e-08,4.2748315287610694e-07,1.691007205373296e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8511494707846592,-0.1641526320142988,0.9022233879267841,0.013766666666666667,1.1339119377043287,1.82949861896073,1.1339119377043287,0.7197999999999999,0.851149470730126,0.0,0.0,0.902223387910104,0.03374545842109728,-4.667311883955962,0.03690479328990917,0.9546333333333333,0.8544711302826881,5.018579461140663,-31.421537153332675,0.028733333333333336,0.03374545721958081,0.7885083333333336,0.01,0.036893717250142274,13.576690941152215,6.672093868255615,,,,,,,,,,,,
6,SC_dyn_r,C10,2,dyn,R10,,own,True,1,11,0.2488125,3.6505791655679545,0.11166666666666666,8.449457616806031,0.4240833333333333,0.12083333333333333,True,0.1742541398986456,0.16826671082526445,0.164205009434833,0.17229164931147048,0.21835344702897902,0.3100844398917009,0.4432270408163265,0.3808,0.0,0.2571045918367347,0.1043,0.0,0.2549489795918367,0.1259,0.0,0.22607142857142856,0.0695,0.0,0.4566666781902313,bff26c6659b6e2d79278de877d36a72c50bc869cd847dbb513d9a6ace058a777,100298,465661,261794,True,0.008748575311751746,9,0.9324481481481482,-35.109749859255956,-49.70579934383481,-40.48838511035162,-32.27600828361536,-46.73502934585263,-39.41373598217269,-2.833741575640595,-2.970769997982184,-1.0746491281789339,1.6000235885402807,4.9771591875691357e-08,4.3594183640749407e-07,1.906913567051305e-07,4.9771591875691357e-08,4.3594183640749407e-07,1.906913567051305e-07,True,0.0,0.7162893051221461,-0.3511237377590489,0.8053098635911731,0.04376666666666667,0.014226833124769227,1.5126778254073099,0.014226833124769227,0.5202499999999999,0.7162893051207065,0.0,0.0,0.8053098635845786,0.01568405100784492,-6.094903767446434,0.017300311221105022,0.9788416666666667,-2.833741575640595,2.4705040076160127,-35.109749859255956,0.013533333333333333,0.015684050022562346,0.85615,0.01,0.01728788662396448,5.79849672037097,0.2276530612244898,0.22193877551020408,-4.869518213822542,0.017,0.01,-4.347482062531028,0.0,0.0,-2.3028951754052325,0.7774978110467771,-0.25568325955827176,0.8491501334130185,0.024849999999999994,0.4886420860844567,1.687587326896504,0.4886420860844567,0.6100249999999999,0.7774978110586604,0.0,0.0,0.8491501334227591,0.015818651428670602,-7.770346789835574,0.01749681096344155,0.9795500000000001,-1.0746491281789339,3.5052463748189013,-40.48838511035162,0.013583333333333331,0.01581865070859591,0.8954500000000002,0.02,0.017428903808363365,7.935593427321162,32.64366388320923,,,0.19277083333333334,d1152d300909dbb4cd7de56abae7719ec8b78d1a51a41e6c81ea84e60c25b198,True,True,,,,,,
6,SC_dyn_r,C10,2,dyn,R10,,own,True,2,12,0.26521875,2.131871694823106,0.09333333333333334,3.362861846288045,0.39275,0.11,True,0.1451625693613702,0.3332036460051313,0.1281696089520968,0.35225823298484704,0.21417625568574294,0.29312065278645605,0.22607142857142856,0.0695,0.0,0.22607142857142856,0.0696,0.0,0.22654336734693878,0.076,0.0,0.22771683673469387,0.0896,0.0,0.43833333253860474,f07c0c524cc535b76515079b9b1e95d11d8be2ea0b29fdd4706d4b88bd1c6d0b,128098,436272,143662,,0.005480466060072232,9,0.963425925925926,-40.48838511035162,-58.92842432432274,-50.22024202191066,-39.41373598217269,-57.11059246342754,-49.635147941385455,-1.0746491281789339,-1.8178318608952047,-0.5850940805252021,1.587223996310903,4.2606014660773184e-08,4.447248165284634e-07,1.4352077482016057e-07,4.2606014660773184e-08,4.447248165284634e-07,1.4352077482016057e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779437132815275,-0.2562222677266744,0.8471570035172478,0.024749999999999998,0.8203702183806025,2.015566259947785,0.8203702183806025,0.6278166666666667,0.779437132827441,0.0,0.0,0.8471570035387227,0.007743195214866569,-11.409605768981855,0.0089796184389256,0.9897333333333335,-0.5850940805252022,5.146624544085238,-50.22024202191065,0.006658333333333334,0.0077431948184967046,0.9485333333333332,0.1,0.00882339960425635,11.919392528850569,33.134626626968384,,,0.12705208333333334,f6f095a6d6179d059663a4be132f1e18815d85ec0d24606fa5b552ee60747003,True,,,,,,,
6,SC_dyn_free_r,C10,2,dyn,R10,,,True,1,11,0.2663333333333333,3.5894545602897803,0.1125,8.43992011388143,0.47758333333333336,0.12083333333333333,True,0.1821316465017541,0.16551615020337823,0.16406053136264137,0.17088713890795287,0.21789449373318348,0.31053695478476584,0.4432270408163265,0.3808,0.0,0.25889030612244895,0.1041,0.0,0.25104591836734697,0.1275,0.0,0.22732142857142856,0.0878,0.0,0.5258333086967468,241399a3eb9ccdeb94ac28e19f9c306ad60552f13c7b9e3c443f20251f5c1fea,0,0,0,True,0.009458815115012268,9,0.9307601851851851,-35.109749859255956,-50.224482783544836,-41.32524483441585,-32.27600828361536,-46.73502934585263,-39.41373598217269,-2.833741575640595,-3.489453437692206,-1.9115088522431596,2.094744917940837,0.5267134653952635,2.427324502664299,1.7785842983892666,,,,True,0.0,0.7162893051221461,-0.3511237377590489,0.8053098635911731,0.04376666666666667,0.014226833124769227,1.5126778254073099,0.014226833124769227,0.5202499999999999,0.7162893051207065,0.0,0.0,0.8053098635845786,0.01568405100784492,-6.094903767446434,0.017300311221105022,0.9788416666666667,-2.833741575640595,2.4705040076160127,-35.109749859255956,0.013533333333333333,0.015684050022562346,0.85615,0.01,0.01728788662396448,5.79849672037097,0.2276530612244898,0.22193877551020408,-4.869518213822542,0.017,0.01,-4.347482062531028,0.0,0.0,-2.3028951754052325,0.7856465161980065,-0.2542515218803915,0.836703807705759,0.05540000000000001,1.0542741731707936,2.3191822099807102,1.0542741731707936,0.6728166666666668,0.7856465161725878,0.0,0.0,0.8367038076773109,0.018077954931669596,-7.926126091455546,0.019897755113031487,0.9765416666666666,-1.9115088522431598,5.894490888700366,-41.32524483441584,0.01560833333333333,0.018077954275906086,0.8923666666666668,0.02,0.019840836149221542,16.09618774709522,29.510103464126587,,,0.19277083333333334,d1152d300909dbb4cd7de56abae7719ec8b78d1a51a41e6c81ea84e60c25b198,True,True,,,,,,
6,SC_dyn_free_r,C10,2,dyn,R10,,,True,2,12,0.3175208333333333,2.004246937662363,0.10166666666666667,3.6084621938069663,0.517,0.11,True,0.16567067740394728,0.3816761035704985,0.1334949607926319,0.3849070711294189,0.21356361363480877,0.31850614002905786,0.22732142857142856,0.0879,0.0,0.2273469387755102,0.088,0.0,0.22808673469387755,0.0971,0.0,0.2228061224489796,0.1111,0.0,0.5475000143051147,a1d0613eb157173cc9b7bbf8ed53dc0d1b0d2afc3e3da31da0c69970961f008d,0,0,0,,0.00856333110239228,9,0.9560249999999999,-41.32524483441585,-63.242670069541916,-52.92700038648516,-39.41373598217269,-57.11059246342754,-49.635147941385455,-1.9115088522431596,-6.132077606114381,-3.2918524450997046,2.4255638964598534,0.8223243553236386,3.741541521061449,2.9405013335593386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7991954717557341,-0.24012273549858235,0.8376705305532661,0.07425000000000001,1.8076464512085155,3.0294842254221375,1.8076464512085155,0.7153833333333333,0.7991954717973868,0.0,0.0,0.8376705306387564,0.013501352770986755,-11.832823507360422,0.014896127753075026,0.983825,-3.2918524450997046,9.441800160870578,-52.927000386485176,0.012366666666666663,0.013501352407038212,0.9374916666666667,0.16,0.014597709152514578,24.98568186883252,29.632708311080933,,,0.12705208333333334,f6f095a6d6179d059663a4be132f1e18815d85ec0d24606fa5b552ee60747003,True,,,,,,,
