task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
1,1.0943684881015576,1.2024588737854018,0.8609409127233226,0.007808532944811132,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
2,1.4499880421048994,2.1114361091186984,1.0537139085930312,-0.06384541388928631,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
3,1.7101078649331092,2.9421794462291655,1.090142526986805,-0.0861113889162092,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
4,1.9208670784157318,3.7165361856116785,1.0293546146227428,-0.0731930594028059,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
5,2.0921679848756645,4.41180157637578,0.9695005991468885,-0.07287900680880353,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
6,2.2541391011515746,5.121453663608732,0.962181178631478,-0.0617656956514622,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
7,2.390580677029728,5.7582291439321285,0.9024005271004664,-0.06039409475679441,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
8,2.521751896586157,6.408126977671198,0.935485119694311,-0.05921723858479342,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
9,2.646950055228514,7.060273319307807,0.9551436371325903,-0.06087803856459496,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
10,2.7624127760544765,7.693612217382731,0.8999859874127003,-0.05051452547312419,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
11,2.8661797323499525,8.281241977529271,0.8627394440559064,-0.05227705305619261,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
12,2.975385713694635,8.919381036103417,0.9371326299130306,-0.052554060653915755,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
13,3.0819169625535916,9.56544250578279,0.9233186489629169,-0.04759352931731753,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
14,3.184275205290287,10.21214512778699,0.8908494971107828,-0.040545050239226735,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
15,3.2811187824527526,10.848201655255462,0.8949811946462464,-0.04055536514275655,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
16,3.3769505476869743,11.491673706646344,0.85012572918965,-0.03395484173909283,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
17,3.4690445227095825,12.127009485060666,0.913377593400179,-0.040819571750424395,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
18,3.5667218602068984,12.814584583017227,0.986489806071519,-0.04083048558308942,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
19,3.6535395267948387,13.447347986455048,0.910705076694357,-0.039111596629193196,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
20,3.737292043053572,14.071907221500167,0.9741179462494864,-0.0455234455859175,ELU1,elu,1.0,1,0.0004950595165467412,0.057380809912215995,0.0002084816266827394,0.5946133936852146,69.59663869997487,0.07308392078883953,0.3082419164901171,1.0,7.993605777301127e-15,0.022633162688353484,43.03940901510621,0.31920288464524876,0.31920288464524876,3.216486481334086,-2.0590439465486874,0.2563671875,0.9172000288963318
21,3.820520601342867,14.706580375846164,0.9479894202227968,-0.042053648924046005,ELU1,elu,1.0,1,,,,,,,,,,,,,,,,,
