task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
1,1.0430350678012084,1.093585745823598,0.7480582737345393,0.01354820501085099,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
2,1.3905516335617107,1.9422524776252654,0.9780773579305811,-0.06268307289658494,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
3,1.6403065913810204,2.705851085855378,0.9915696491356385,-0.08319603819269653,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
4,1.8155419366771042,3.3219856765608267,0.881545490446468,-0.08626955512245563,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
5,1.9784076352115272,3.945961716984174,0.8151827211256543,-0.05824535839553901,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
6,2.1319179662184715,4.580374029686216,0.8891556420049764,-0.06889768605381912,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
7,2.2673540833893275,5.177271067306171,0.8316107587819589,-0.062049300621720455,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
8,2.4003574457998305,5.798815041686056,0.8143295148098383,-0.0505542940273956,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
9,2.5201516352031152,6.391783748628581,0.8156718494006162,-0.05234223715771479,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
10,2.6236910174728223,6.926268157855103,0.7945264534579102,-0.05897077452828534,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
11,2.728370848759539,7.4908598102656025,0.8045784389139509,-0.05215645747717543,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
12,2.8327758372838696,8.068249885687283,0.8148197816295308,-0.04981391757719524,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
13,2.938654989286751,8.6758963791781,0.8615121882118469,-0.05123685695295763,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
14,3.0431557787951595,9.297861917905792,0.8814467604767363,-0.04877480800261498,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
15,3.1423465758230846,9.912758001122391,0.8779494841576585,-0.04859184588406731,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
16,3.2322805309223064,10.487507707068215,0.8707215257287583,-0.05139047059031784,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
17,3.316022636196837,11.033375993504078,0.7981751249988261,-0.046729941334883875,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
18,3.408988439507392,11.65781796538653,0.8657076618544606,-0.039998971919253584,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
19,3.4885473629009325,12.206185172008613,0.7890863561180868,-0.04228637455515498,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
20,3.563569462249053,12.734482502118686,0.7855889160102882,-0.044192483164872065,SN02,snake,0.2,0,0.0026478953903993083,0.41282295465480573,0.00011921384804101392,0.7215594708234486,74.56553663707653,0.0889969070358713,0.6431861861758618,1.0,7.105427357601002e-15,0.022657753115264714,34.671969105402184,0.6874649717498087,0.6874649717498087,1.9017633341189095,-1.2399716710345225,0.248515625,0.921999990940094
21,3.634493061331024,13.241995335459292,0.7898371917965354,-0.0484423170617626,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
22,3.7138669107125177,13.826979548434096,0.8702669413631441,-0.045132359799908345,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
23,3.7834880563016786,14.349512054894703,0.8597986042727461,-0.05043427187975798,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
24,3.8510149150168083,14.868059034941506,0.8443081817902349,-0.05096776911585442,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
25,3.9248335785970156,15.44082783913967,0.8772255869509241,-0.044804555300946,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
26,3.99409496659097,15.988071061487284,0.8036970491022498,-0.039125940695941434,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
27,4.060872490085567,16.52311285123038,0.8376186970894771,-0.04526051637262388,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
28,4.123649213016826,17.036067073148455,0.8314237708790698,-0.04645987458352741,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
29,4.182363713281188,17.523619368241203,0.7879344717564061,-0.04636482372505755,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
30,4.235270704307626,17.968059280427795,0.8563125299219103,-0.058290163379272,SN02,snake,0.2,0,0.0024620955733969433,0.3482182958511841,0.00014119345944073783,0.6737699201672801,74.32366616078808,0.08798610127250651,0.5522855533035891,1.0,1.3322676295501878e-14,0.02437708105864898,35.12777136285113,0.5900816122807325,0.5900816122807325,2.0053566693369858,-1.581503936141166,0.20111328125,0.9236000180244446
31,4.294780895333078,18.476501769572568,0.8708261453430356,-0.05024480124058321,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
32,4.3490863138937215,18.946093909450948,0.851512658227537,-0.04949756572462033,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
33,4.4054869399318,19.44009626747909,0.7722882068505309,-0.03793227443475072,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
34,4.45839562570095,19.90790127978423,0.8150171751337539,-0.04770977436493089,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
35,4.511241435415439,20.37941639882894,0.8446601473288945,-0.048798539082404224,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
36,4.5620577904450315,20.837892751955504,0.8448192538643156,-0.049498336552543716,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
37,4.614181065063504,21.315447265854576,0.8626920326993032,-0.049490724762594765,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
38,4.666733025929585,21.802486943512314,0.8751637956964479,-0.049243048345780215,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
39,4.713532799780952,22.241249213571063,0.8099581578277446,-0.04833274847629747,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
40,4.7639669657156265,22.71983164403822,0.8593365746223388,-0.046880083055251286,SN02,snake,0.2,0,0.002260044462960563,0.3637280665825389,0.0001247666148627139,0.671575298888941,74.15613102383402,0.08584094242664593,0.5838541358182688,1.0,3.552713678800501e-15,0.024586803751017322,34.95113001773491,0.5935042802252706,0.5935042802252706,2.1152477438764414,-1.6651461976439788,0.20546875,0.9236000180244446
41,4.805004048648665,23.113415270705637,0.8012338561082123,-0.052802807574728924,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
42,4.8514485316873905,23.560867542549968,0.78179005860253,-0.04189301192516223,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
43,4.906096374971889,24.093013874603606,0.8677710391278879,-0.041554458139811734,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
44,4.9515466871157106,24.54152396455238,0.7913352447655703,-0.04296557580805214,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
45,4.994596201867903,24.970829884855775,0.8287721399086402,-0.04902570677500835,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
46,5.035002098266936,25.374706665192825,0.9049329531115744,-0.05813665650881068,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
47,5.073636616318089,25.764252991575386,0.7561292310371883,-0.044268924370607816,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
48,5.116675697510888,26.201742693449454,0.8601771537646746,-0.047122391605688145,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
49,5.15218057245169,26.56756172576205,0.829819239297083,-0.05345276304771273,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
50,5.192170038076158,26.981782083318798,0.8320388082359693,-0.047569424005897,SN02,snake,0.2,0,0.002559014079239635,0.38466880461808406,0.00014219195093106152,0.6163112913539249,75.91202384153506,0.0883134451782836,0.5908370129055063,1.0,1.0658141036401503e-14,0.024300705573961134,34.23928600359331,0.6025516213004862,0.6025516213004862,2.1673166156573305,-1.6934577309627847,0.2074609375,0.9233999848365784
51,5.232824124473256,27.404706939711215,0.8558320854913731,-0.04736192508625306,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
52,5.264896637101365,27.740535286655735,0.8146068471174073,-0.05311605667056273,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
53,5.3071772068952665,28.18844138603429,0.8600393497746517,-0.045359840730951825,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
54,5.342190908391594,28.56094141601009,0.8168107090820013,-0.04903687523844012,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
55,5.376399039759567,28.92860531307545,0.805865826830599,-0.05126933671443253,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
56,5.411942606413385,29.31397375941824,0.8734405004876052,-0.050746302558915726,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
57,5.447334989155431,29.695000849314933,0.8555068300617757,-0.05079139342243664,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
58,5.4774658571177985,30.02639337843748,0.7432066521235186,-0.04816918707920661,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
59,5.512482172659364,30.41187997548187,0.8110458883007601,-0.046164935942480397,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
60,5.539947280627894,30.717198926377105,0.8125804578833525,-0.056731655193559646,SN02,snake,0.2,0,0.002317659779755212,0.3702921657049132,0.00013603329390341514,0.6181757800390375,74.42999001386121,0.08714262657550458,0.57905183258361,1.0,7.105427357601002e-15,0.023767788114030717,34.18830788901497,0.5888913558239246,0.5888913558239246,2.1988932356381934,-1.7389980208291478,0.20095703125,0.9139000177383423
61,5.571251523234489,31.065945306530306,0.845101823728308,-0.05221233737311855,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
62,5.599689400519156,31.382885986409065,0.7471027349672177,-0.04799106455179908,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
63,5.636312337046743,31.795433287085498,0.8340669000783558,-0.044115676073168686,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
64,5.668665984474228,32.16216562915835,0.8002170962048877,-0.04633559073955497,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
65,5.698475645969935,32.500667750615655,0.8454083894033484,-0.0527089027641415,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
66,5.731701123102648,32.879634194349656,0.8326783652580251,-0.04650501973937967,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
67,5.764365257141593,33.253587707517404,0.8328123943561648,-0.04489229723842977,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
68,5.792034168050658,33.57231383433401,0.7478376075261756,-0.046160162076222006,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
69,5.821977554057448,33.923293299700234,0.7992155288220011,-0.04742106086789595,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
70,5.850427103859329,34.255713903012605,0.7945395263868528,-0.04594311509799555,SN02,snake,0.2,0,0.0023686596080421288,0.4025782846781045,0.00012645619644849112,0.6180674414538295,75.27943099215051,0.08546979977202442,0.578174958347948,1.0,8.881784197001252e-15,0.024126603771075287,32.93209164148516,0.5769687646644092,0.5769687646644092,2.2865965675903888,-1.8730094643218929,0.1912890625,0.9136999845504761
71,5.880447934755896,34.610072163888574,0.7984304656824648,-0.045521161212528465,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
72,5.91411453773689,35.0053511856618,0.8426480111654178,-0.045887442371781974,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
73,5.943870025416512,35.35993567481035,0.7926260011000055,-0.046000243256600785,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
74,5.971237541622987,35.68714832525991,0.827060537920913,-0.050635372200405815,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
75,5.998678728569396,36.01426245344734,0.865818983721052,-0.05177153101409533,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
76,6.030025470282326,36.38986894887893,0.8696446246774627,-0.047725599553032155,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
77,6.052430930674961,36.662420477635514,0.79050164096274,-0.05289622057762418,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
78,6.083232305885929,37.03513991626714,0.8730837935366103,-0.048415675819118126,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
79,6.106245937607334,37.31602068721636,0.8508496522968643,-0.055209254869664125,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
80,6.1304526771724595,37.61028637326297,0.8014384879318748,-0.05034584832219547,SN02,snake,0.2,0,0.002530716770416135,0.4208075234020237,0.0001281837427391115,0.6181009984467016,75.90452277318033,0.08850181233859632,0.6101134486220033,1.0,8.881784197001252e-16,0.02395915031264584,33.4502049310517,0.6403706815074901,0.6403706815074901,2.2621232860154263,-1.679381082745054,0.21677734375,0.9172999858856201
81,6.1572914224047235,37.9403572253434,0.7989403368311873,-0.04530755469024168,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
82,6.1830331658145,38.25682361143186,0.8693930653763434,-0.05053957197452623,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
83,6.207693196735238,38.561632351877634,0.8704529935462253,-0.052534377536971225,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
84,6.231712895498922,38.86046567497739,0.7995610202367877,-0.04683852565835296,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
85,6.255574869471566,39.16116053802583,0.8553871305939049,-0.05218293833634267,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
86,6.2745965760729385,39.39942138713471,0.7856001236547746,-0.054628512256658324,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
87,6.300726795783041,39.726023397830176,0.8132533978512976,-0.04632004717313264,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
88,6.321769127111594,39.992240563237246,0.8064292646573125,-0.04923115942365351,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
89,6.343836734471569,40.27249264571404,0.817038781714739,-0.05088019596319143,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
90,6.365350619126199,40.5472022909175,0.8390208926807036,-0.051852517785504856,SN02,snake,0.2,0,0.00255122495834006,0.44913166740508215,0.00011698989853455554,0.641297877541092,75.71238214235868,0.08870556827875821,0.6236170572241283,1.0,1.1546319456101628e-14,0.025453127533359758,32.96337126276735,0.6460464879783635,0.6460464879783635,2.3968613977435314,-1.7905240901122352,0.21783203125,0.9175999760627747
91,6.388811816912093,40.84386251670736,0.7918943176276886,-0.048389750061218324,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
92,6.411001832093101,41.13123063322021,0.8569033947466298,-0.05145041560489395,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
93,6.4302364378783405,41.378922263188606,0.75468970231335,-0.05110440529186982,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
94,6.45635849386001,41.71512936251948,0.8519360017793796,-0.046621042570532616,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
95,6.478661382764674,42.00436778546313,0.825386608071593,-0.04910649305641573,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
96,6.494632870880958,42.2104901255653,0.8615423538335587,-0.05780732562052332,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
97,6.517001250223197,42.500648025740574,0.8042556698463348,-0.047352220106569816,SN02,snake,0.2,0,,,,,,,,,,,,,,,,,
