task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
1,1.1469511725715054,1.3223137076395002,0.985009894739512,0.0040174120868357085,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
2,1.5159142988191059,2.3280759886097706,1.1028177043005731,-0.037859718832296205,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
3,1.7800985088766148,3.2167188912902174,1.0414278512503055,-0.046522125567578135,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
4,1.9732634653775099,3.9650714737082673,0.8965228204845755,-0.04527271145144295,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
5,2.1101282970326536,4.5614829371329195,0.753039425180748,-0.04259680280394901,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
6,2.2535286327473742,5.201799656748181,0.7581011166879272,-0.033610891963065714,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
7,2.360672514180727,5.725302844976756,0.6928853437164253,-0.0411947069019693,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
8,2.476371879508487,6.292434787994758,0.7271194201707161,-0.040802072088446134,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
9,2.577841190147796,6.822610902271187,0.7076003864919769,-0.04148483946075347,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
10,2.683142620534712,7.380394204487295,0.6952435527106974,-0.035858198115344325,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
11,2.770628481441691,7.879815959048489,0.6530605454017585,-0.037738794197880295,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
12,2.8568284452361734,8.368599918188325,0.6405867167406588,-0.03804546947152792,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
13,2.95236885710618,8.927028431268594,0.707851717084732,-0.02934027895659371,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
14,3.0371141258692034,9.457500929683304,0.7046072207061895,-0.033438132172015286,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
15,3.130751611808266,10.022375508407004,0.7586638506697214,-0.03804251309106678,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
16,3.207132868674117,10.502963687981582,0.6305249421149529,-0.029631762699063903,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
17,3.298623758376674,11.080564310928462,0.7651109710993179,-0.033472806582326264,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
18,3.3892849911684326,11.677154036187904,0.756062858954171,-0.027152986425955313,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
19,3.4769051321486972,12.272130320535707,0.7398708086659513,-0.019421982035717253,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
