arm,seed,n_flip_changed,n_boundary_499,n_boundary_500_report_only,n_internal_4500,n_startup_0to1000,all_flips_are_boundary,pass_
L1w100_Aexact,0,499,499,500,4500,1,True,True
L1w100_Aexact,1,499,499,500,4500,1,True,True
L1w100_Aexact,2,499,499,500,4500,1,True,True
L1w100_Aexact,3,499,499,500,4500,1,True,True
L1w100_Aexact,4,499,499,500,4500,1,True,True
L1w100_Aexact,5,499,499,500,4500,1,True,True
L1w100_Aexact,6,499,499,500,4500,1,True,True
L1w100_Aexact,7,499,499,500,4500,1,True,True
L1w100_Aexact,8,499,499,500,4500,1,True,True
L1w100_Aexact,9,499,499,500,4500,1,True,True
L1w100_A1,0,499,499,500,4500,1,True,True
L1w100_A1,1,499,499,500,4500,1,True,True
L1w100_A1,2,499,499,500,4500,1,True,True
L1w100_A1,3,499,499,500,4500,1,True,True
L1w100_A1,4,499,499,500,4500,1,True,True
L1w100_A1,5,499,499,500,4500,1,True,True
L1w100_A1,6,499,499,500,4500,1,True,True
L1w100_A1,7,499,499,500,4500,1,True,True
L1w100_A1,8,499,499,500,4500,1,True,True
L1w100_A1,9,499,499,500,4500,1,True,True
