arm,seed,n_unit,n_final_dead,n_core_dead,strict_dead_frac,core_dead_frac
L1w100_A1,0,100,50,32,0.5,0.64
L1w100_A1,1,100,55,37,0.55,0.6727272727272727
L1w100_A1,2,100,36,20,0.36,0.5555555555555556
L1w100_A1,3,100,31,15,0.31,0.4838709677419355
L1w100_A1,4,100,56,38,0.56,0.6785714285714286
L1w100_A1,5,100,45,27,0.45,0.6
L1w100_A1,6,100,54,34,0.54,0.6296296296296297
L1w100_A1,7,100,50,31,0.5,0.62
L1w100_A1,8,100,50,37,0.5,0.74
L1w100_A1,9,100,42,26,0.42,0.6190476190476191
L1w100_Aexact,0,100,100,100,1.0,1.0
L1w100_Aexact,1,100,100,100,1.0,1.0
L1w100_Aexact,2,100,100,100,1.0,1.0
L1w100_Aexact,3,100,100,100,1.0,1.0
L1w100_Aexact,4,100,100,100,1.0,1.0
L1w100_Aexact,5,100,100,100,1.0,1.0
L1w100_Aexact,6,100,100,100,1.0,1.0
L1w100_Aexact,7,100,100,100,1.0,1.0
L1w100_Aexact,8,100,100,100,1.0,1.0
L1w100_Aexact,9,100,100,99,1.0,0.99
