arm,seed,unit,delta_beta_bnd,delta_beta_int,strict_dead_final,continuous_dead_last1000
L1w100_Aexact,0,0,-2.23000926990062,0.03975434321910143,1,1
L1w100_Aexact,0,1,-2.0047442875802517,-0.05621862784028053,1,1
L1w100_Aexact,0,2,-1.7684549398254603,-0.3861230306793004,1,1
L1w100_Aexact,0,3,-2.4590450394898653,0.3338154423981905,1,1
L1w100_Aexact,0,4,-1.4870840543881059,-0.25682768877595663,1,1
L1w100_Aexact,0,5,-2.066875085234642,-0.042535200715065,1,1
L1w100_Aexact,0,6,0.8235902888700366,-3.0320675475522876,1,1
L1w100_Aexact,0,7,-2.103927906602621,-0.17583340778946877,1,1
L1w100_Aexact,0,8,-3.3382619658950716,1.146976355696097,1,1
L1w100_Aexact,0,9,-1.63347337563755,-0.26181175390956923,1,1
L1w100_Aexact,0,10,-3.4808229729533195,1.266330175101757,1,1
L1w100_Aexact,0,11,-2.482643023133278,0.1898731142282486,1,1
L1w100_Aexact,0,12,-2.5569200224417727,0.28346583314123563,1,1
L1w100_Aexact,0,13,-2.204672358930111,0.04932596534490585,1,1
L1w100_Aexact,0,14,-2.2675789296627045,0.11149272322654724,1,1
L1w100_Aexact,0,15,-2.8037365153431892,0.6495996192097664,1,1
L1w100_Aexact,0,16,-3.0418180335545912,0.8446000922704116,1,1
L1w100_Aexact,0,17,-1.7222484056837857,-0.2990762288682163,1,1
L1w100_Aexact,0,18,-2.0072677098214626,-0.18131494894623756,1,1
L1w100_Aexact,0,19,-2.838578778435476,0.618114787270315,1,1
L1w100_Aexact,0,20,-2.180354818701744,0.16289423406124115,1,1
L1w100_Aexact,0,21,-2.5346749564632773,0.305693699978292,1,1
L1w100_Aexact,0,22,-1.6246290691196918,-0.4911639206111431,1,1
L1w100_Aexact,0,23,-3.440786793406005,1.3335415865731193,1,1
L1w100_Aexact,0,24,-2.4347639344632626,0.23238542303442955,1,1
L1w100_Aexact,0,25,-3.0440965059679,0.8253503206651658,1,1
L1w100_Aexact,0,26,-2.16905746050179,-0.04456248693168163,1,1
L1w100_Aexact,0,27,-2.0005813986063004,-0.12267576158046722,1,1
L1w100_Aexact,0,28,-2.117992595769465,-0.10368470754474401,1,1
L1w100_Aexact,0,29,-1.960605046711862,-0.14481220487505198,1,1
L1w100_Aexact,0,30,-3.1305572716519237,1.0764374462887645,1,1
L1w100_Aexact,0,31,-3.04726458247751,0.8451650207862258,1,1
L1w100_Aexact,0,32,-1.962499352172017,-0.2512901108711958,1,1
L1w100_Aexact,0,33,-1.6357982731424272,-0.7606434249319136,1,1
L1w100_Aexact,0,34,-1.5465758331120014,-0.5912656299769878,1,1
L1w100_Aexact,0,35,-2.1744713485240936,0.011335104703903198,1,1
L1w100_Aexact,0,36,-2.6516209729015827,0.4797249920666218,1,1
L1w100_Aexact,0,37,-1.2724929116666317,-0.7621624208986759,1,1
L1w100_Aexact,0,38,-1.434658020734787,-0.2989175617694855,1,1
L1w100_Aexact,0,39,-2.8976193834096193,0.7978078294545412,1,1
L1w100_Aexact,0,40,-2.296942484565079,0.09587837476283312,1,1
L1w100_Aexact,0,41,-2.1351242009550333,0.21436952985823154,1,1
L1w100_Aexact,0,42,-2.2542357509955764,0.07873440440744162,1,1
L1w100_Aexact,0,43,-1.691041437909007,-0.44804337806999683,1,1
L1w100_Aexact,0,44,-2.608375793164214,0.3336489254884327,1,1
L1w100_Aexact,0,45,-1.5650078486651182,-0.6245070267468691,1,1
L1w100_Aexact,0,46,-2.1832514069974422,-0.01949307695031166,1,1
L1w100_Aexact,0,47,-1.9740779784624465,-0.23426695790840313,1,1
L1w100_Aexact,0,48,-2.0933500677347183,-0.09605751931667328,1,1
L1w100_Aexact,0,49,-1.9288158998824656,-0.3113722219131887,1,1
L1w100_Aexact,0,50,-1.787190118804574,-0.43512662313878536,1,1
L1w100_Aexact,0,51,-3.12031545676291,0.794528866186738,1,1
L1w100_Aexact,0,52,-1.3971539866179228,-0.5730632413178682,1,1
L1w100_Aexact,0,53,-1.8431559016462415,-0.20207043387927115,1,1
L1w100_Aexact,0,54,-2.7301708358390897,0.4965590137107938,1,1
L1w100_Aexact,0,55,-1.9093106165528297,-0.19481321424245834,1,1
L1w100_Aexact,0,56,-1.6187373101711273,-0.16027048230171204,1,1
L1w100_Aexact,0,57,-1.953820179682225,-0.1745675099082291,1,1
L1w100_Aexact,0,58,-3.249914556276053,1.0440887506119907,1,1
L1w100_Aexact,0,59,-0.87133514508605,-1.3676873482763767,1,1
L1w100_Aexact,0,60,-2.2898011598736048,0.24936131574213505,1,1
L1w100_Aexact,0,61,-2.598477111198008,0.35495780501514673,1,1
L1w100_Aexact,0,62,-1.6432580184191465,-0.5238445568829775,1,1
L1w100_Aexact,0,63,-2.3394739255309105,0.1308285817503929,1,1
L1w100_Aexact,0,64,-2.58449820097303,0.288481984694954,1,1
L1w100_Aexact,0,65,-2.324533696169965,0.13915585994254798,1,1
L1w100_Aexact,0,66,-2.230888716876507,-0.06497538834810257,1,1
L1w100_Aexact,0,67,-2.380591705441475,0.3505011349916458,1,1
L1w100_Aexact,0,68,-2.5643487242341507,0.3402717379212845,1,1
L1w100_Aexact,0,69,-1.9650970180518925,-0.0437859813682735,1,1
L1w100_Aexact,0,70,-1.6465744376182556,-0.4493318200111389,1,1
L1w100_Aexact,0,71,-2.2353323462884873,-0.001063251169398427,1,1
L1w100_Aexact,0,72,-2.490462255314924,0.3707396505633369,1,1
L1w100_Aexact,0,73,-2.037853503599763,-0.1800904031842947,1,1
L1w100_Aexact,0,74,-2.9175635278224945,0.7550300061702728,1,1
L1w100_Aexact,0,75,-2.57806035829708,0.48832818819209933,1,1
L1w100_Aexact,0,76,-1.8170038359239697,-0.13022066187113523,1,1
L1w100_Aexact,0,77,-2.5021956484997645,0.27383833343628794,1,1
L1w100_Aexact,0,78,-2.065253835171461,-0.18281139805912971,1,1
L1w100_Aexact,0,79,-1.9014871856197715,-0.08481793198734522,1,1
L1w100_Aexact,0,80,0.904440203710692,-3.129443684621947,1,1
L1w100_Aexact,0,81,-3.7800366521114483,1.770326578640379,1,1
L1w100_Aexact,0,82,-3.210211208090186,0.9474007394164801,1,1
L1w100_Aexact,0,83,-1.2834450853988528,-0.708567057736218,1,1
L1w100_Aexact,0,84,-3.0607151050353423,0.8969921130919829,1,1
L1w100_Aexact,0,85,-1.1522282175719738,-0.4023904986679554,1,1
L1w100_Aexact,0,86,-1.6687410492449999,-0.31865387968719006,1,1
