arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,4,0,0.001,1,none,0.78,1,1,0,0,-0.6648764014,11.50061512,-2.861208439,0.5230001211,71.53784057,0,0,-1.243342876,7.504301071,-6.887008667,0.4817501009,71.98539433,2.533375263,0.8160560131,1.009293079,2200,2200,2200,1500,1700,1200,1200
LR,std,4,0,0.001,2,none,0.79953125,0.9225000143,0.9225000143,0,0,-1.898842454,18.26851845,-6.196451187,0.5042501092,71.5821415,0,0,-14.147295,14.33830452,-21.21278763,0.2312499732,79.47324093,4.000307083,1.029727578,1.153820276,2800,2800,5000,1800,2300,1107,989
LR,std,4,0,0.001,3,none,0.8183823529,1,1,0,0,-1.601049662,17.96455002,-5.534620285,0.5072500706,73.98648574,0,0,-12.87462234,13.94734192,-26.51163864,0.2334999889,76.93313868,4.292486191,1.084834218,1.152962923,1700,1700,6700,1000,1200,1200,1198
LR,std,4,0,0.001,4,none,0.8817613636,1,1,0,0,-2.176182508,18.6442337,-6.507479191,0.4997501373,73.36637312,0,0,-15.39276123,15.53269196,-26.56917,0.231250003,77.25062649,4.506042004,1.087866902,1.078766227,1100,1100,7800,500,600,1200,1199
LR,std,4,0,0.001,5,none,0.8911979167,1,1,0,0,-2.173416376,18.39139175,-6.343236923,0.500500083,75.68344764,0,0,-15.66647816,15.06634331,-26.48301697,0.2282499969,79.20998985,4.775401592,1.118821859,1.059495807,1200,1200,9000,600,700,1200,1200
LR,std,4,0,0.001,6,none,0.883,1,1,0,0,-2.296862841,19.11673927,-5.824637413,0.5042501092,75.02524713,0,0,-16.30018234,16.41003036,-30.89187241,0.2237499803,78.0579028,4.94126606,1.141724944,1.007842302,1000,1000,10000,500,500,1200,1199
LR,std,4,0,0.001,7,none,0.9094270833,1,1,0,0,-2.312849283,19.77220154,-6.618509769,0.4960000813,76.41581795,0,0,-17.08576202,16.48061371,-32.25831604,0.2102499753,79.26603159,5.162390232,1.166119933,0.9906654954,1200,1200,11200,500,700,1200,1199
LR,std,4,0,0.001,8,none,0.902875,1,1,0,0,-2.617938042,20.42144966,-6.17717886,0.500500083,75.1378332,0,0,-19.98617744,17.86756516,-31.11555099,0.2034999579,76.40622826,5.339496136,1.180526137,0.9554874301,1000,1000,12200,400,500,1200,1200
LR,std,4,0,0.001,9,none,0.90475,1,1,0,0,-2.356259823,20.26376915,-6.940879822,0.4945001304,76.95670475,0,0,-19.44371223,17.40578842,-31.0021553,0.2094999701,78.88398823,5.537096977,1.188574076,0.9472226501,1000,1000,13200,400,500,1200,1200
LR,std,4,0,0.001,10,none,0.9076875,1,1,0,0,-2.882568121,21.43018341,-6.683269024,0.4960001111,76.10503944,0,0,-20.39722061,18.79595757,-33.115345,0.1997499913,78.24775899,5.693558693,1.209045649,0.9043428898,1000,1000,14200,300,500,1200,1200
