arm,cond,seed,lr,task,fresh_online_acc,continual_online_acc,fresh_gap
KKA,std,10,0.0001,29,0.6830929487,0.6425480769,0.04054487179
KKA,std,11,0.0001,29,0.6287660256,0.5746394231,0.05412660256
KKA,std,12,0.0001,29,0.6141025641,0.5517227564,0.06237980769
KKA,std,13,0.0001,29,0.7109375,0.6759214744,0.03501602564
KKA,std,14,0.0001,29,0.7633814103,0.7226762821,0.04070512821
KKA,std,15,0.0001,29,0.6015224359,0.5659054487,0.03561698718
KKA,std,16,0.0001,29,0.7353365385,0.7051282051,0.03020833333
KKA,std,17,0.0001,29,0.6968349359,0.6438301282,0.05300480769
KKA,std,18,0.0001,29,0.7426682692,0.6953926282,0.04727564103
KKA,std,19,0.0001,29,0.7257211538,0.7078125,0.01790865385
