arm,n_records,n_units,submerged_frac,submerged_source,frozen_frac,frozen_frac_among_submerged,frozen_source,frozen_threshold,beyond_valley_frac,m_minus,strict_dead_frac,depth_median,abs_v_median,is_proxy,seed
G_off,10,100,1.0,layer1_zmax,0.993,0.993,layer1_mob,1e-06,1.0,-5.531449911148672e-23,1.0,12.892574310302734,8.23242712020874,False,0
G_off,10,100,1.0,layer1_zmax,0.999,0.999,layer1_mob,1e-06,1.0,-4.696555974436574e-24,1.0,13.549471855163574,8.366503715515137,False,1
G_off,10,100,1.0,layer1_zmax,0.979,0.979,layer1_mob,1e-06,1.0,-5.076638427687694e-25,1.0,13.47304630279541,8.607301712036133,False,2
G_off,10,100,1.0,layer1_zmax,0.985,0.985,layer1_mob,1e-06,1.0,-7.946287726631e-26,1.0,13.576000690460205,9.07878065109253,False,3
G_off,10,100,1.0,layer1_zmax,0.984,0.984,layer1_mob,1e-06,0.999,-2.068919858143728e-24,1.0,13.464232921600342,9.782007694244385,False,4
G_off,10,100,1.0,layer1_zmax,0.971,0.971,layer1_mob,1e-06,0.996,-1.1781424412461235e-20,1.0,12.492403507232666,8.73210096359253,False,5
G_off,10,100,1.0,layer1_zmax,0.98,0.98,layer1_mob,1e-06,1.0,-7.647754188050365e-19,1.0,11.791836261749268,9.337411880493164,False,6
G_off,10,100,1.0,layer1_zmax,0.981,0.981,layer1_mob,1e-06,0.999,-3.0214840998954353e-26,1.0,14.021847248077393,8.555904388427734,False,7
G_off,10,100,1.0,layer1_zmax,1.0,1.0,layer1_mob,1e-06,1.0,-5.890048662044473e-32,1.0,14.785410404205322,9.238413333892822,False,8
G_off,10,100,1.0,layer1_zmax,0.93,0.93,layer1_mob,1e-06,0.993,-6.49052131461735e-17,1.0,11.655375003814697,8.509407997131348,False,9
S_off,10,100,1.0,layer1_zmax,0.318,0.318,layer1_mob,1e-06,0.989,-7.835850283299806e-06,1.0,17.68415069580078,7.11859655380249,False,0
S_off,10,100,0.999,layer1_zmax,0.501,0.5015015015015015,layer1_mob,1e-06,0.981,-9.511779239801399e-07,0.999,19.893171310424805,7.172875165939331,False,1
S_off,10,100,0.999,layer1_zmax,0.416,0.4164164164164164,layer1_mob,1e-06,0.984,-2.306799160578521e-06,0.999,18.74225425720215,6.2473883628845215,False,2
S_off,10,100,1.0,layer1_zmax,0.322,0.322,layer1_mob,1e-06,0.988,-6.764868203390506e-06,1.0,17.977209091186523,7.113134860992432,False,3
S_off,10,100,0.998,layer1_zmax,0.451,0.45190380761523047,layer1_mob,1e-06,0.987,-1.592170519870706e-06,0.998,19.452980995178223,8.062946319580078,False,4
S_off,10,100,1.0,layer1_zmax,0.218,0.218,layer1_mob,1e-06,0.987,-2.5751876819413155e-05,1.0,16.22679615020752,6.813673257827759,False,5
S_off,10,100,0.998,layer1_zmax,0.19,0.1903807615230461,layer1_mob,1e-06,0.983,-3.487046888039913e-05,0.998,15.890673160552979,6.676633834838867,False,6
S_off,10,100,1.0,layer1_zmax,0.457,0.457,layer1_mob,1e-06,0.994,-1.622156730718416e-06,1.0,19.795169830322266,8.164674758911133,False,7
S_off,10,100,1.0,layer1_zmax,0.532,0.532,layer1_mob,1e-06,0.986,-7.013696574631467e-07,1.0,20.10377311706543,7.2982683181762695,False,8
S_off,10,100,0.998,layer1_zmax,0.22,0.22044088176352705,layer1_mob,1e-06,0.978,-3.1285593649954535e-05,0.998,16.34382724761963,6.819841146469116,False,9
R_off,10,100,0.999,layer1_p_hat == 0 (proxy),0.999,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.999,5.957099437713623,nan,True,0
