arm,n_records,n_units,submerged_frac,submerged_source,frozen_frac,frozen_frac_among_submerged,frozen_source,frozen_threshold,beyond_valley_frac,m_minus,strict_dead_frac,depth_median,abs_v_median,is_proxy,seed
R_off,10,100,0.993,layer1_p_hat == 0 (proxy),0.993,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.993,6.572931289672852,nan,True,1
R_off,10,100,0.995,layer1_p_hat == 0 (proxy),0.995,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.995,6.199802398681641,nan,True,2
R_off,10,100,0.99,layer1_p_hat == 0 (proxy),0.99,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.99,5.586898565292358,nan,True,3
R_off,10,100,0.985,layer1_p_hat == 0 (proxy),0.985,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.985,6.083767414093018,nan,True,4
R_off,10,100,0.995,layer1_p_hat == 0 (proxy),0.995,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.995,5.24458122253418,nan,True,5
R_off,10,100,0.98,layer1_p_hat == 0 (proxy),0.98,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.98,5.3631486892700195,nan,True,6
R_off,10,100,0.99,layer1_p_hat == 0 (proxy),0.99,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.99,5.786115646362305,nan,True,7
R_off,10,100,0.997,layer1_p_hat == 0 (proxy),0.997,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.997,5.754661560058594,nan,True,8
R_off,10,100,0.985,layer1_p_hat == 0 (proxy),0.985,1.0,layer1_p_hat (exact on ReLU: E_x phi' = p_hat),1e-06,nan,nan,0.985,5.220694541931152,nan,True,9
E_off,10,100,0.354,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.354,9.190041065216064,nan,True,0
E_off,10,100,0.496,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.496,10.30062484741211,nan,True,1
E_off,10,100,0.486,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.486,9.362067222595215,nan,True,2
E_off,10,100,0.461,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.461,9.433362007141113,nan,True,3
E_off,10,100,0.466,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.466,9.399523735046387,nan,True,4
E_off,10,100,0.448,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.448,8.69021463394165,nan,True,5
E_off,10,100,0.325,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.325,8.516855239868164,nan,True,6
E_off,10,100,0.314,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.314,9.87001895904541,nan,True,7
E_off,10,100,0.49,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.49,9.326976299285889,nan,True,8
E_off,10,100,0.44,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.44,8.957246780395508,nan,True,9
LR_off,10,100,0.38,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.38,3.690557360649109,nan,True,0
LR_off,10,100,0.631,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.631,4.05386209487915,nan,True,1
LR_off,10,100,0.742,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.742,3.874356985092163,nan,True,2
LR_off,10,100,0.629,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.629,4.080588340759277,nan,True,3
LR_off,10,100,0.712,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.712,4.307987928390503,nan,True,4
LR_off,10,100,0.455,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.455,3.8699941635131836,nan,True,5
LR_off,10,100,0.516,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.516,3.658042788505554,nan,True,6
LR_off,10,100,0.524,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.524,4.065580129623413,nan,True,7
LR_off,10,100,0.698,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.698,4.006021499633789,nan,True,8
LR_off,10,100,0.696,layer1_p_hat == 0 (proxy),nan,nan,"unavailable (no mob column, proxy invalid off ReLU)",1e-06,nan,nan,0.696,3.9676517248153687,nan,True,9
