contrast,window,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,n_positive,n_negative,p_sign_two_sided,seed_values,baseline_source,caveat
G_off-R_off,5M,0.0805795745866873,0.0034552113500152704,0.27236406752666825,-0.15723519621770882,0.8255908748103028,1,9,1,0.021484375,"[0.00025949493647471974, 0.2332118481149713, 0.004794203543907514, 0.22179537849820272, 0.07134008890087948, -0.06336547095385459, 0.4734733029095515, 0.08981906027249512, 0.006650927763555821, 0.32293275655513376]",/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/verdict.csv,controls are committed values from a separate run; pairing holds for init/teacher/input realization only
G_off-R_off,1M,-1.163128617098634,-1.8458977826410474,-0.8036578561972048,-1.2959613376203163,-0.9459425956545493,1,0,10,0.001953125,"[-0.6656100640429472, -0.8036578561972048, -2.1043240831165013, -0.9701819567376315, -0.2017746098163336, -1.7793096333615042, -2.1578008524392276, -1.2031705282618643, -1.1230867059354037, -1.5874714821655933]",/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/verdict.csv,controls are committed values from a separate run; pairing holds for init/teacher/input realization only
S_off-R_off,5M,-0.4128670314637524,-0.45563059045530085,-0.3058431816708841,-0.4623113957472494,0.12372277577471641,1,0,10,0.001953125,"[-0.6497008387626682, -0.21474182943319545, -0.39714091820373554, -0.30658843816076153, -0.4737096076318332, -0.4285931447237693, -0.45563059045530085, -0.24614733268530514, -0.4531953734096088, -0.35788004314500177]",/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/verdict.csv,controls are committed values from a separate run; pairing holds for init/teacher/input realization only
S_off-R_off,1M,-1.210335545161822,-1.3623048376547682,-0.8877939133048693,-1.6881959884046798,-1.059585058289356,1,0,10,0.001953125,"[-0.9252566236542181, -0.8144012182093985, -1.1781966026287225, -1.482135187614615, -0.7486557778220699, -1.7442526495240624, -1.3379451412576093, -1.259891200931376, -1.2424744876949216, -0.9611866084003402]",/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/verdict.csv,controls are committed values from a separate run; pairing holds for init/teacher/input realization only
