arm,seed,events_within_task,events_across_boundary,units_within_task,units_across_boundary,opportunities_within_task,opportunities_across_boundary,n_units,n_records,valley_escapes_within_task,valley_escapes_across_boundary,valley_units_escaped_within_task,valley_opportunities_within_task,valley_opportunities_across_boundary
G_off,0,609,561,99,99,383939,95735,100,5001,898,915,99,370346,92251
G_off,1,635,693,99,100,379119,94538,100,5001,966,953,100,364869,90754
G_off,2,622,962,99,99,363337,90625,100,5001,1049,1195,98,340527,84725
G_off,3,614,603,97,99,382086,95268,100,5001,1078,970,99,368098,91609
G_off,4,561,537,96,100,383785,95766,100,5001,998,806,99,370900,92336
G_off,5,739,978,100,99,360828,89942,100,5001,973,1197,100,336969,83877
G_off,6,727,853,100,100,373533,93110,100,5001,1093,1171,100,355003,88320
G_off,7,619,683,99,99,379379,94625,100,5001,1025,955,100,363514,90428
G_off,8,650,851,100,100,369639,92189,100,5001,1054,1030,100,349098,86803
G_off,9,763,931,100,100,371564,92631,100,5001,1013,1376,99,350726,87296
S_off,0,898,583,100,97,379178,94325,100,5001,1050,1144,100,358484,89122
S_off,1,988,638,100,100,377336,93941,100,5001,1098,1134,100,357301,88730
S_off,2,893,718,100,98,368331,91718,100,5001,947,1201,99,341043,84757
S_off,3,897,651,100,99,375011,93350,100,5001,1030,1113,100,353183,87753
S_off,4,849,581,100,99,378557,94320,100,5001,1111,1081,100,358860,89138
S_off,5,1166,1073,100,99,355276,88336,100,5001,1114,1509,100,318907,79244
S_off,6,1027,836,97,100,366848,91223,100,5001,1013,1362,99,335980,83481
S_off,7,998,660,100,100,373828,92974,100,5001,1103,1108,100,349923,86930
S_off,8,1124,782,100,100,365686,90891,100,5001,1070,1225,100,335518,83332
S_off,9,1002,814,100,100,370192,92087,100,5001,1105,1361,100,342557,85060
