arm,activation,dial,target_dose,status,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,submerged_frac_5m,depth_median_5m,frozen_frac_5m,frozen_source,beyond_valley_frac_5m,m_minus_5m,n_seeds_deeper_than_baseline,dose_5m_median,mu_norm_5m_median,window
G_off,gelu,1.0,,COMPLETE,10,0.6915028921812392,1.0,"[0.9999689746558234, 0.9999951736036495, 0.9854297843278506, 0.9798365416221037, 0.9546993289599965, 0.8238803718504173, 1.0000013290814387, 0.9893559706598476, 0.999999998311147, 0.8046202248320272]",-0.005510868200782769,1,0.0025285785444618125,0.4450161170281953,"[0.04391281659863143, 0.00951727014980019, 0.0030121566314773827, 0.043038755560440234, 0.2494814838145795, 0.0006469377646818742, 0.0009636055869268101, 0.013770979814307341, 0.03516144004794922, 0.0014330677115422276]",-1.9412613806370196,1.0,13.468639612197876,0.9824999999999999,layer1_mob,1.0,-3.382737916290151e-24,10,12.458662882967054,3.1146657207417636,task_ends_only_10_records
S_off,silu,1.0,,COMPLETE,10,0.6915028921812392,1.0,"[0.22388561581376093, 0.3564874344682808, 0.3905625187074905, 0.29024838717042434, 0.27215537802721934, 0.3553337690957471, 0.11773258611712918, 0.45644261632797833, 0.34685958335932493, 0.16779466370299773]",-0.4985382433714879,1,0.0025285785444618125,0.4450161170281953,"[0.024151534772096958, 0.009284724784513438, 0.02541002145924489, 0.013240563687001047, 0.07082020024359822, 0.0007013252697816913, 0.0063643641471195335, 0.012084930830774433, 0.0267103065066595, 0.006061101890264835]",-1.897924678186596,0.9995,18.359731674194336,0.369,layer1_mob,0.9864999999999999,-4.5358336819845135e-06,10,12.458662882967054,3.1146657207417636,task_ends_only_10_records
