seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,PM,10,1,A,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,B20,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,C20,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,D20,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,C5,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,D5,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,C10,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,D10,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,RB20,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,RC20,11,0,8.77242660522461,0.1391666680574417,,
0,PM,10,1,RD20,11,0,8.77242660522461,0.1391666680574417,,
1,PM,10,1,A,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,B20,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,C20,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,D20,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,C5,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,D5,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,C10,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,D10,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,RB20,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,RC20,11,0,10.528850555419922,0.05416666716337204,,
1,PM,10,1,RD20,11,0,10.528850555419922,0.05416666716337204,,
2,PM,10,1,A,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,B20,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,C20,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,D20,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,C5,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,D5,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,C10,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,D10,11,0,11.843067169189453,0.11083333939313889,,
2,PM,10,1,RB20,11,0,11.843067169189453,0.11083333939313889,,
