arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2,depth_ratio_l1,wtilde_gmean_l1,omega_l1,n_dead_l1,n_gate0_l1,n_exact_zero_l1,bias_mean_l1,bias_absmean_l1,depth_ratio_l2,wtilde_gmean_l2,omega_l2,n_dead_l2,n_gate0_l2,n_exact_zero_l2,bias_mean_l2,bias_absmean_l2,pin_max_ratio
CHB,raw,0,0,0.001,1,none,0.9840708333,1,1,0,0,6.357829108e-08,5.933996677,-7.502238191e-07,0.4975000024,75.28675833,0.5022583604,1.045847231e-08,0.4975000024,0.4862416685,0,-0.008911072277,0,0,1.13169358e-06,0,0,0.002541631227,7.816065311,-0.1043175012,0.5358333588,73.72917117,0.4651750028,0.0003819320118,0.5358333588,0.4618250132,0,-0.5113025904,0.005486593116,1.329933286,0.1249268129,0.00276339869,4.651417732,1.524031639,2.11487174,2.420710325,3.218009472,1.071424446973953e-08,4.6310931961825785,0.00021593173741878106,0,60271,0,0.0,0.0,0.0003251803977920982,1.4886390005008785,0.0006717545352926618,0,55821,0,0.010869916405063122,0.04288357228273526,0.00014687436052969883
CHB,raw,0,0,0.001,2,none,0.9705729167,1,1,0,0,1.462300645e-07,16.87799263,-8.544921911e-06,0.4958333373,51.62322309,0.5021583438,8.86697471e-09,0.4958333373,0.4819916487,0,-0.03761797771,0,0,1.220703143e-05,0,0,0.05377461761,24.94376755,-0.1359782964,0.5433333516,66.08386116,0.4546333253,0.002176694339,0.5433333516,0.4536833167,0,-0.6944149137,0.0001453493023,-0.001002467354,0.2141419798,0.004453537054,8.775238037,1.731591821,1.640627027,9.081307411,10.43445778,8.663948830033349e-09,8.570191901633457,0.00011668350154556079,0,60259,0,0.0,0.0,0.00215583381709312,1.7019264782434642,0.0005875694472020241,0,54556,0,-4.943404826917686e-05,0.003625559095380595,0.00038890165328170074
CHB,raw,0,0,0.001,3,none,0.9722854167,1,1,0,0,-1.97092703e-07,23.90457726,-1.34277343e-05,0.4950000048,45.01924022,0.5027250051,-1.351738188e-08,0.4950000048,0.4812250137,0,-0.01915281266,0,0,1.871744826e-05,0,0,0.01135396305,35.49742508,-0.3548051119,0.5433333516,66.32347016,0.4545333385,0.0003188042028,0.5433333516,0.4529833496,0,-0.6493731737,0.0008649209049,-1.441383719,0.3906896412,0.003773909761,11.4187355,1.935629964,1.390292287,13.94657898,15.47273731,-8.244977556235604e-09,11.434672087632697,8.745331674893954e-05,0,60327,0,0.0,0.0,0.0003198531449650714,1.9274685907022246,0.0005188151987657942,0,54544,0,-0.024268111421260983,0.030702468762174247,0.0003361549602037943
CHB,raw,0,0,0.001,4,none,0.9696770833,1,1,0,0,-2.034505258e-07,28.78971481,-1.424153652e-05,0.4950000048,44.86209482,0.503674984,-8.227219794e-09,0.4950000048,0.4804750085,0,0.003917980473,0,0,2.054850302e-05,0,0,0.01472811401,37.65579224,-0.4053875208,0.5400000215,69.58142878,0.4584500194,0.0003376249806,0.5400000215,0.4565499723,0,-0.5832089186,0.0007772888057,-2.64078784,0.4698917866,0.002716775751,13.54268742,2.1133008,1.229326129,15.949687,16.59012985,-7.06677808872675e-09,13.3646491872311,7.48242610779057e-05,0,60441,0,0.0,0.0,0.0003911247947229486,2.1024460660191266,0.0004756364580107629,0,55014,0,-0.026147327680519084,0.029269426541723077,0.00036238015805699174
CHB,raw,0,0,0.001,5,none,0.9734708333,1,1,0,0,-7.629394361e-08,28.55368042,-1.546223939e-05,0.4975000024,44.30419157,0.5024499893,-4.80669593e-09,0.4975000024,0.4816499949,0,0.03306400776,0,0,2.075195334e-05,0,0,-0.002103983657,39.44252396,-0.3617624938,0.540833354,75.15249564,0.4583166838,-6.72258393e-05,0.540833354,0.4566666186,0,-0.5917432904,0.0001998429216,-1.243361354,0.4282919466,0.006701249164,14.72102547,2.257720947,0.9848720431,17.20296288,16.22723007,-2.6719478010463775e-09,14.814255907042998,6.750254661960981e-05,0,60294,0,0.0,0.0,-5.334302792422008e-05,2.24317981941646,0.00044579573663431927,0,54998,0,-0.007367032210459002,0.007882309795822948,0.00043138052683769346
CHB,raw,0,0,0.001,6,none,0.9793395833,1,1,0,0,-1.017252629e-07,28.1075573,-1.291910849e-05,0.4950000048,45.15577173,0.5027083158,-4.342479265e-09,0.4950000048,0.4823916554,0,0.006077240687,0,0,2.1158854e-05,0,0,0.06666728109,43.85601425,-0.2791494429,0.5458333492,77.94726832,0.4543916583,0.001719311229,0.5458333492,0.4538750052,0,-0.6152187586,0.0006063228357,-0.3479425013,0.3978198469,0.002549721627,16.30690765,2.476641893,1.007623434,18.00253296,17.54637337,-3.619142774103675e-09,16.326893975599123,6.124863685000469e-05,0,60325,0,0.0,0.0,0.0015201399906057355,2.4443484333274363,0.0004091069776982337,0,54527,0,-0.02314427680365043,0.026590904894692357,0.0003252142536916728
CHB,raw,0,0,0.001,7,none,0.97960625,1,1,0,0,-1.017252629e-07,26.64994049,-2.848307304e-05,0.4933333397,46.68743105,0.502333343,-3.54495322e-09,0.4933333397,0.4819166958,0,0.000549481716,0,0,2.848307304e-05,0,0,-0.06689837575,42.36089325,-0.3530417085,0.5341666937,80.27276318,0.4620916843,-0.001425857539,0.5341666937,0.4593250155,0,-0.4976462424,0.000498293899,-1.841957069e+10,0.3530417085,0.003050183412,17.05394363,2.615138292,0.9642950892,17.37725449,17.37163925,-3.817091559291509e-09,17.341164856600685,5.7666253003722715e-05,0,60280,0,0.0,0.0,-0.0015792484675709714,2.593199334623513,0.00038562403847954956,0,55451,0,-0.018419569926918483,0.021108174925320782,0.0003868025933043376
CHB,raw,0,0,0.001,8,none,0.9812125,1,1,0,0,-2.28881845e-07,24.99552345,-1.464843808e-05,0.4950000048,48.18818656,0.5016833544,-8.40273362e-09,0.4950000048,0.4825333357,0,0.003552767448,0,0,1.953124956e-05,0,0,0.08773335814,43.8033905,-0.4926171899,0.5333333611,81.57816652,0.4641500115,0.001994655235,0.5333333611,0.4604833126,0,-0.425896883,0.000620879815,-0.23653768,0.5182000399,0.003978367895,17.93516159,2.736695528,0.9316282272,17.09893227,17.64774704,-9.15691345523712e-09,18.201716098142903,5.493987460347372e-05,0,60202,0,0.0,0.0,0.002002889665355927,2.7254748461165272,0.00036690854124919893,0,55698,0,-0.020514405454450754,0.02719663942902116,0.00024601798569682604
CHB,raw,0,0,0.001,9,none,0.9815979167,1,1,0,0,5.086263144e-08,23.57424355,-1.139322922e-05,0.4958333373,48.43814459,0.5025749803,2.072866323e-09,0.4958333373,0.4831416607,0,-0.0192703642,0,0,2.929687616e-05,0,0,0.09330093861,43.79839325,-0.3867984116,0.5308333635,81.89807143,0.4687583447,0.002006778261,0.5308333635,0.4662916362,0,-0.39878124,0.0006870822399,-0.2857636809,0.8097926974,0.004325678106,18.65958023,2.831744909,0.9539183378,16.77700806,18.0744133,2.157550944619812e-09,19.01725965207122,5.2583811668737844e-05,0,60309,0,0.0,0.0,0.002130236560903978,2.8584927725894147,0.0003498347134507998,0,56251,0,-0.02486615484114736,0.030093100401572884,0.0002666085745511448
CHB,raw,0,0,0.001,10,none,0.98190625,1,1,0,0,0,23.89863205,-2.60416673e-05,0.4983333349,47.89532523,0.5020999908,0,0.4983333349,0.484950006,0,0.002204691526,0,0,2.60416673e-05,0,0,0.01497807819,45.9497757,-0.431899935,0.5308333635,82.76582131,0.4666083455,0.0002625746711,0.5308333635,0.4627583325,0,-0.3945917487,0.0007447680691,-0.9112551212,0.7536816597,0.004126313608,19.28298187,2.954296112,0.9328295588,16.65142632,19.101017,0.0,19.714897003612617,5.072306488929448e-05,0,60252,0,0.0,0.0,0.0003259662960661634,2.9681058761515127,0.0003369152050925535,0,55993,0,-0.029074523348535875,0.03422192533296766,0.00028532258398616424
