record_type,metric,scope,alpha,arm,boundary_offset,estimate,ci_lo,ci_hi,bootstrap_finite,n,x_definition
arm_scope,mean_log_neg_cos_crit,bulk,0,alpha_0,NA,-1.6338962002948281,-1.6539916133501915,-1.6089477435174111,10000,900622,
arm_scope,mean_log_q,bulk,0,alpha_0,NA,-0.54842043776424554,-0.57517554036304597,-0.52228795587375576,10000,900622,
arm_scope,mean_log_mu_norm_wall_mask,bulk,0,alpha_0,NA,1.085475764943687,1.0560439293653523,1.1135991148155493,10000,900622,
arm_scope,bias_share_field,bulk,0,alpha_0,NA,0.1013696114840054,0.096416529717078564,0.10744082957799356,10000,167833,
arm_scope,bias_structural_reference,bulk,0,alpha_0,NA,0.11692208077017996,0.10891969042101207,0.12333157218270593,10000,167833,
arm_scope,bias_same_sign_rate,bulk,0,alpha_0,NA,0.99365440646356795,0.9931571790023459,0.99435728636771681,10000,167833,
arm_scope,frac_cos_crit_lt_m1,bulk,0,alpha_0,NA,0,0,0,10000,901000,
arm_scope,frac_abs_cos_crit_gt1,bulk,0,alpha_0,NA,0,0,0,10000,901000,
arm_scope,frac_b_plus_M_le0,bulk,0,alpha_0,NA,0.00041953385127635961,0,0.0010388457269700333,10000,901000,
identity,wall_log_additive_error,bulk,0,alpha_0,NA,2.413104605025751e-09,NA,NA,0,900622,log(-cos_crit)=log(q)-log(mu_norm)
arm_scope,mean_log_neg_cos_crit,boundary,0,alpha_0,NA,-1.6338990449846615,-1.6538740608469114,-1.6091114128966328,10000,19890767,
arm_scope,mean_log_q,boundary,0,alpha_0,NA,-0.54793422826484361,-0.57482789580326865,-0.52169220431147612,10000,19890767,
arm_scope,mean_log_mu_norm_wall_mask,boundary,0,alpha_0,NA,1.0859648190656546,1.0564597155134829,1.1140313982028616,10000,19890767,
arm_scope,bias_share_field,boundary,0,alpha_0,NA,0.10913484915680995,0.10264768147222167,0.11544522217173925,10000,4168673,
arm_scope,bias_structural_reference,boundary,0,alpha_0,NA,0.11618967243849383,0.10845657728379431,0.12265434115446024,10000,4168673,
arm_scope,bias_same_sign_rate,boundary,0,alpha_0,NA,0.99358476906200122,0.99306915876010871,0.99422693782967309,10000,4168673,
arm_scope,frac_cos_crit_lt_m1,boundary,0,alpha_0,NA,0,0,0,10000,19899000,
arm_scope,frac_abs_cos_crit_gt1,boundary,0,alpha_0,NA,0,0,0,10000,19899000,
arm_scope,frac_b_plus_M_le0,boundary,0,alpha_0,NA,0.00041373938388863767,0,0.0010297502387054624,10000,19899000,
identity,wall_log_additive_error,boundary,0,alpha_0,NA,2.3458366360529226e-09,NA,NA,0,19890767,log(-cos_crit)=log(q)-log(mu_norm)
arm_scope,mean_log_neg_cos_crit,all_recorded,0,alpha_0,NA,-1.6336964842543722,-1.653813589807944,-1.6087124324434796,10000,20892187,
arm_scope,mean_log_q,all_recorded,0,alpha_0,NA,-0.54792329808483264,-0.57484851312160079,-0.52161420143804316,10000,20892187,
arm_scope,mean_log_mu_norm_wall_mask,all_recorded,0,alpha_0,NA,1.0857731885304676,1.0562669674434901,1.1139516231654381,10000,20892187,
arm_scope,bias_share_field,all_recorded,0,alpha_0,NA,0.1090269446329441,0.10255286719852351,0.11534274879021528,10000,4343980,
arm_scope,bias_structural_reference,all_recorded,0,alpha_0,NA,0.11623450815968329,0.10847716097505937,0.12270516121848185,10000,4343980,
arm_scope,bias_same_sign_rate,all_recorded,0,alpha_0,NA,0.99358882867784848,0.99307830541501951,0.99422627249659901,10000,4343980,
arm_scope,frac_cos_crit_lt_m1,all_recorded,0,alpha_0,NA,0,0,0,10000,20901000,
arm_scope,frac_abs_cos_crit_gt1,all_recorded,0,alpha_0,NA,0,0,0,10000,20901000,
arm_scope,frac_b_plus_M_le0,all_recorded,0,alpha_0,NA,0.0004216544662934788,0,0.0010444954786852304,10000,20901000,
