alpha,arm,scope,boundary_offset,estimate,point,ci_lo,ci_hi,bootstrap_finite,n_valid_bins,min_bin_n,left_censored_exact,bulk_q_positive_cos_crit_median
0,alpha_0,bulk,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,18,1000,False,-0.20789147913455963
0,alpha_0,bulk,NA,theta_all,-0.5,-0.5,-0.39999999999999991,10000,18,1000,False,-0.20789147913455963
0,alpha_0,boundary,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,24,1000,False,NA
0,alpha_0,boundary,NA,theta_all,-0.55000000000000004,-0.55000000000000004,-0.39999999999999991,10000,24,1000,False,NA
0,alpha_0,all_recorded,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,24,1000,False,NA
0,alpha_0,all_recorded,NA,theta_all,-0.55000000000000004,-0.55000000000000004,-0.39999999999999991,10000,24,1000,False,NA
0,alpha_0,bulk_t_lt_500k,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,17,1000,False,NA
0,alpha_0,bulk_t_lt_500k,NA,theta_all,-0.44999999999999996,-0.44999999999999996,-0.34999999999999998,10000,17,1000,False,NA
0,alpha_0,bulk_t_ge_500k,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,16,1000,False,NA
0,alpha_0,bulk_t_ge_500k,NA,theta_all,-0.5,-0.5,-0.39999999999999991,10000,16,1000,False,NA
0,alpha_0,phase_offset_5000,NA,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,phase_offset_5000,NA,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-100,-100,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-100,-100,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-99,-99,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-99,-99,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-98,-98,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-98,-98,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-97,-97,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-97,-97,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-96,-96,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-96,-96,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-95,-95,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-95,-95,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-94,-94,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-94,-94,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-93,-93,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-93,-93,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-92,-92,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-92,-92,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-91,-91,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-91,-91,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-90,-90,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-90,-90,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-89,-89,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-89,-89,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-88,-88,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-88,-88,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-87,-87,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-87,-87,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-86,-86,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-86,-86,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-85,-85,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-85,-85,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-84,-84,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-84,-84,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-83,-83,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-83,-83,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-82,-82,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-82,-82,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-81,-81,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-81,-81,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-80,-80,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-80,-80,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-79,-79,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-79,-79,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-78,-78,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-78,-78,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-77,-77,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-77,-77,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-76,-76,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-76,-76,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-75,-75,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-75,-75,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-74,-74,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-74,-74,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-73,-73,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-73,-73,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-72,-72,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-72,-72,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-71,-71,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-71,-71,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-70,-70,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-70,-70,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-69,-69,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-69,-69,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-68,-68,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-68,-68,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-67,-67,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-67,-67,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-66,-66,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-66,-66,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-65,-65,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-65,-65,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-64,-64,theta_med,-0.14999999999999991,-0.14999999999999991,-0.14999999999999991,10000,13,1000,False,NA
0,alpha_0,boundary_offset_-64,-64,theta_all,-0.5,-0.5,-0.39999999999999991,10000,13,1000,False,NA
