alpha,arm,seed,scope,mu_norm,theta_med,theta_all,wall_mean_log_neg_cos_crit,wall_mean_log_q,wall_mean_log_mu_norm,wall_identity_error,wall_n,bias_share_field,bias_structural_reference,bias_same_sign_rate,bias_n,final_strict_dead,final_near_off,final_dead_0_05,final_eval_loss_exact
0,alpha_0,0,bulk,3.2015621662139893,-0.14999999999999991,-0.39999999999999991,-1.6417949864646424,-0.5078329470273184,1.1339620433631319,3.9258079009840685e-09,90100,0.094235251674437193,0.10146498021191147,0.99623604465709725,15675,0.93999999999999995,0.01,0.94999999999999996,0.25346469879150391
0,alpha_0,1,bulk,3.0413813591003418,-0.14999999999999991,-0.34999999999999998,-1.6953475076740987,-0.60223576169573723,1.0931117478862982,1.9079366975205403e-09,90001,0.10363835661137492,0.12434019621158669,0.99329309188464121,16401,0.93000000000000005,0.02,0.94999999999999996,0.24652925133705139
0,alpha_0,2,bulk,2.8722813129425049,-0.14999999999999991,-0.44999999999999996,-1.6411370487898158,-0.59360485978941946,1.0475321934035113,4.4031149837309158e-09,90100,0.10267856396949211,0.12398326456863164,0.99293223783019702,22638,0.93000000000000005,0.02,0.94999999999999996,0.46794366836547852
0,alpha_0,3,bulk,3.0413813591003418,-0.14999999999999991,-0.34999999999999998,-1.6340966848946172,-0.5046807524459489,1.1294159357584819,3.3098135343578861e-09,90100,0.09711151681141425,0.10598883556210449,0.99411553641908867,13935,0.97999999999999998,0,0.97999999999999998,0.97735893726348877
0,alpha_0,4,bulk,3.0413813591003418,-0.14999999999999991,-0.34999999999999998,-1.6483802569316297,-0.51968690884587587,1.1286933528793557,4.7936019598182611e-09,89821,0.09262320973675145,0.10340795376129958,0.99340912835722528,12138,0.98999999999999999,0,0.98999999999999999,0.63028526306152344
0,alpha_0,5,bulk,2.8722813129425049,-0.14999999999999991,-0.39999999999999991,-1.6303150657134857,-0.59753188865592355,1.0327831774410623,3.8350012054877425e-10,90100,0.10818818004596112,0.12471203874511351,0.99335867173434689,24995,0.76000000000000001,0.11,0.87,0.0030607655644416809
0,alpha_0,6,bulk,3.0413813591003418,-0.14999999999999991,-0.39999999999999991,-1.6348475474914486,-0.50446008635205442,1.1303874682289863,7.0895922466007733e-09,90100,0.092123640355620401,0.098349211537872905,0.99408738385932582,13023,0.94999999999999996,0,0.94999999999999996,0.18580760061740875
0,alpha_0,7,bulk,3.0413813591003418,-0.14999999999999991,-0.39999999999999991,-1.6447909175689421,-0.52500283073384935,1.1197880881088755,1.273782856969774e-09,90100,0.098557934465399066,0.10705825749966179,0.99404636828465365,14277,0.93000000000000005,0.02,0.94999999999999996,0.13585926592350006
0,alpha_0,8,bulk,2.8722813129425049,-0.14999999999999991,-0.44999999999999996,-1.6263505484004332,-0.60789211009296507,1.0184584366449712,-1.6624970289313978e-09,90100,0.11208305192845659,0.12959709881456555,0.99249431020289569,20651,0.94999999999999996,0,0.94999999999999996,0.16196274757385254
0,alpha_0,9,bulk,2.8722813129425049,-0.14999999999999991,-0.5,-1.5420138111749071,-0.52124638807995649,1.0207674218081588,-1.2867917842385168e-09,90100,0.11874524334423876,0.13134776802569578,0.99354609929078019,14100,0.90000000000000002,0.029999999999999999,0.93000000000000005,0.60498446226119995
9.9999999999999995e-07,alpha_1e-6,0,bulk,2.4591939449310303,-0.19999999999999996,-0.44999999999999996,-1.5505870466104081,-0.66013910179781432,0.89044794490103385,8.843992205243012e-11,89143,0.12935934977220448,0.15330008820534999,0.99531471549226314,32442,0.68000000000000005,0.11,0.79000000000000004,8.2844891835520684e-08
