alpha,arm,scope,boundary_offset,bin_index,cos_lo,cos_hi,n,valid,p_hat_median,ci_lo,ci_hi,bootstrap_finite,outside_cos_range_n
0,alpha_0,bulk,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,3,-0.84999999999999998,-0.80000000000000004,45,False,0,0,0,9718,0
0,alpha_0,bulk,NA,4,-0.80000000000000004,-0.75,126,False,0,0,0,9994,0
0,alpha_0,bulk,NA,5,-0.75,-0.69999999999999996,370,False,0,0,0,10000,0
0,alpha_0,bulk,NA,6,-0.69999999999999996,-0.64999999999999991,738,False,0,0,0,10000,0
0,alpha_0,bulk,NA,7,-0.64999999999999991,-0.59999999999999998,2124,True,0,0,0,10000,0
0,alpha_0,bulk,NA,8,-0.59999999999999998,-0.55000000000000004,6516,True,0,0,0,10000,0
0,alpha_0,bulk,NA,9,-0.55000000000000004,-0.5,16694,True,0,0,0,10000,0
0,alpha_0,bulk,NA,10,-0.5,-0.44999999999999996,37657,True,0,0,0,10000,0
0,alpha_0,bulk,NA,11,-0.44999999999999996,-0.39999999999999991,77900,True,0,0,0,10000,0
0,alpha_0,bulk,NA,12,-0.39999999999999991,-0.34999999999999998,124709,True,0,0,0,10000,0
0,alpha_0,bulk,NA,13,-0.34999999999999998,-0.29999999999999993,160479,True,0,0,0,10000,0
0,alpha_0,bulk,NA,14,-0.29999999999999993,-0.25,155889,True,0,0,0,10000,0
0,alpha_0,bulk,NA,15,-0.25,-0.19999999999999996,112415,True,0,0,0,10000,0
0,alpha_0,bulk,NA,16,-0.19999999999999996,-0.14999999999999991,67578,True,0,0,0,10000,0
0,alpha_0,bulk,NA,17,-0.14999999999999991,-0.099999999999999978,41349,True,0.0625,0.0625,0.0625,10000,0
0,alpha_0,bulk,NA,18,-0.099999999999999978,-0.049999999999999933,30355,True,0.1875,0.1875,0.1875,10000,0
0,alpha_0,bulk,NA,19,-0.049999999999999933,0,22533,True,0.34375,0.3125,0.34375,10000,0
0,alpha_0,bulk,NA,20,0,0.050000000000000044,16414,True,0.5,0.5,0.5,10000,0
